Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0139484772673673,0.392924901125369,0.926637451566532,0.246618360837979,0.00970983214257392,0.20163051698836,0.197010687285737,0.83460798922756,0.573102113931379,0.617824538681517,1.1730086677192
1,1,1,1,1,1,1,1,0.15,1,0.023864932140326,0.506540000393457,0.986201559244082,0.339587950669613,0.0126212443518071,0.281737568599813,0.193734052621546,0.857924439317182,0.124648541481758,-0.123312420614216,0.926126390912281
1,1,1,1,1,1,1,1,0.25,1,0.0310386237404926,0.437365485694679,0.903203786855951,0.217219383668376,0.00990758900781368,0.0952622799250896,0.00852459194071709,0.941359423364698,-0.408115930410666,-0.432623462834411,0.369360037285505
1,1,1,1,1,1,1,1,0.35,1,0.0413322349530665,0.82304146143366,0.797396811496838,0.41698779261282,0.0229684738721303,0.114550792412888,-0.00346275717071665,0.915896688157506,-0.187709206572765,0.0603982480831881,1.15373996506027
1,1,1,1,1,1,1,1,0.45,1,0.0340167001451018,1.01138974293526,0.431155347493482,0.781896341409931,0.0331359049816842,0.194742229043254,0.178260337757106,0.83156319046417,0.0169605010016314,0.16607387562016,0.260914207143397
2,1,1,1,1,1,1,1,0.05,2,0.0238287251804409,-0.839732643995108,-0.204150588827769,-0.930479761682246,0.00400149682488669,0.212883798487003,0.20164620379413,0.809088679609716,2.34703001384846,1.88325112094677,3.62868738356739
2,1,1,1,1,1,1,1,0.15,2,0.0355037104942307,-0.74592551543759,-0.354902974873958,-0.861372048381972,0.00662365089115133,0.266613224376047,0.2306867151005,0.847568903405276,1.12540776632995,0.599483060811897,2.3526683244316
2,1,1,1,1,1,1,1,0.25,2,0.0409509747982581,-0.785018881413137,-0.261929629427275,-0.961666752106444,0.00243800658157936,0.164481525286165,0.0839490284338007,0.891479323016172,1.00117717957726,0.381840661028412,1.76453266905759
2,1,1,1,1,1,1,1,0.35,2,0.0493824022487506,-0.483504580604777,-0.594836018390732,-0.802943580865995,0.0151676464309157,0.156280363179466,0.140569228034863,0.921787806334982,0.465781952461078,-0.172492256898383,1.23936915705295
2,1,1,1,1,1,1,1,0.45,2,0.0388708577660515,-0.344101203558192,-0.733223578980196,-0.533044256230904,0.0273909054914114,0.245832368223479,0.20970447530161,0.789932156645314,0.228808981175327,0.279984308094544,0.44657189628568
1,2,1,1,1,1,1,1,0.05,3,0.00506740399372948,0.628122094079467,0.92943088559625,0.393686135097033,0.0155154845785843,0.209608397103519,0.291248804383244,0.855555329227997,0.541738193396796,1.18930949248416,1.39944587307435
1,2,1,1,1,1,1,1,0.15,3,0.00627151551037087,0.991092365065227,1.02945390511869,0.652884406820898,0.0241628844291521,0.247988296972998,0.3279447841337,0.876318322987147,0.218950294536356,0.721265870025593,1.40607049570242
1,2,1,1,1,1,1,1,0.25,3,0.0165602913027762,0.900243775908358,0.986754724353145,0.419080693721086,0.019369785021184,0.160343419248431,0.246689597185109,0.881838240346151,0.56275349217256,0.976778168542885,1.43060257838684
1,2,1,1,1,1,1,1,0.35,3,0.0310759723092466,1.28166793914471,1.12256608929017,0.492105090053334,0.0269742366490947,0.23579507121192,0.25972944884337,0.889876111269653,0.247024462563933,0.377207280139415,0.862494325611653
1,2,1,1,1,1,1,1,0.45,3,0.00624996194109537,1.61181102228068,0.391154260519986,1.27618693427281,0.0543790163451479,0.276156853602333,0.343031238302249,0.775334679117552,0.146329254879058,0.252915186872453,0.384879512988375
2,2,1,1,1,1,1,1,0.05,4,0.0102689239367721,-0.686637789881217,-0.228690826039989,-0.770283702157104,0.0127254600721055,0.264851195712975,0.325939713906672,0.848066123765087,0.6822030511327,0.764687320135486,1.26973137790616
2,2,1,1,1,1,1,1,0.15,4,0.0152960767431438,-0.583003991237993,-0.358120974231274,-0.67411423986202,0.0171779733464921,0.259531867848752,0.354031039022797,0.872348192405002,0.504292865058514,0.412735715488439,1.55930999898227
2,2,1,1,1,1,1,1,0.25,4,0.0209788747283744,-0.600752664244409,-0.29676706298158,-0.75607293051801,0.0160447656090018,0.166369000716401,0.248473860515527,0.873254484017367,0.689567322094801,0.921835486823704,1.39530261719479
2,2,1,1,1,1,1,1,0.35,4,0.0405855598338606,-0.440817100447807,-0.610452973208676,-0.741867365448398,0.0200667602269616,0.239119277496948,0.254108221507946,0.881251452296155,0.307178266043489,0.207365096924802,0.66570794095451
2,2,1,1,1,1,1,1,0.45,4,0.00861416560362792,-0.096739648949652,-1.23061966922423,-0.201662580546107,0.0508432313547726,0.277210591592857,0.343820511110596,0.78005048629815,0.197883521386453,0.305006901523829,0.440735555378466
1,1,2,1,1,1,1,1,0.05,5,0,0.777447706111376,0.674055273863803,0.554020084788722,0.0215161881465953,0.124772043783777,0.184603299749928,0.836490779300871,0.562867226285065,1.23493752343197,2.08882919900423
1,1,2,1,1,1,1,1,0.15,5,0,1.11897321851711,0.669484955524559,0.852961135866353,0.0322338368320098,0.224851440684073,0.267230941633563,0.868345796259319,-0.0263353739085996,0.168428198367129,1.37572697631755
1,1,2,1,1,1,1,1,0.25,5,0,1.23182000283544,0.591128929515333,0.779149292116619,0.0349271441049043,-0.109145333487872,-0.134828749923676,0.933551945404238,-0.16556076856351,0.267745152995202,1.19686882795727
1,1,2,1,1,1,1,1,0.35,5,0,1.73529468040591,0.557161890029674,1.07904754923908,0.0596329953210949,0.0290102056556567,0.0974483264088025,0.926815613776749,-0.107139483096129,0.423481840119245,1.46646513907939
1,1,2,1,1,1,1,1,0.45,5,0,1.74586051900308,0.307615192545008,1.45300024073944,0.0609060535171503,0.129298123594202,0.218175798126086,0.841696284495872,0.0704793764733606,0.37863161314947,0.369156138818913
2,1,2,1,1,1,1,1,0.05,6,0,-0.478288482351167,-0.391278250717523,-0.582244805785618,0.022432786504856,0.0307063008830916,0.0758976580709733,0.852379712834659,1.02399972213671,1.71964778547753,3.14753454647485
2,1,2,1,1,1,1,1,0.15,6,0,-0.239524446145525,-0.953364638829365,-0.352556742024511,0.0335364616811331,0.0833877276351619,0.145186149642435,0.876696509313519,0.494121243944449,0.829604152481999,2.3250792638568
2,1,2,1,1,1,1,1,0.25,6,0,-0.290076291190805,-0.633668784232919,-0.473973769593778,0.0346458222717366,-0.236842217565723,-0.31787211047269,0.934296592141596,-0.00356653096247013,0.444069014824934,1.59989096072151
2,1,2,1,1,1,1,1,0.35,6,0,-0.0770826228547165,-1.5310079772311,-0.284401326619815,0.0570228585864226,-0.00561941067793148,0.0964570626020997,0.920753268796881,-0.000653118976160987,0.608107115395524,1.70258163811774
2,1,2,1,1,1,1,1,0.45,6,0,0.0293396061915389,1.56418118229022,0.0115337895176303,0.0688291165722597,0.0837934423176199,0.141507015982197,0.851936299706486,0.119146695837828,0.795273438569201,0.581008565582552
1,2,2,1,1,1,1,1,0.05,7,0,0.779412245637209,0.787916185288622,0.524524538530014,0.020545710260906,0.176249709065564,0.291451416635569,0.855705772521104,0.392633291830847,1.22266869359863,1.42204925708069
1,2,2,1,1,1,1,1,0.15,7,0,1.17051370332094,0.911020943180234,0.809009604363916,0.0301264325843623,0.231614345415424,0.339344619048878,0.874699691530788,0.21138393149264,0.829545647123734,1.47149334452625
1,2,2,1,1,1,1,1,0.25,7,0,1.23019070631983,0.666750028347766,0.733834077168764,0.0332703293548354,0.0788977864721695,0.241195313690692,0.874812657864467,0.367952480163034,1.32203165997278,1.48977609861641
1,2,2,1,1,1,1,1,0.35,7,0,1.86740132412054,0.718314581218827,1.01210519629534,0.0561370751955747,0.203397156929939,0.306288164866705,0.878514935012752,0.234953537417276,0.946808996747737,1.14406919490238
1,2,2,1,1,1,1,1,0.45,7,0,1.73548651372237,0.361477978390181,1.39866737121737,0.0591161540301273,0.264199048388215,0.349923012301843,0.767085623680752,0.160957446690896,0.308868286447319,0.412089983911232
2,2,2,1,1,1,1,1,0.05,8,0,-0.551827190658514,-0.28788373040316,-0.637746175312877,0.0200421411812978,0.186679063726048,0.335612400769078,0.83696069542457,0.487374425959335,1.02062808991601,1.46802552279312
2,2,2,1,1,1,1,1,0.15,8,0,-0.414468859525138,-0.467853139343702,-0.501045025183055,0.0273670428116257,0.15510841442648,0.359737430098447,0.862818494954797,0.38402974419845,0.597836215338691,1.59109222313889
2,2,2,1,1,1,1,1,0.25,8,0,-0.38104839111369,-0.4253605786295,-0.529812714735944,0.0317249924059963,0.0489239940058507,0.2475621944255,0.877906045712095,0.483139947829816,1.27934827426425,1.64027574207142
2,2,2,1,1,1,1,1,0.35,8,0,-0.131468424422954,-1.12036586113093,-0.341762427304576,0.0536654971735109,0.177054305282988,0.313127644172898,0.87260822739838,0.351904062080261,0.786512561007563,1.28014240313888
2,2,2,1,1,1,1,1,0.45,8,0,-0.0337802929032989,-1.86827366169773,-0.103036162701891,0.0575061835598342,0.249975583177999,0.349426901203097,0.768037658910615,0.173122553163262,0.334092489072442,0.429411111430255
1,1,3,1,1,1,1,1,0.05,9,0.00803847820960655,0.570997599656897,0.5,0.444104035580553,0.0176243281021076,0.10114080582967,0.106665156473026,0.88482296990614,0.526010076984387,1.65242839277295,2.66754246271892
1,1,3,1,1,1,1,1,0.15,9,0.0183999083769054,0.660547839874482,0.5,0.539335052796709,0.0211425634138451,0.140295913369836,0.0376310180543853,0.897762795942001,-0.00855903329897755,0.421215914467134,1.71718478153438
1,1,3,1,1,1,1,1,0.25,9,0.0296034714716685,0.398077046375885,0.5,0.27021362962624,0.0122400242983086,0.00400817121864261,-0.0702283992462767,0.942410184081754,-0.0369439098149079,0.560767720545733,1.44902295141885
1,1,3,1,1,1,1,1,0.35,9,0.0385947765263412,0.753768694387183,0.5,0.492123486813752,0.0270312858248015,0.099988052187811,0.00420132700601039,0.92360681012244,-0.148118051227863,0.555697374254355,1.58759013596238
1,1,3,1,1,1,1,1,0.45,9,0.0368520896917933,0.954774930042953,0.5,0.708410461896406,0.0293745342943224,0.189104019631757,0.173331640075177,0.839419748097358,-0.0316032992219238,0.106186441502628,0.262790527306725
2,1,3,1,1,1,1,1,0.05,10,-0.115536628724869,0.831409094018852,0.5,0.646643933519176,0.104548201131056,-1.22721723898696,-0.530284860018023,0.973494208643881,-0.0713996675393653,0.985968844088072,1.22144615423757
2,1,3,1,1,1,1,1,0.15,10,-0.0302758634744491,0.0214717413398164,0.5,0.0175316033905246,0.0616792631029576,-1.02399282238826,-0.65318594355427,0.951967204542172,0.38891963466564,2.34631729450497,2.64549024530641
2,1,3,1,1,1,1,1,0.25,10,0.0215158995837365,-1.07749352092201,0.5,-0.731399707262124,0.0169366716346745,-1.03682101080564,-1.12474774869196,0.875066616832074,0.859082038986592,0.743992102102571,1.95770828454964
2,1,3,1,1,1,1,1,0.35,10,0.0215209267206439,-0.697268485435417,0.5,-0.455235406899987,0.04611692787895,-0.224817578894291,-0.382714842804838,0.95342394739693,0.317302814548001,0.905434617724927,1.99780583618142
2,1,3,1,1,1,1,1,0.45,10,0.00695989178031621,-0.121592242052346,0.5,-0.0902173000619598,0.0620516739583584,0.0797064518030478,0.110736174601305,0.862377446447839,0.0962070583604585,0.527914330758458,0.365233172645671
1,2,3,1,1,1,1,1,0.15,11,0.00212535540644452,0.72727516753133,0.5,0.59381768768297,0.0232783462765813,0.0375178924494509,0.292614153559233,0.875823952225105,0.454684723239445,0.550092406781533,1.64422885487478
1,2,3,1,1,1,1,1,0.25,11,0.012603756281225,0.666360974696674,0.5,0.452324039412324,0.0204891856890193,0.0823364894861184,0.246383564395983,0.876354404826044,0.768908700715618,0.891916875366784,1.58965499402769
1,2,3,1,1,1,1,1,0.35,11,0.0267660559575801,0.842638061942374,0.5,0.5501448710366,0.0302182758037455,0.198527492650612,0.265081719020238,0.881011421985698,0.559656018768529,0.399542669057065,1.16368179057884
1,2,3,1,1,1,1,1,0.45,11,0.00929280134668846,1.65948628867591,0.5,1.23128227530939,0.0510556313994076,0.28682417677711,0.337299735726716,0.7816667304753,0.189807728465985,0.298120609886175,0.44423669737153
2,2,3,1,1,1,1,1,0.35,12,0.00933087971616912,-0.776917489975166,0.5,-0.507236964045064,0.0415006222242743,-0.102306103499222,0.188309196388204,0.894419374836234,0.759207720787006,0.203537773443532,1.25174721391668
2,2,3,1,1,1,1,1,0.45,12,-0.00944299195598863,-0.084739465348921,0.5,-0.0628737955928346,0.063883608334072,0.11672064504382,0.318658400213505,0.775957231225722,0.170109188223647,0.236436635269435,0.438411255685384
1,1,4,1,1,1,1,1,0.05,13,0,0.783543552269038,0.5,0.609415615450738,0.0241847402787302,0.0723031383726915,0.0935385758627826,0.88482296990614,0.526010076984387,1.65242839277295,2.66754246271892
1,1,4,1,1,1,1,1,0.15,13,0,1.12099146677133,0.5,0.915285699867949,0.0358802674717636,0.138620391026475,0.163576362948893,0.897762795942001,-0.00855903329897755,0.421215914467134,1.71718478153438
1,1,4,1,1,1,1,1,0.25,13,0,1.17769615659252,0.5,0.799416987155922,0.0362116572757768,-0.159802590681589,-0.256823480163841,0.942410184081754,-0.0369439098149079,0.560767720545733,1.44902295141885
1,1,4,1,1,1,1,1,0.35,13,0,1.67479222638447,0.5,1.09344497360291,0.0600605831811047,0.0255378606085325,0.0871642362438582,0.92360681012244,-0.148118051227863,0.555697374254355,1.58759013596238
1,1,4,1,1,1,1,1,0.45,13,0,1.80382812050176,0.5,1.33837899573766,0.0554964414329127,0.0455654282923635,0.201409516884532,0.839419748097358,-0.0316032992219238,0.106186441502628,0.262790527306725
2,1,4,1,1,1,1,1,0.05,14,0,-1.01388449804691,0.5,-0.788567583236351,0.0115213852157503,-1.66626161117691,-1.03491540352745,0.869386766196809,1.84399146172358,1.94920175842942,3.28940604273609
2,1,4,1,1,1,1,1,0.15,14,0,-0.422673897595791,0.5,-0.345111792234359,0.0364435990244793,-1.11981148736636,-0.900220033780502,0.928155883245933,0.700136173610733,1.65716780265458,2.63018310126684
2,1,4,1,1,1,1,1,0.25,14,0,-0.701505026861659,0.5,-0.476179727605679,0.0385466776560979,-1.12252990702013,-0.994738575127576,0.90683434253366,0.613497030325824,1.16349117773531,2.08070935904282
2,1,4,1,1,1,1,1,0.35,14,0,-0.368385739017817,0.5,-0.240513138483815,0.0659211087863705,-0.242063262032987,-0.244277628867036,0.95239154581593,0.142839706572679,1.43578657220333,2.13740222056552
2,1,4,1,1,1,1,1,0.45,14,0,-0.0213720350664641,0.5,-0.0158573217170866,0.066574035788966,0.0772691746870972,0.127848967809386,0.854639439908402,0.0732479295622136,0.713679268401916,0.529071339464429
1,2,4,1,1,1,1,1,0.05,15,0,0.571903904017113,0.5,0.444808930704592,0.0176523019594661,0.0563537734905133,0.28581192668818,0.839171950954028,0.639145923305342,1.14026025130042,1.46171263108716
1,2,4,1,1,1,1,1,0.15,15,0,0.791702693150967,0.5,0.646422542069037,0.0253405179525482,0.0358946081824089,0.298923175461102,0.870492176979306,0.424588309668843,0.590219360187083,1.61142059552775
1,2,4,1,1,1,1,1,0.25,15,0,1.03508617425105,0.5,0.702613714271315,0.0318267029938543,0.0389973498481121,0.246774512399747,0.868300885634646,0.491979547721726,1.23930196369492,1.57631149334272
1,2,4,1,1,1,1,1,0.35,15,0,1.52912978282092,0.5,0.998344301263917,0.0548369075691767,0.187892804573869,0.308298469725763,0.871605926571994,0.37528922669548,0.838974253200047,1.29723562189217
1,2,4,1,1,1,1,1,0.45,15,0,1.92132995260482,0.5,1.42556135100756,0.0591114940365685,0.270320588477177,0.34518034919525,0.785401165431328,0.169283442219236,0.389740893045869,0.48154141403719
2,2,4,1,1,1,1,1,0.35,16,0,-0.629240952389995,0.5,-0.410821322034246,0.0504618181108225,-0.0889493058244468,0.214568662759674,0.886580462749553,0.65794332947525,0.302649118910296,1.27078296678775
2,2,4,1,1,1,1,1,0.45,16,0,-0.246307895578097,0.5,-0.182752064999614,0.0543312584642778,0.106355021621621,0.294981670448003,0.78723043317043,0.218408401994646,0.123008531348434,0.346675800016102
