Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0144742409845455,4.57695905194737,0.640494296478289,2.82078069343411,0.0146671352837389,0.540859510810678,0.502373712328548,0.742197739119412,0.290622133899585,0.749120578493657,1.16946313796282
1,1,1,1,1,1,1,1,0.15,1,0.0148464077953821,5.31678309723861,0.784083271183838,3.45096074088186,0.0254535186176157,0.569159018743216,0.577780527436116,0.737501119172742,0.141251056693129,0.320587991064084,0.694424390454843
1,1,1,1,1,1,1,1,0.25,1,0.0135384368227894,5.38679027895638,0.616101258053773,3.63821507847181,0.026377165972555,0.552366593049936,0.523332819444794,0.759346419716074,0.205858417168654,0.606913028125629,1.02743825199403
1,1,1,1,1,1,1,1,0.35,1,0.0140004945043473,5.65933996723404,0.602146668976758,3.89689393028576,0.0308115398378348,0.564154742468944,0.516905528327882,0.725650219127204,0.129695110085955,0.288952038099067,0.895649263330215
1,1,1,1,1,1,1,1,0.45,1,0.0276887029288062,5.57312296032145,0.64954930154259,4.84611689782256,0.0362515961228183,0.475008073120242,0.396906092942123,0.783668047002345,-0.084509213501211,0.374844589464883,1.09484340363609
1,1,1,1,1,1,1,1,0.55,1,0.0317454890798071,5.27598355124081,1.08501462290095,4.19165764415655,0.0144144897867271,0.0769214369226575,0.366884887976626,0.918871152088441,-0.797340992738505,-0.718651302141598,-0.664499356865617
2,1,1,1,1,1,1,1,0.05,2,0.0122805428899536,1.953371183483,0.790412564490793,1.0749159006886,0.0173872103759217,0.530879901584971,0.507666521744274,0.741147258008373,0.260905441522402,0.949395447738876,1.32059240138049
2,1,1,1,1,1,1,1,0.15,2,0.0116276045114214,2.45433095603492,0.930059558683304,1.46986557704276,0.0301654390256131,0.55803695774187,0.572980518633422,0.731685093801137,0.123215547900897,0.607114075277323,0.84954489851887
2,1,1,1,1,1,1,1,0.25,2,0.0112533453498714,2.43576163551547,0.754194739602642,1.50657284184177,0.0294498883628233,0.539417094763158,0.526039118932751,0.771041672841622,0.104621192508618,0.711598242529491,1.03904185123262
2,1,1,1,1,1,1,1,0.35,2,0.0119837786709638,2.57139401990199,0.749784984260979,1.61580751447591,0.0335018167403319,0.555460853182684,0.512142216105146,0.728639952784653,0.097802108288617,0.433328797149636,0.956730580261885
2,1,1,1,1,1,1,1,0.45,2,0.0248210722543174,2.60244707643262,0.783341385262128,2.19873758221162,0.0397422842152968,0.462605899154966,0.400069723943471,0.789870243485955,-0.0900924906297005,0.569761104523009,1.18374475647679
2,1,1,1,1,1,1,1,0.55,2,0.0286089651257947,2.50984402873409,1.26478264378844,1.91943979450301,0.0221937768025852,-0.215787765954107,0.297185193388142,0.961171958549838,-0.887993500273826,-0.846435373972543,-0.84400373053517
1,2,1,1,1,1,1,1,0.05,3,0.00868646940166524,5.32816115372569,0.832908181671103,2.83935809434211,0.0146348777382486,0.118511711443069,0.191540916668753,0.904386854365027,0.515051005823375,1.15687325795081,2.50051343947585
1,2,1,1,1,1,1,1,0.15,3,0.00904070272304527,5.74769486975821,0.872063286005484,3.55404112490435,0.0263292825048517,0.290032882392246,0.370632673470295,0.885101189702154,0.223621071619426,0.519558118023053,1.35486144524044
1,2,1,1,1,1,1,1,0.25,3,0.00642734091413496,6.07388935762421,0.674014312516637,3.95370067559138,0.0288514064342592,0.45666036310989,0.529026314061668,0.818583898859827,0.482732222544402,0.850789246665448,1.66970344028187
1,2,1,1,1,1,1,1,0.35,3,0.0062576196624919,6.26303441136676,0.58211241461952,4.36645646111868,0.0346101518434565,0.399404245345832,0.494385354604946,0.846061438944658,-0.0854967964291549,0.115461054679357,0.880846702727622
1,2,1,1,1,1,1,1,0.45,3,0.00681470156704491,7.57428451456029,0.681125756748164,6.54162800489111,0.0483818214106632,0.607668801224737,0.677094495185147,0.7580857550973,0.00474867204227917,0.462486442393008,0.941908186895327
1,2,1,1,1,1,1,1,0.55,3,0.0188361997521288,6.2383778629204,1.23797622346958,4.79808576993723,0.0157982991650049,0.361044065866737,0.411653808265286,0.784660647323359,0.27491247043985,0.526708292507584,1.05400398461964
2,2,1,1,1,1,1,1,0.05,4,0.00711541853787495,2.22966388778879,1.14778934891179,0.93656830831751,0.0165654233872324,0.0646305027736942,0.16450846680415,0.913457766954381,0.219094296801673,0.810805165832328,2.09779767940901
2,2,1,1,1,1,1,1,0.15,4,0.00725614004176129,2.53767297666418,1.26042293261008,1.26675174560859,0.0282049758742275,0.273953997484014,0.372380117261418,0.876865281156092,0.246021770398282,0.564969725524085,1.42400162360644
2,2,1,1,1,1,1,1,0.25,4,0.00547468995519372,2.75881978782291,0.980127461551895,1.47766296589171,0.0295647536163349,0.444069190030439,0.525837787263965,0.823269864603813,0.439575582393697,0.818368763194736,1.66730774750524
2,2,1,1,1,1,1,1,0.35,4,0.00547995471211179,2.9096868926356,0.851152451543961,1.717068661301,0.0347245980935634,0.371466189333467,0.484651570447807,0.840617435305167,-0.149624295045053,0.0927676470857079,0.787911665363473
2,2,1,1,1,1,1,1,0.45,4,0.00442986849713014,3.7666808326916,0.897871619093078,3.10489341887039,0.0498565651264501,0.594266528750455,0.681546865802625,0.7552013667972,-0.0349188834376613,0.482748143851468,0.929322513811633
2,2,1,1,1,1,1,1,0.55,4,0.0141173485670426,2.86219773600984,1.63172578705269,2.02505145750731,0.0217282634776198,0.312260007880798,0.429044772181496,0.801655614563149,0.198719733050205,0.598617489395971,1.10074185933802
1,1,2,1,1,1,1,1,0.05,5,0,5.97212056227845,0.474561882602107,4.1723355322614,0.0214467811854173,0.479226249330378,0.564601952036968,0.751640162849405,0.28153797673266,0.993282835131228,1.39541123402455
1,1,2,1,1,1,1,1,0.15,5,0,6.74715229751732,0.656696198224886,4.69794509932971,0.0344418449847404,0.533823880890957,0.637838349657,0.741060037598188,0.186453729349653,0.563166765542687,0.910082901451488
1,1,2,1,1,1,1,1,0.25,5,0,6.62867409362061,0.516244566505799,4.77100511751179,0.0342877026165502,0.51776978785581,0.587900641788336,0.75284377606933,0.215493156709719,0.74859949007667,1.09716973002035
1,1,2,1,1,1,1,1,0.35,5,0,6.901708455906,0.502793003393612,5.05413752283545,0.0399357691125631,0.539122300611747,0.588253327521282,0.730379788614021,0.110501548716286,0.439760123095844,0.997760291320584
1,1,2,1,1,1,1,1,0.45,5,0,8.09922453882686,0.491729149530089,7.2859812956293,0.0556797773344846,0.401057121819296,0.499298006146763,0.799917544857039,-0.0925988384256542,0.588450191001289,1.24093442284501
1,1,2,1,1,1,1,1,0.55,5,0,8.90216008915109,0.763147419804692,7.57213095611411,0.0311880094895604,0.223014579088475,0.481858647384441,0.796106585306663,-0.491838834930056,-0.343089034864414,-0.0352328851289308
2,1,2,1,1,1,1,1,0.05,6,0,2.684202101501,0.619227687659288,1.68107513594663,0.0224658689687922,0.478935647729577,0.560518613242736,0.750856444477499,0.25857849576938,1.07452923623314,1.41080844543944
2,1,2,1,1,1,1,1,0.15,6,0,3.14274561684481,0.807076897241942,2.01416781727096,0.0364312840997364,0.53368909368819,0.628255309452658,0.743740800226386,0.126596973055485,0.661198123426985,0.950148888137257
2,1,2,1,1,1,1,1,0.25,6,0,3.08260650255705,0.64546855218233,2.04339374390218,0.035263283493849,0.513879836459047,0.580957655946166,0.753344222812929,0.198904062429966,0.810240369359703,1.10309324499351
2,1,2,1,1,1,1,1,0.35,6,0,3.24815481579614,0.636533778398615,2.18945188968625,0.0408887656917458,0.537289981691884,0.58092607482242,0.733747344557369,0.0726867550478113,0.522648326391162,1.03371599984869
2,1,2,1,1,1,1,1,0.45,6,0,4.01254299087534,0.594791679732391,3.5304691955069,0.0564018543162171,0.399499352044493,0.493643569215458,0.803438080628868,-0.0659003853001792,0.64629200481571,1.24860654725973
2,1,2,1,1,1,1,1,0.55,6,0,4.46177923621217,0.910567321332783,3.67836720095025,0.0323957173394631,0.109749217772152,0.443111171373369,0.833783969129802,-0.582869200036135,-0.403611318666243,-0.188120509462942
1,2,2,1,1,1,1,1,0.05,7,0,6.01951891866407,0.475292085491312,4.20312972219938,0.0216016442584799,-0.0594490904320462,0.199264044658927,0.88373034360484,0.454512040476206,1.71942020076458,2.71777385097369
1,2,2,1,1,1,1,1,0.15,7,0,6.42284742163908,0.589971799269335,4.63968816009645,0.034441687828097,0.142352399396639,0.385561427565004,0.867954832894842,0.354901002464387,1.04630190215569,1.80317198673314
