Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.00849331556667996,2.72875884184212,3.8824426133732,0.0256510929858254,4.43745068230009e-05,0.297053239940568,0.279321994650693,0.920140347498809,-0.724701978563611,-0.689607147140751,-0.682551415362797
1,1,1,1,1,1,1,1,0.15,1,0.0135412795661397,3.94703728045657,1.06654621021777,1.19515796369085,0.00337583650923193,0.202001907081742,0.0631789848462683,0.812001265251013,0.541701125916468,3.3972190958174,2.74235833336676
1,1,1,1,1,1,1,1,0.25,1,0.0118512463568974,5.75359366358067,0.850408192208367,2.28815739997302,0.00905927516122324,0.552594148688303,0.587649431524057,0.820170867163348,-0.485097461193221,-0.298939766163413,-0.20617653845066
1,1,1,1,1,1,1,1,0.35,1,0.0207060191254949,6.12336623003775,0.490050827270043,3.85289981181003,0.0322836913136303,0.604673331216525,0.583042407132302,0.739175607085078,0.0956825088092563,0.587904643984948,0.759976920983575
1,1,1,1,1,1,1,1,0.45,1,0.0256265521663527,4.72937400755507,0.444056984768848,3.13032534025562,0.0675842015151968,0.590214696798601,0.58304538734108,0.711517548545022,-0.113927764900985,0.218034412546617,0.464991932767453
1,1,1,1,1,1,1,1,0.55,1,0.0244156710299511,4.9000356302086,0.499243003669526,3.06285118830405,0.0471005668800345,0.675042225257535,0.688658194835417,0.676897451649039,-0.224693065475785,0.150395205492634,0.50886489106025
1,1,1,1,1,1,1,1,0.65,1,0.0769611804419383,3.85250337096317,0.509951781329671,2.57324200729012,0.0820101145259269,0.540291351434179,0.503949164648774,0.742701117705846,-0.0666367893889584,0.316622337588705,0.612677455734041
1,1,1,1,1,1,1,1,0.75,1,0.151439039825823,1.74797378325385,0.300471579989741,1.48763259023752,0.0770972530398736,0.130366085012699,0.127051179993333,0.628868985332009,0.132904893071009,0.250552113457757,0.156771389222361
2,1,1,1,1,1,1,1,0.05,2,0.00484867638800224,1.31061919976551,4.18023381440177,0.00861298000649151,0.00281715908763724,0.156185946739291,0.22132893200334,0.935226291054617,-0.525172704166723,0.76468802264921,0.398600052472854
2,1,1,1,1,1,1,1,0.15,2,0.0109437353822222,1.57575078307599,1.28421006788882,0.373898761209029,0.00587094671529978,0.137307923296331,0.138680441537944,0.880083058661878,0.528695105928579,8.3030586005654,4.41995888965521
