Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0332777838838626,4.44494168079953,0.711627728571121,1.92012510001777,0.0276531556247397,0.163552998490926,0.193819258545984,0.897705432734899,1.28242066463601,2.07117791635888,3.10465481876527
1,1,1,1,1,1,1,1,0.15,1,0.0467791114485043,4.70410336524704,0.935919313779382,1.75878590257064,0.0292143140343171,0.117238593861695,0.14316444158334,0.898507416196763,0.621403559273068,0.698715321753626,2.75023206612233
1,1,1,1,1,1,1,1,0.25,1,0.0532167377958254,2.85981083107784,0.776091197620393,1.3064688712753,0.0284248663174555,0.146403213457423,0.0839583721141955,0.883774061143565,0.494227446813622,0.838762103084351,2.26403473929542
1,1,1,1,1,1,1,1,0.35,1,0.0370353828507584,3.87309475219051,0.664977038995987,2.00473678065484,0.0473526174722062,0.162738360943956,0.17665393669611,0.898024027253272,0.424497344243106,0.86699630952822,2.7300534515978
1,1,1,1,1,1,1,1,0.45,1,0.0591781121381766,2.27076524494943,0.248291949972803,1.79149881720314,0.0477836609827028,0.151561686594306,0.146576572127446,0.91593613735918,0.203524473704237,2.0221861642864,2.49380947575406
1,1,1,1,1,1,1,1,0.55,1,0.0591868062362972,2.87496461542275,0.267964906820963,2.22180991635424,0.0719796711571193,0.18769698481203,0.209944676988532,0.907875451859304,-0.168534784774501,1.70276027889867,2.03981201601742
1,1,1,1,1,1,1,1,0.65,1,0.0758227884767365,2.77348791744383,0.294152284348884,2.07018707811912,0.0702268754589728,0.168558276074959,0.189394286774657,0.928126693973703,-0.186221152577052,1.06077027123161,1.54746417276333
1,1,1,1,1,1,1,1,0.75,1,0.115777663991446,2.15025933152111,0.192256944431914,1.81693218722907,0.0695492154907573,0.154445384279898,0.130603428138513,0.924585070719363,-0.0799246727435224,1.57325910288466,1.98901270387142
1,1,1,1,1,1,1,1,0.85,1,0.128494697342222,2.43652702515957,0.274922774146072,1.94383952819127,0.0794340160649187,-0.118871209029789,-0.0758299351635281,0.799386652445883,0.111206499064758,0.441903524083939,0.311529142461761
2,1,1,1,1,1,1,1,0.05,2,0.0275971340804584,1.83963316494787,1.15146542791887,0.473025538416173,0.0346616911382294,0.157216732977199,0.189509665816602,0.909454314930088,0.875998904603888,2.47982334990882,2.85728446021535
