Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0189801071547806,3.58285413092963,0.833699587810858,1.6306562030856,0.0161589743427523,0.290247919956787,0.262183041885936,0.887360739279134,0.506141191837582,0.750048567658646,1.53199984220616
1,1,1,1,1,1,1,1,0.15,1,0.00306220897935315,6.25563882963318,0.291924123527595,4.56578324039205,0.0687436609010663,0.662290401569066,0.652395268469686,0.628972570188311,0.190318075914262,0.430561643267553,0.532144610276264
1,1,1,1,1,1,1,1,0.25,1,0.00376577644743811,6.20692206777154,0.417225427811401,3.98235190229393,0.0612886452318549,0.605759637416898,0.628735883510066,0.690417234316065,0.248594596476198,0.542942045247828,1.06640075338662
1,1,1,1,1,1,1,1,0.35,1,-0.00188470097437471,5.4486400476827,0.232720993852569,4.41069709710913,0.0794258060889362,0.635981169655947,0.64409451737124,0.710430024714787,0.0596941814763445,0.502186855430479,0.864912932594044
1,1,1,1,1,1,1,1,0.45,1,0.00658273457114242,5.16674317467658,0.125529920464337,4.54661490633108,0.119956065585863,0.598913276673664,0.625584656690793,0.705857718582726,-0.0322709026230107,0.447669155339965,0.545586071108681
1,1,1,1,1,1,1,1,0.55,1,-0.00314276484962452,5.4925196680924,0.161868137269607,4.61566504342665,0.0855929606790601,0.641227470828676,0.652739767081982,0.700307214971692,0.124270588777713,0.75453200156783,0.858918115892858
1,1,1,1,1,1,1,1,0.65,1,0.0398466614879695,4.90188745503877,0.361247102751349,3.36195854598449,0.0829192992996451,0.507395826984935,0.457347638066374,0.766084627253893,-0.0569467769987205,0.318648179908358,0.865043760720014
1,1,1,1,1,1,1,1,0.75,1,0.0666686826945659,4.59332331214934,0.220139515904887,3.75920671115224,0.108541291248812,0.349075915835823,0.368126820055717,0.85778945867606,0.147955383708828,0.686976881609451,0.852080159635499
1,1,1,1,1,1,1,1,0.85,1,0.15191261828126,3.0666353006482,0.489439291052958,2.13626394820445,0.0390913709619842,0.180041021629072,0.0310733312402515,0.58372534044967,0.0793718192417816,0.228793570749403,0.190181327660056
2,1,1,1,1,1,1,1,0.05,2,0.0145350639927917,1.3032915124812,1.38426689185189,0.352703124818005,0.0215195562472078,0.275753586566613,0.270941823959289,0.897362474328133,0.323338952883647,1.08545604984837,1.40357566832936
2,1,1,1,1,1,1,1,0.15,2,0.00284156559749413,2.89896834138101,0.410236277152107,1.86235270774497,0.0687947718666017,0.66127248884038,0.651916820555173,0.627251688285824,0.19437247708707,0.453436946801683,0.54129438864903
2,1,1,1,1,1,1,1,0.25,2,0.00188549197109543,2.88378311726872,0.56214977385384,1.58590932550923,0.0628188306965399,0.602129042011788,0.628629172314568,0.694863507651755,0.206455886855055,0.576102211420829,1.0046370212225
2,1,1,1,1,1,1,1,0.35,2,-0.00295870482872436,2.40856519315059,0.32248698930885,1.79711331611698,0.0802878525029107,0.633481699526446,0.643089486861756,0.71506598068507,0.0606791926610638,0.501359978028619,0.85129038267681
2,1,1,1,1,1,1,1,0.45,2,0.00636466276862896,2.2242240545712,0.181577687331359,1.84865920802973,0.11978980990347,0.598842918689495,0.625418957950798,0.706628773686816,-0.034351697180816,0.454513199782239,0.544447899858389
2,1,1,1,1,1,1,1,0.55,2,-0.00349110734324629,2.42778050021111,0.229368945871323,1.89745803982294,0.0864107249203998,0.640860335423892,0.652835173227091,0.701130806744887,0.131017551803981,0.767957284907866,0.868309969075259
2,1,1,1,1,1,1,1,0.65,2,0.0388449951027671,2.04815299879271,0.573882150275524,1.12510627525089,0.0838313288876867,0.506596654109061,0.458186817386705,0.763788951258947,-0.0325084130736981,0.352899639576399,0.859624371051115
2,1,1,1,1,1,1,1,0.75,2,0.0660008613167255,1.85855077146368,0.337102590569108,1.3674233355907,0.109996112962874,0.347501614507694,0.367817315283767,0.855609214816143,0.132485756755438,0.7249674851427,0.883882828549256
2,1,1,1,1,1,1,1,0.85,2,0.150814968762883,0.825396609113484,1.09742840640254,0.366959931761952,0.0394221766821379,0.167127604908736,0.100325356976654,0.641591594356715,-0.022002368288432,0.0991321877079521,0.0503928871714824
1,2,1,1,1,1,1,1,0.05,3,0.012632278685297,4.19645999911236,0.789072333975372,1.99212328651708,0.0194322240014604,-4.96498898712172e-05,0.0229134512722868,0.940121526800449,0.408534602304594,0.69926285575292,1.95416989826458
1,2,1,1,1,1,1,1,0.15,3,-0.00378257524982767,7.47255062210468,0.412641485229062,4.78807088112733,0.0741471361347083,0.762118847331111,0.798447908755674,0.58517253369959,0.155211406647563,0.370552070391333,0.437878130520005
1,2,1,1,1,1,1,1,0.25,3,0.00886847938435539,7.29015793299848,0.753005751496702,3.27255582063535,0.0514269632664113,0.381999335300377,0.434372825464739,0.81757936944526,0.030561301965031,0.580988711258036,0.927350985651658
1,2,1,1,1,1,1,1,0.35,3,-0.000114940725505407,6.2484300379337,0.50197346454915,3.96097224718066,0.0738919105111716,0.39343694171044,0.512857615144785,0.79652493349182,-0.0291676547516424,0.571957653988041,0.754816475720596
1,2,1,1,1,1,1,1,0.45,3,0.00190340577415445,5.88325868207865,0.246578835771027,4.57659762023963,0.123929152371338,0.728667250745997,0.748914599380587,0.64462217922474,0.00656220336017257,0.0518908738682481,0.388492563716565
1,2,1,1,1,1,1,1,0.55,3,0.00206252417564254,6.32747083556368,0.407729093062476,4.08281261408027,0.0785239409103276,0.616609750685743,0.642035427839817,0.735081223209482,0.11079793957996,0.413261418420272,0.458008622646914
1,2,1,1,1,1,1,1,0.65,3,0.0193165215688377,6.1876783751756,0.427233303630668,3.96133870871151,0.0979226363926502,0.594448138846126,0.626360920850983,0.73442506523327,-0.0347856209163436,0.118890624129614,0.418412859673612
1,2,1,1,1,1,1,1,0.75,3,0.0581626115833124,5.32580154871057,0.333493710351589,3.93133710848609,0.11548958310799,0.608020609575746,0.677185233067545,0.714286649610298,0.0579560868494967,0.103092645526615,0.259564141183563
1,2,1,1,1,1,1,1,0.85,3,0.132781672532981,2.87350497022675,0.193037391735116,2.49165260918854,0.0438337229549218,0.684395769949001,0.698720552829067,0.598263541545769,0.133178500807075,-0.102948019902496,0.142546214084392
2,2,1,1,1,1,1,1,0.05,4,0.00988566868114621,1.70518935486034,1.58934596387279,0.380229372181722,0.0223965533852029,-0.0403048700426827,0.00863304674266741,0.936620349746048,0.42841040932573,0.73568253296203,2.12974048285296
2,2,1,1,1,1,1,1,0.15,4,-0.00434817266782491,3.69040841861381,0.567378832583871,2.00113796134607,0.0743409146291133,0.760908338204309,0.800942308977165,0.584683545871039,0.152707142740574,0.363985477480662,0.431625924442138
2,2,1,1,1,1,1,1,0.25,4,0.0060979676384417,3.51447449455072,1.02983297892401,1.17525092303226,0.055198779430438,0.366771466390865,0.43106056616659,0.82316578108659,-0.016791001312949,0.51983392164308,0.905315978721029
2,2,1,1,1,1,1,1,0.35,4,-0.00277487961675536,2.88663732433775,0.683039906356399,1.55243645587898,0.0759991466181185,0.379015588220115,0.509624899315423,0.797055722885955,-0.0772624376290314,0.510712545766276,0.736853380425602
2,2,1,1,1,1,1,1,0.45,4,0.00160336226150983,2.67510930464827,0.35449950403136,1.8643486983256,0.124331067983674,0.728252921693816,0.749603605887233,0.644168826426519,0.0106815112689425,0.0492520518978707,0.386542041123867
2,2,1,1,1,1,1,1,0.55,4,0.00103777474579891,2.965982194506,0.593005998984149,1.5683269976971,0.0787686425634884,0.614791896756459,0.645333743960872,0.736795967099254,0.0966556504912618,0.373640932697625,0.467024793368761
2,2,1,1,1,1,1,1,0.65,4,0.0183231945732764,2.89173682989449,0.640341618370731,1.48204226915536,0.0985639367938969,0.593904320193622,0.63001732649112,0.745743134824613,-0.0408316305563177,0.0748197035370523,0.393659438378703
2,2,1,1,1,1,1,1,0.75,4,0.0575326612860697,2.34637076009897,0.522744415045461,1.45791712802987,0.11617109943817,0.606892648999638,0.678155637481677,0.71169097810001,0.0465327377536389,0.11252675071124,0.243836083664339
2,2,1,1,1,1,1,1,0.85,4,0.133564579744431,0.892954099340658,0.714916378529088,0.526612454717029,0.042997780487781,0.681832813509305,0.688960513095329,0.596392664107859,0.119988122194327,-0.113974917704425,0.131702941127551
1,1,2,1,1,1,1,1,0.05,5,0,4.94764356895388,0.441959711966429,3.25963127324067,0.0315593334792006,0.181205126315882,0.281794861843116,0.852187105069809,0.984568079230299,2.41420767120937,2.94175394711371
1,1,2,1,1,1,1,1,0.15,5,0,6.38911505685168,0.284121943750986,4.70261455760717,0.0706995160519175,0.662209272515977,0.669801815138089,0.627920535858947,0.187175031087601,0.456096164150878,0.547045225371788
1,1,2,1,1,1,1,1,0.25,5,0,6.36386530837727,0.392784876335823,4.19058444534479,0.0639238659011937,0.604261532401811,0.643283150148024,0.690220615724864,0.239418780779252,0.565961568791622,1.05079083471768
1,1,2,1,1,1,1,1,0.35,5,0,5.38233739142005,0.240529575589438,4.32623864553328,0.0778880406651742,0.63652739515646,0.636286392952244,0.709814425797214,0.0541162153562925,0.500069356843995,0.864847416544023
1,1,2,1,1,1,1,1,0.45,5,0,5.37865350486353,0.117927320797968,4.76988499010459,0.125102863174272,0.596129039152129,0.646573335002488,0.711083612466861,-0.0466853653333025,0.461294451318103,0.546928164445279
1,1,2,1,1,1,1,1,0.55,5,0,5.40908618581457,0.170854720415208,4.50186937665692,0.083894001253284,0.640731763820092,0.639546101630371,0.698854575491672,0.133527686501849,0.785108362092755,0.898595966912797
1,1,2,1,1,1,1,1,0.65,5,0,6.11510997814115,0.293056703195905,4.50347062018085,0.10930498918245,0.469654133714044,0.558362146095562,0.752796788221822,-0.0350452422150285,0.431081444573195,0.919438974433983
1,1,2,1,1,1,1,1,0.75,5,0,6.53990229713775,0.137781186407846,5.76899699675729,0.168334050672671,0.215168055872898,0.415154024418747,0.856027876381932,0.124731880751144,0.855889485152752,0.935830617085131
1,1,2,1,1,1,1,1,0.85,5,0,7.67607088599113,0.113340796095196,7.05960472643221,0.124096258895515,-0.185322831909177,0.275717552977397,0.640519448819629,-0.0491969783578615,0.251141590648088,0.063147500523541
2,1,2,1,1,1,1,1,0.05,6,0,2.12033278221582,0.771661762332809,1.0232376898513,0.0317327588913196,0.188874203491285,0.286297379246138,0.852300251650217,0.804394681867993,2.11603889610723,2.60721499304867
2,1,2,1,1,1,1,1,0.15,6,0,2.97837574220714,0.396819976180738,1.94125694357486,0.0706215759619047,0.661220807137767,0.668182521432433,0.628718755796164,0.189188290268155,0.468867399865773,0.545289709444144
2,1,2,1,1,1,1,1,0.25,6,0,2.93763094356266,0.543509565381428,1.64787326691089,0.0643614025953936,0.601616436091307,0.636516174644659,0.696143995228447,0.218570092756091,0.575221622751904,1.02686751749073
2,1,2,1,1,1,1,1,0.35,6,0,2.34020183480097,0.341471990611147,1.71625982345651,0.0781436149465648,0.634010025161052,0.629974014623589,0.712107047735279,0.0578466810362007,0.501946814806952,0.857584476154718
