Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0486033715560385,10.7895796743004,0.170005640775555,9.09071276422361,0.0279858469474843,-0.050548566895581,0.00290908380633537,0.769732549863509,-0.144362271114787,0.52951932277248,0.218372563430581
1,1,1,1,1,1,1,1,0.15,1,0.104757636856866,7.95830436206125,0.68406199889611,3.85703179812284,0.0129658627828558,0.0229642750027136,0.0183491846551354,0.894599329705869,0.124495454970839,0.825809300781487,1.27616518192697
1,1,1,1,1,1,1,1,0.25,1,0.159895945070036,3.51379493207458,-0.456757953179494,5.30858924051116,0.044950976305816,0.0310996028216182,0.0166177685123268,0.888618898406506,0.570832478031116,1.37988633956335,1.80484826356854
1,1,1,1,1,1,1,1,0.35,1,0.274912972568098,1.46871533298979,2.66213412821988,0.174891694338601,0.0025901105013101,0.0216541583598087,-0.212570638955992,0.924433107541834,-0.404177457094517,-0.600712500935346,-0.312448781775846
1,1,1,1,1,1,1,1,0.45,1,0.255956219020729,0.858176818143273,0.268056681020629,0.689837920581857,0.0116557396566158,-0.0299808549665403,-3.21413158712771,0.869636612839145,0.470125099788822,1.33354139940369,0.880031888604578
1,1,1,1,1,1,1,1,0.55,1,0.180766627057614,4.47606989384147,0.205777946090568,3.85090248972336,0.071765307993307,-0.0427635553819299,-0.443410403766533,0.878919696475183,0.167335348610091,0.847313799290166,0.86853526387673
1,1,1,1,1,1,1,1,0.65,1,0.23482016351713,1.86903518548337,1.37837156840038,0.65071940187359,0.0115985671087701,-0.0178810071644966,-0.308176734315401,0.961796965298508,-0.806308280195205,-0.869034050241287,-0.714167701930051
1,1,1,1,1,1,1,1,0.75,1,0.22788646399613,-2.28778779800738,-0.460495282028829,-3.17069224951818,-0.0578549541464904,0.0475226102565384,0.0431839056124886,0.873653211987838,0.742537678680276,1.67879040229956,2.14903952468371
1,1,1,1,1,1,1,1,0.85,1,0.321438324067267,-7.16940691629474,-0.178718020367232,-8.28184995443825,-0.125893910680583,0.158690780352022,0.176230989073059,0.84976244919933,0.279702266149854,1.4449083011392,1.42515131622364
2,1,1,1,1,1,1,1,0.05,2,0.0484164504737057,5.74114461086178,0.194054905546617,4.72135028342532,0.0281513855870514,-0.0525877079386976,0.00118490337533994,0.769293322006366,-0.136489319425152,0.576918192396754,0.247510691609635
2,1,1,1,1,1,1,1,0.15,2,0.103381480685478,3.95603203816899,0.810032685031653,1.67789430752109,0.014531441817808,0.020524644790276,0.0131914710009118,0.901632735851608,0.107570136473937,0.947528469238583,1.39358312681268
