Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0513713189120696,3.95362273904234,0.467269627740988,2.52515735816543,0.0571339128949331,0.16383049511374,0.210404042322567,0.906399292472266,-0.0595541121203246,1.0305829712492,1.77176899135659
1,1,1,1,1,1,1,1,0.15,1,0.0300226290486188,5.42051970273695,0.435396862460769,3.50022149237137,0.0739073331048822,0.345253990307563,0.365073530000111,0.813388562550581,0.404620917263513,1.491160612813,2.21039369712329
1,1,1,1,1,1,1,1,0.25,1,0.0613232018429602,3.43040896431117,0.248230207491677,2.7782653212347,0.067571730451572,0.226058728739352,0.193939011250858,0.900672531864283,-0.103315675434646,2.48660159908202,2.69009515329403
1,1,1,1,1,1,1,1,0.35,1,0.0571877162111266,4.81450248782467,0.318603023906297,3.76337660199171,0.110913638439473,0.296053765378965,0.324383795136853,0.850183818401049,-0.128052867124272,1.175840659316,1.3715216883457
1,1,1,1,1,1,1,1,0.45,1,0.0380002534532837,5.66656877552976,0.244026947216804,4.71331102859676,0.138908279031332,0.415171272092505,0.416177237747076,0.834204519473711,-0.0996842407905116,1.20661561023971,1.42146803147885
1,1,1,1,1,1,1,1,0.55,1,0.0917801853469974,4.78089054438035,0.227296061138132,4.01187331061841,0.157384765528219,0.288980127374089,0.291821308668983,0.879915168289135,-0.0344696260087478,1.42601694647236,2.05801643526291
1,1,1,1,1,1,1,1,0.65,1,0.0816179854660673,4.9737676793539,0.165233694507685,4.46194403774176,0.199903775611851,0.256688637631085,0.306171889811564,0.882739655562452,-0.149130592858923,1.315522623546,1.98183349174055
1,1,1,1,1,1,1,1,0.75,1,0.188657544867435,2.54997882272637,0.17468842561873,2.28819219618823,0.111835126490813,0.186185135679098,-0.0125618768668525,0.770239401534764,-0.0677062720617245,0.335560860504346,0.260175423500265
2,1,1,1,1,1,1,1,0.05,2,0.0484567117507022,1.44620731991257,0.803836394140094,0.668774380852293,0.0610695497627058,0.153942635348246,0.204410041990053,0.908827727853376,-0.158407638781897,1.03325161182647,1.57431692024635
2,1,1,1,1,1,1,1,0.15,2,0.0269034302881101,2.36576875174241,0.604693731787939,1.28875322084627,0.0778826252715621,0.340851986297652,0.363045227525389,0.819409158829307,0.310908361707936,1.59263836633742,2.18443591286979
2,1,1,1,1,1,1,1,0.25,2,0.0597463691357645,1.08946688875795,0.385298250771679,0.785375632428051,0.0689214203632055,0.219425835052682,0.197570091810549,0.905278016522125,-0.151892821871476,2.90417606998677,2.892560927298
2,1,1,1,1,1,1,1,0.35,2,0.0564994963932154,2.01531700149267,0.508932614234984,1.35976800809596,0.111810282945777,0.296850908602254,0.324930363843228,0.848082209352397,-0.135913578654162,1.18173331948247,1.34214397486337
2,1,1,1,1,1,1,1,0.45,2,0.0374506815029392,2.53794737277082,0.344844692689639,1.95631890329669,0.139745064445293,0.414269023736024,0.416047917675439,0.834431502606166,-0.116779469115608,1.23340229530085,1.43839591180056
2,1,1,1,1,1,1,1,0.55,2,0.0907226898226716,1.9787243038116,0.339043712356289,1.52327977044226,0.159522638209795,0.288419515125486,0.291702016728308,0.87727934979291,-0.0476995234070095,1.4620020174848,2.07138491102975
2,1,1,1,1,1,1,1,0.65,2,0.0812012370591437,2.09924606393694,0.23891069189903,1.79420851963249,0.200703700633722,0.256059038950321,0.305722899630994,0.88376062244387,-0.15131947320094,1.33615006566298,1.99756392644632
2,1,1,1,1,1,1,1,0.75,2,0.186874816767041,0.56990319819124,0.343662470539767,0.460523551761218,0.114475709145521,0.190130668631558,-0.0138823591224368,0.769643404303387,-0.053228233150099,0.438712298513432,0.317943215135199
1,2,1,1,1,1,1,1,0.05,3,0.0459286434269928,4.51042670258913,0.597746036177369,2.54180705482528,0.0577797380778789,0.307022215062791,0.364021473326637,0.860139848847136,-0.0273268311281806,0.372271266109842,0.899679831874304
1,2,1,1,1,1,1,1,0.15,3,0.0297145534007251,7.14700316237385,0.82825411079562,3.11022225941289,0.0650151758380267,0.302904480658874,0.348246116412089,0.851744226556722,0.104002501821969,1.16585643339087,1.50128114576789
1,2,1,1,1,1,1,1,0.25,3,0.0499870453173875,4.69620509276838,0.554401688255683,2.93243331651225,0.0728142670763035,0.420652793234296,0.443048580133292,0.835509983146005,0.390354914878456,0.489444100348178,1.34107440866173
