Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.00432482361181889,4.56773041878897,0.134489513517335,3.87846703111205,0.0106544407615213,0.727507964065455,0.736715789637827,0.477301354630187,0.147541054530609,0.644921292502793,0.554672908293361
1,1,1,1,1,1,1,1,0.15,1,0.0223338298649063,4.58664095580753,0.0247601132574504,4.48805163711333,0.0357832432172606,0.752432486109599,0.769064439595368,0.671262705699844,-0.0747356434970481,0.777430500411428,0.56971647439962
1,1,1,1,1,1,1,1,0.25,1,0.00995206407228252,5.69775702460764,0.281171251985759,4.32389379188687,0.0334466338882171,0.689982439480084,0.722279623064518,0.674639336382956,-0.0516370259210404,0.413180112267303,0.642680674719925
1,1,1,1,1,1,1,1,0.35,1,0.00609582532552519,4.73646643632781,-0.0544628077563431,4.9381388391102,0.00889559289820373,0.758547552014717,0.727817139146268,0.311275584947885,0.175067908402079,0.508167868535958,0.29697506595482
1,1,1,1,1,1,1,1,0.45,1,0.0151678969094212,5.86774490983676,0.265945639336125,4.48119106779341,0.0339754615585601,0.691545382557445,0.634261898889873,0.680794930245633,-0.107221635594126,0.281321589825551,0.48864153920393
1,1,1,1,1,1,1,1,0.55,1,0.0168004616250419,3.62096041090331,-0.0128364484646861,3.65954372043612,0.0307707481751995,0.638852726176708,0.663777886054272,0.592877675235705,0.0600856883540213,0.543128857426062,0.399045309192359
1,1,1,1,1,1,1,1,0.65,1,0.0147383814641806,4.65677257955055,-0.0415656814048175,4.82367933726951,0.0156427517610625,0.645354064656758,0.499640998921169,0.542248073077291,-0.249131130518372,0.327734781087214,0.0365513989541661
2,1,1,1,1,1,1,1,0.05,2,0.00430713607577781,1.85944466540507,0.218699093182272,1.42515309524045,0.01068606364337,0.727544781638924,0.736479824434141,0.477301354630187,0.147541054530609,0.644921292502793,0.554672908293361
2,1,1,1,1,1,1,1,0.15,2,0.0223336867589447,1.86699239321906,0.0385354391139303,1.80490943690773,0.0357862839159528,0.75244053605456,0.769065617801061,0.671262705699844,-0.0747356434970481,0.777430500411428,0.56971647439962
2,1,1,1,1,1,1,1,0.25,2,0.00982529856243569,2.56989522604261,0.419467054679085,1.70273839498389,0.0335855216298035,0.690855558350978,0.72353649335499,0.673289817288478,-0.0549687030463335,0.430527905299946,0.653990602810118
2,1,1,1,1,1,1,1,0.35,2,0.00610273080492495,1.95561851549098,-0.0839011346104883,2.08536071773086,0.00890150977002964,0.758441128278185,0.72787381595641,0.311275584947885,0.175067908402079,0.508167868535958,0.29697506595482
2,1,1,1,1,1,1,1,0.45,2,0.0151545290843429,2.67033316407033,0.391516733480573,1.79559042080778,0.0340652342872235,0.691199323397924,0.632034046986322,0.675719720647237,-0.110282826355226,0.274688483178897,0.489623027563964
