Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0398276542313641,3.33309260418141,0.31554053467368,3.22723350099896,0.107589213327141,0.141867270423252,0.141902154246187,0.860244876604257,0.109878707126437,0.292935852732961,0.778649291193964
1,1,1,1,1,1,1,1,0.15,1,0.0309063580685407,3.69766991636512,0.324374158307524,3.44467467504214,0.116728893175919,-0.0615181866815848,-0.0126123161328739,0.809015030081031,0.066610729298431,0.614921897310484,0.463761406270595
1,1,1,1,1,1,1,1,0.25,1,0.070857006295095,3.7462953897581,0.11908505978677,3.7031186276261,0.137012220158729,0.293270930671485,0.0896084177412916,0.774139296655822,0.115133573148975,0.623392889604713,0.761536573610773
1,1,1,1,1,1,1,1,0.35,1,0.0933330925078239,4.21269589593416,-0.806967464194793,3.26751878421971,0.128136082271725,0.204652836166068,0.248640844057452,0.74971779539834,-0.0371271832435767,0.0399490249612448,0.282658000579554
1,1,1,1,1,1,1,1,0.45,1,0.108289647630945,3.97869642440827,0.114275254202585,4.11493996168615,0.145280516717044,0.129170259561162,0.147980956510894,0.613112461810977,-0.0544365005077524,-0.0120348144369024,0.0114236099775917
1,1,1,1,1,1,1,1,0.55,1,0.063077215869202,4.31430937316502,0.20324936313078,4.54252303118444,0.22170155863719,0.0422604939551879,0.08636981568178,0.526394782311962,-0.0299579350558617,0.347885766185913,0.174055128712671
1,1,1,1,1,1,1,1,0.65,1,-0.166280778600215,7.76547749513356,0.262956208420443,8.39774945579339,0.462098851056698,-0.890249467911607,-0.291538036647345,0.389835613196887,0.032665275066459,0.0852132386782536,-0.0171909086608492
2,1,1,1,1,1,1,1,0.05,2,0.0363373124921875,1.13755821433682,0.493406623335812,1.08157202332814,0.111018939527747,0.14127857486706,0.142531930457437,0.857735669150274,0.0637036817435302,0.296679227322088,0.731392267047127
2,1,1,1,1,1,1,1,0.15,2,0.031248992327372,1.28464992642552,0.586871725915597,1.13004678138467,0.116288645370611,-0.0918557915141345,-0.0502547450229873,0.829069207340248,0.0526368788338723,0.476489111790828,0.432621761904298
2,1,1,1,1,1,1,1,0.25,2,0.0706142703570382,1.34338935659108,0.201061406961871,1.31735330878735,0.137278706033977,0.292821192141482,0.0909286146923819,0.774139296655822,0.115133573148975,0.623392889604713,0.761536573610773
2,1,1,1,1,1,1,1,0.35,2,0.0940995261031826,1.50734592109919,-1.45305646367779,0.953952777462651,0.125219568038494,0.174709434072531,0.217326625431054,0.756573624222839,-0.0449133812064144,0.110874624177082,0.285388183579949
2,1,1,1,1,1,1,1,0.45,2,0.107964677203418,1.49208833345209,0.181219237835522,1.57392273422829,0.145720406452722,0.129325779845887,0.14814253439974,0.600834489408093,-0.0668156572717186,-0.0225127233956124,0.00154587749370804
2,1,1,1,1,1,1,1,0.55,2,0.0623874223060888,1.7143751119624,0.284901359660546,1.84282830934538,0.224115111956165,0.0407424110128602,0.0846940204013208,0.526394782311962,-0.0299579350558617,0.347885766185913,0.174055128712671
2,1,1,1,1,1,1,1,0.65,2,-0.165323663398437,3.85083613123545,0.315867561597758,4.23050030835712,0.460433708325437,-0.874867555140852,-0.28783572135607,0.401549534830926,0.0908065189037122,0.142186919632784,0.0290203084934103
1,2,1,1,1,1,1,1,0.05,3,0.0298844162542243,2.98050663155986,0.0402065833812112,2.9682742827804,0.097024211563279,0.451442300047798,0.526901299305605,0.734108199463779,0.176789177946864,0.082492749215108,0.320685697567689
1,2,1,1,1,1,1,1,0.15,3,-0.0208635273237414,4.45162258978172,-0.123873925351646,4.57375354132384,0.154528480763718,0.249532652982999,0.501090550691454,0.6837324054246,0.0717458557375066,0.136338544204763,0.123684416107351
1,2,1,1,1,1,1,1,0.25,3,0.0310075013264375,4.49120997281078,0.0801991974907295,4.45628360732299,0.164642665151161,0.32365600338212,0.505835113782724,0.720356938392822,0.237174586069461,0.21724278278528,0.160615667197699
1,2,1,1,1,1,1,1,0.35,3,0.0417027798039832,4.82837136230269,-0.967719394143866,3.56022930399663,0.140734986725809,0.417390426550132,0.637848006795064,0.601523139627055,0.011083691898489,0.0109106412832755,0.087214502164892
1,2,1,1,1,1,1,1,0.45,3,0.0909936463400595,3.86118306773919,-0.125093452038818,3.7214603258126,0.139498500583897,0.697106328767377,0.742713519746687,0.524533655399204,-0.00806466690602121,0.0368549594862757,-0.0585943251889522
1,2,1,1,1,1,1,1,0.55,3,0.0511798379515613,4.17732832673507,0.122437943424474,4.30907342359699,0.214928338429731,0.702304545120746,0.679504869574421,0.477504775906614,0.016089897304634,0.142534009179351,-0.015710262663074
1,2,1,1,1,1,1,1,0.65,3,-0.398191207415304,10.7921709083998,0.508212609702753,12.5551560244307,0.694417184497443,-0.790348983730012,-0.358301007470957,0.318064571997604,0.153596004083926,0.150508130051308,0.127560772442821
2,2,1,1,1,1,1,1,0.05,4,0.0303046362350431,0.862688963768404,0.117330421544417,0.85239750915248,0.0979162340254752,0.451548212916144,0.525499457134807,0.742118971153283,0.183932004369969,0.109589603700158,0.327952652125526
2,2,1,1,1,1,1,1,0.15,4,-0.0212991564027454,1.77298703474052,-0.216804377107099,1.85899477798882,0.155675338980957,0.249238303313403,0.501771058287726,0.68502798780257,0.076307451136342,0.141259818843292,0.120740703119972
2,2,1,1,1,1,1,1,0.25,4,0.0307109839018134,1.80832249604941,0.116917838042305,1.78785834952674,0.164939389055132,0.323194911521725,0.506084196786592,0.722851346840875,0.247814432970333,0.216585271038782,0.160025712829187
2,2,1,1,1,1,1,1,0.35,4,0.0390760976039721,1.96170930247181,-1.42746199085641,1.25155027613335,0.143573530029459,0.404459159768265,0.631545514563123,0.629791974829239,-0.066522021030175,-0.0654834071125387,0.0539968976281903
2,2,1,1,1,1,1,1,0.45,4,0.0888269594214293,1.4153607368266,-0.309638221291666,1.29195008300849,0.140021480746476,0.696923258167831,0.748768593902129,0.516449421936687,0.0242693101292329,0.0330134928033793,-0.0547082735959552
2,2,1,1,1,1,1,1,0.55,4,0.0511356199753415,1.60959803871462,0.201975551096364,1.6941934164839,0.214883713377559,0.702187843566086,0.678477039858209,0.477504775906614,0.016089897304634,0.142534009179351,-0.015710262663074
2,2,1,1,1,1,1,1,0.65,4,-0.488480354498579,6.6579472868235,0.499979563945057,7.72660480043707,0.771205124030236,-1.25343830854482,-0.440087620109956,0.444585251175363,0.0554932210848269,0.107640812655853,0.0912292592039571
