Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.00309222030847591,2.86392123263143,0.895568264635702,0.686030064308336,0.000610418940693565,-0.0721275266234698,-0.445147244312771,0.676236274388811,-0.113416438986842,0.0261875929752058,0.128027164588252
1,1,1,1,1,1,1,1,0.25,1,0.00724388745459027,1.84230689039794,-0.382337143058031,2.98618114080093,0.00492068024792241,0.277163697883047,0.342594335391268,0.827634243273541,-0.180734129395373,0.38271549772518,0.535754921533551
1,1,1,1,1,1,1,1,0.35,1,0.00916216308417582,2.30803614289316,-0.389480108518046,3.34827718251429,0.00640492470824657,0.65911708365892,0.709590766890606,0.648243290121095,-0.0681121540769345,0.384290201093193,0.452205997407173
1,1,1,1,1,1,1,1,0.45,1,0.010386866849006,5.76942916775506,0.276446846800111,5.02466814522765,0.011224730975284,0.708550239591276,0.708995913796075,0.686766568216949,-0.147400943199862,0.124190459347656,0.317796867987588
1,1,1,1,1,1,1,1,0.55,1,0.00978764590578295,5.16050353394698,0.122097184124547,4.74003241664486,0.00864612270412687,0.83073898988691,0.799926977166047,0.627042498762634,-0.179027727161468,0.230625996105547,0.289150423552909
1,1,1,1,1,1,1,1,0.65,1,0.0135401484113199,5.90220361514975,0.356883833941881,4.28060610271946,0.00834450194684773,0.731291247418131,0.642544974082121,0.708325793384746,-0.260804803922319,0.113631386260827,0.191523837100955
1,1,1,1,1,1,1,1,0.75,1,0.0221232089365508,4.63799755367267,0.0976754870082215,4.05988037081376,0.0157294831735777,0.560333205112259,0.567345336658444,0.699678701982306,-0.0545261134377545,0.757797613388742,0.713876408093972
2,1,1,1,1,1,1,1,0.25,2,0.0115085419737847,-3.31333623194101,3.66910082998801,-0.0321631267155304,0.00240433153660855,0.248244704901522,-0.0321682830870966,0.839276525334258,-0.159504445444742,0.421925892691307,0.575609353993123
2,1,1,1,1,1,1,1,0.35,2,0.00921864011824032,0.408572819314559,-0.953962922399059,1.01636405007559,0.00635964094481071,0.662404474130701,0.711954057483829,0.649501678661571,-0.0621308067004017,0.360270939711687,0.423575058757003
2,1,1,1,1,1,1,1,0.45,2,0.0102136683722979,2.72415584010026,0.451825033778694,2.17334004310003,0.0113526548784155,0.71141602451909,0.71041124882388,0.692162120221127,-0.140327339710823,0.136195950042273,0.32681344874316
2,1,1,1,1,1,1,1,0.55,2,0.00978744026352854,2.21363121109462,0.177396201042462,1.9564892460036,0.00861608979544637,0.830659491231586,0.799571711416178,0.627042498762634,-0.179027727161468,0.230625996105547,0.289150423552909
2,1,1,1,1,1,1,1,0.65,2,0.0134243427544638,2.67592802087848,0.53306680464386,1.65612874633504,0.00829566247870198,0.732464997702544,0.646072727565498,0.696700198486907,-0.235625194731782,0.132807109949092,0.195980464860963
2,1,1,1,1,1,1,1,0.75,2,0.0221072180852174,1.89853846686286,0.153935819548638,1.53921686356417,0.0157404981205614,0.560240123432702,0.567355393343967,0.699678701982306,-0.0545261134377545,0.757797613388742,0.713876408093972
1,2,1,1,1,1,1,1,0.15,3,0.00624518856444016,1.61381946961903,-0.297346013510657,2.4076130857543,0.00373693306786351,0.532894630486503,0.456601870119398,0.648520039223856,0.0600683476932003,0.0475247684119796,0.195437717826969
1,2,1,1,1,1,1,1,0.25,3,0.00899797365258916,3.04809856942243,0.0274084102049457,2.9443705515209,0.00557782947007042,0.465988115221512,0.512735701070519,0.74301278964421,0.0169146406713597,0.0558911754370527,0.27299657556525
1,2,1,1,1,1,1,1,0.35,3,0.0109903040568941,1.47618272456038,-0.709020241662049,2.90597199562678,0.00491306329195405,0.780725935841351,0.812450250279063,0.533629773049888,-0.0266752267199277,0.0234878479768705,0.0950505683064898
1,2,1,1,1,1,1,1,0.45,3,0.0100841994561851,5.32789972956141,0.192516005838101,4.83898599826612,0.0103492762477586,0.861425157837945,0.883253720174483,0.518977708088714,-0.0560590144800189,0.0549764272771726,0.153881102287301
1,2,1,1,1,1,1,1,0.55,3,0.00531725164483597,6.19990900097637,0.252846008512993,5.199349997061,0.00982121002846595,0.92937437144522,0.893496824250375,0.36821802225924,0.151456284218852,0.0950855968707909,0.191144332720731
1,2,1,1,1,1,1,1,0.65,3,0.00851111967295877,6.59556497755997,0.37751377140676,4.69546561746863,0.00920798333496776,0.885282796573794,0.826216949447725,0.479165058937929,0.138983983819523,0.139337219504548,0.307918859223494
1,2,1,1,1,1,1,1,0.75,3,0.0148339327708487,5.72662459322877,0.165854612619636,4.56797803533497,0.0176996488606797,0.771119140006853,0.820906195890865,0.610966005622063,0.105388281665703,0.140275379301643,0.390070470893183
2,2,1,1,1,1,1,1,0.25,4,0.00899864147794112,0.884773912027269,0.0437716076268436,0.837179808253036,0.00554259805162368,0.466209707174224,0.513048915577086,0.744992647871657,0.00356908169243922,0.0675717222497626,0.283531596770071
