Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.141488479971459,2.17221113648938,0.504427538802116,1.71241860030027,0.125067231445671,0.183983876870699,0.180404968998871,0.929370553881221,-0.2227427913563,0.650496600435432,1.43836382699239
1,1,1,1,1,1,1,1,0.15,1,0.0800514926037266,3.00239342518584,0.325214759213868,2.64958889026031,0.125386734232172,0.33755851535706,0.375679576449742,0.82893355637905,0.590929998580839,1.31374721867669,1.86238861598883
1,1,1,1,1,1,1,1,0.25,1,0.053935844997356,3.41094150426306,0.0769707386893961,3.35801155538955,0.0640054690723937,0.517708956427009,0.537417364062912,0.736526438632116,0.2595124389752,1.11370994580754,1.232341506584
1,1,1,1,1,1,1,1,0.35,1,0.0581582992858275,3.33312429509197,0.44944917095679,3.0280464024805,0.0487423765576855,0.393039996253813,0.397921595468349,0.82999507370998,0.113684924240071,0.6479190574548,0.890107527249369
1,1,1,1,1,1,1,1,0.45,1,0.049808934572852,4.4457221557848,0.791480566392446,4.45312535827903,0.0492424239098255,0.374116583949791,0.440029514523799,0.796717798925692,0.393894345169505,0.634504914786876,1.06345306678434
1,1,1,1,1,1,1,1,0.55,1,0.0391865745459451,3.92784613197562,-0.335817777914448,3.70269216746823,0.0186926287965761,0.334667793227742,0.344961292633101,0.80804013967964,-0.282693728213579,0.308555083137429,0.573559844063718
2,1,1,1,1,1,1,1,0.05,2,0.123255071459338,0.389460551634302,1.17297148963757,0.224012887703239,0.14503448828869,0.131066027163673,0.153145987315097,0.950666640338046,-0.517693195231742,0.67146156400424,0.86137768678345
2,1,1,1,1,1,1,1,0.15,2,0.0784203895435374,0.844583065853713,0.587413135430629,0.673881721705025,0.127750718427597,0.332047576224607,0.37308273016933,0.833610996641244,0.61691924334228,1.48754369982007,1.96036766527824
2,1,1,1,1,1,1,1,0.25,2,0.0539362455800635,1.12835877753168,0.13209450857694,1.09847675387248,0.0640084003031195,0.516491534229752,0.536884935538118,0.737284341275792,0.254621792618346,1.11336137326051,1.23579384858225
2,1,1,1,1,1,1,1,0.35,2,0.0569998926480923,1.06621331697532,0.663286026468513,0.925380891175968,0.0482045215499304,0.36703286734619,0.389598023515124,0.827602440390856,0.184805950851354,0.790189332537025,1.0287766739658
2,1,1,1,1,1,1,1,0.45,2,0.047512777943753,1.80519714091883,1.03867854424217,1.80914312866559,0.0525120650327409,0.368022449572359,0.449134005577238,0.800142937144815,0.361661366574104,0.683697452644422,1.10642182017646
2,1,1,1,1,1,1,1,0.55,2,0.0391101782823126,1.43938885559836,-0.549943654157436,1.30675620018032,0.018718546376043,0.336094477468336,0.345426858317858,0.80804013967964,-0.282693728213579,0.308555083137429,0.573559844063718
1,2,1,1,1,1,1,1,0.05,3,0.111929282451848,2.97914734971859,0.817499285480824,2.02624469125372,0.153120158586214,0.502075576275183,0.516731424547134,0.780340134911558,0.26303038587935,0.499081856423226,1.03322305727004
1,2,1,1,1,1,1,1,0.15,3,0.0627924913814818,3.56120874551016,0.533951453475042,2.90043583753315,0.142265666199993,0.635826599894153,0.662451483820369,0.714744062017322,0.369474865125695,0.417238457655613,0.790351814945595
1,2,1,1,1,1,1,1,0.25,3,0.0393297188982605,4.10123841322834,0.404395446264215,3.77772359032931,0.0779018318985662,0.733317182914331,0.777499915757205,0.625311673695065,0.176380743875062,0.243591415151141,0.679638176832831
1,2,1,1,1,1,1,1,0.35,3,0.0548766012057504,3.71248196373817,1.01248187815391,2.99054859008003,0.0522178415360948,0.616638179375589,0.64335145947436,0.719942656222095,0.159210343155996,0.380535991182867,0.641422266587433
1,2,1,1,1,1,1,1,0.45,3,0.0635352065062149,3.76978201060712,1.03405174618373,3.77798564565587,0.0414465187487022,0.595813699195908,0.530025373815727,0.622580218119376,0.551979086060098,0.523719855231257,0.863403912907505
1,2,1,1,1,1,1,1,0.55,3,0.0368142168100123,3.89172717537927,-0.339687662178622,3.66614885770513,0.0185099567899839,0.639172164776375,0.615973834176279,0.657581390990016,0.676109922780316,0.549134085046925,1.07701985232379
2,2,1,1,1,1,1,1,0.05,4,0.0812208008192536,0.874666751131744,1.42839271388252,0.446014835409592,0.180694352854047,0.466326917673132,0.542711943118973,0.784645210805787,0.228193225144883,0.498582260004874,1.11719201876906
2,2,1,1,1,1,1,1,0.15,4,0.0588288211174527,1.18056312302075,0.99490361641125,0.805391187607678,0.14476039818023,0.629489217134024,0.666147026270609,0.715316118590219,0.378308236337002,0.430004180216675,0.784902050621716
2,2,1,1,1,1,1,1,0.25,4,0.0382710378693796,1.51506365752061,0.611510659886147,1.33804183420042,0.0773411403510213,0.729129774357349,0.779027417262022,0.624644207991317,0.188392883248808,0.198889588750643,0.597424960574624
2,2,1,1,1,1,1,1,0.35,4,0.0501718625876172,1.14169455856691,1.49230737493726,0.830098981075475,0.0524870069731438,0.568529228241522,0.654064280522809,0.725415222875659,0.191548533466448,0.340144498627789,0.654852211847972
2,2,1,1,1,1,1,1,0.45,4,0.0606493419416343,1.24196580967361,1.76272529989697,1.24657659491304,0.0432078888414465,0.615986568416725,0.577959174363166,0.628336073882182,0.412248337022952,0.508065495480693,0.748528742917446
2,2,1,1,1,1,1,1,0.55,4,0.0368052995655815,1.42807665908384,-0.531700193073265,1.30065073020914,0.0187030761984389,0.639480053613369,0.615366362484665,0.657581390990016,0.676109922780316,0.549134085046925,1.07701985232379
1,1,2,1,1,1,1,1,0.05,5,0,4.02992604398094,0.398964097932554,3.33888010444418,0.241495423168897,0.0493028591784375,0.185510465578879,0.927365097975387,-0.164544570771488,1.13574143057876,1.86384766103191
1,1,2,1,1,1,1,1,0.15,5,0,4.15142581603008,0.314943899005121,3.67809313395199,0.173338810075732,0.212545470446527,0.40353802282905,0.832978496868295,0.600102648193657,1.34212170863039,1.87066016811982
1,1,2,1,1,1,1,1,0.25,5,0,4.26350516729767,0.0929132034384033,4.18377101188449,0.0797288994752511,0.455403107404153,0.581185265221055,0.735648036594824,0.26424638124252,1.09148367417956,1.22264143201989
