Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,-0.0120550917750624,5.25291516301302,0.286310109799423,5.06715415949534,0.214423248421089,0.516436533398204,0.508577978571014,0.771743689007711,0.113512972350245,0.756782147031799,1.46364352698956
1,1,1,1,1,1,1,1,0.15,1,0.0357447520852456,4.38227087894694,0.289040243363822,4.52945316569795,0.203557221222937,0.380551969785046,0.354396490220723,0.863870136448754,-0.121283193426565,0.828924646443645,1.66934356043363
1,1,1,1,1,1,1,1,0.25,1,0.0576710045553236,4.0540165941477,0.22489147158089,4.2900869577003,0.154170537180623,0.376502710296732,0.386270174920504,0.836399820660565,0.0986843965281947,1.18816578660137,1.72045466865797
1,1,1,1,1,1,1,1,0.35,1,0.0299006527087012,4.51066973000398,0.339902634167758,4.97402782991979,0.13542484969629,0.551297823961492,0.526398435475402,0.646055502995531,0.316584787750816,0.524762553954591,0.713185080199145
1,1,1,1,1,1,1,1,0.45,1,0.0276337096469306,4.85440537291498,0.353918521667416,5.16993319747989,0.154485230104545,0.447224646283691,0.480718996301935,0.765142699837122,0.155628311389342,0.310354714636405,0.843856280125504
1,1,1,1,1,1,1,1,0.55,1,0.0504389733565125,3.86257185540223,0.453318694791539,4.23084514859568,0.112405708830973,0.465968865177884,0.400907196979403,0.759708695345861,0.0117374909324062,0.236045357050577,0.660700643539693
1,1,1,1,1,1,1,1,0.65,1,0.0282698771539336,5.18920021080774,0.434239698351466,5.76118881844644,0.123149509548527,0.389100484835666,0.489513085078044,0.772188647251835,0.113630914798262,0.299396201918332,0.747819775027335
1,1,1,1,1,1,1,1,0.75,1,0.0410234572684715,3.82926240967615,0.395108569871118,4.79155606014925,0.0671366960275694,0.522701812186685,0.557214654842773,0.673989016530047,-0.160862078838255,-0.000737247546281075,0.187757488498826
1,1,1,1,1,1,1,1,0.85,1,0.00804317739283534,6.02666803038313,0.511212791193017,6.39293705692084,0.0669489858679917,0.462991016995138,0.477919658855604,0.642840631291415,0.617507786049474,0.563718419668898,0.899350898314317
1,1,1,1,1,1,1,1,0.95,1,0.0468010454768344,1.80889948998419,1.05173576507292,2.60876945067708,0.0332282561728713,0.353880285690513,0.343111335093793,0.796969920880039,0.153116290841546,-0.0141479138244952,0.190326930652619
2,1,1,1,1,1,1,1,0.05,2,-0.0129369307989504,2.28458473379182,0.39767621460496,2.17314626409696,0.215764953438009,0.515495753051796,0.508342165560149,0.772647495206125,0.0915799826563723,0.756871176031843,1.44454994405584
2,1,1,1,1,1,1,1,0.15,2,0.0348270185975683,1.74497699394433,0.424048321130278,1.83162855566491,0.205092228338775,0.379534499741217,0.353662953698228,0.863502433160158,-0.11129873302854,0.863929364019793,1.67511674015077
2,1,1,1,1,1,1,1,0.25,2,0.0570983764034179,1.54868463941869,0.328456808364091,1.682144223487,0.15521340471217,0.373917242213438,0.384827887084859,0.835159914341526,0.130824622639764,1.25721859500731,1.74353852245379
2,1,1,1,1,1,1,1,0.35,2,0.028852601779566,1.85293309409168,0.458090904342419,2.11394310637701,0.137736149753403,0.549371931614351,0.525990804418277,0.648944538342818,0.269147513373346,0.532145521308674,0.710528822517607
2,1,1,1,1,1,1,1,0.45,2,0.0259936658146789,2.06500441470325,0.472291963276454,2.24603815481605,0.156247664437585,0.441976823332322,0.478115672058273,0.766570792808544,0.1472431147235,0.350104822386265,0.817199860606432
2,1,1,1,1,1,1,1,0.55,2,0.0483046346866225,1.44651845244474,0.675306519135226,1.65669377685535,0.116508913808563,0.463416007136776,0.402802016805952,0.766716709350906,0.00510577563450003,0.234891844838554,0.644138437365548
2,1,1,1,1,1,1,1,0.65,2,0.0276500073885002,2.25078279864698,0.569436566824299,2.58156945454195,0.124417462505718,0.379917616667106,0.483270618958721,0.769303737516076,0.154910237115497,0.322256716003991,0.737435280181261
2,1,1,1,1,1,1,1,0.75,2,0.0406849481335031,1.44406713845241,0.564823715304641,1.98961715728601,0.0670227926550191,0.521674086649189,0.560119879319379,0.668443135628117,-0.146052332239419,-0.000737247546281075,0.187757488498826
2,1,1,1,1,1,1,1,0.85,2,0.00909484031741521,2.68854503734484,0.680660823217943,2.90826247193788,0.0656572581772717,0.462149762029824,0.471423831878826,0.642364316298368,0.591951244170676,0.533581946563156,0.860952111450347
2,1,1,1,1,1,1,1,0.95,2,0.0469399607244572,0.314836914088238,1.78379502541659,0.585862529703274,0.0341948572493807,0.357666085111928,0.334784447382059,0.821148867478982,-0.0283782449852936,0.021905041499689,0.0706381814474725
1,2,1,1,1,1,1,1,0.05,3,-0.0286777451810313,5.3302053986947,0.269836331762645,5.15237374488709,0.218362468629892,0.691487211563474,0.728118290556849,0.682649299534792,0.0955636639339039,0.296719690816022,0.624617187494323
1,2,1,1,1,1,1,1,0.15,3,-0.0231569865403392,5.23818298165713,0.230151541133059,5.37779534036595,0.241327410266806,0.704332338254101,0.763946658929491,0.67106401458359,0.116813165474491,0.264960325468186,0.523594382827934
1,2,1,1,1,1,1,1,0.25,3,0.0231392611993019,4.48395432685052,0.372824901771222,4.92505222071646,0.174366194985241,0.72333205465453,0.775915676341881,0.673468094155991,0.0910031003239547,0.258186109406214,0.526844112548614
1,2,1,1,1,1,1,1,0.35,3,0.0316503094915481,4.17719736828562,0.510013181409126,4.83732977529596,0.132974736033343,0.737623319498663,0.714585382665672,0.543675495765665,-0.0271442076903162,0.0704563640685162,0.110637463543856
1,2,1,1,1,1,1,1,0.45,3,0.0157841570738159,4.90544369693151,0.415304131859292,5.2816635431702,0.158826894522586,0.768418742928874,0.786438255885952,0.580257122706347,0.270854099028753,0.364746943212034,0.499371410017868
1,2,1,1,1,1,1,1,0.55,3,0.0407041525365513,3.98649667680763,0.427722294633901,4.3441895198532,0.116630573914245,0.729997137806148,0.790775886418745,0.627368844963028,0.103108924672019,0.0358116235783474,0.18207392633806
1,2,1,1,1,1,1,1,0.65,3,0.037763423877786,4.57596707354413,0.546970862740931,5.22015875632637,0.106151919481098,0.751244499940456,0.767128830762806,0.628884818361547,-0.0933200864100717,0.0777059534290926,0.136130831808512
1,2,1,1,1,1,1,1,0.75,3,0.0356861356283884,3.55431907952925,0.505838881162474,4.73591263967846,0.0665765982548664,0.693980891545978,0.583593518209827,0.662781582608646,-0.0967967724572761,-0.0548338001050015,0.0518775287016002
1,2,1,1,1,1,1,1,0.85,3,0.0142370538835284,5.8434684501858,0.200797076174497,5.98046721667377,0.0646058846588282,0.697353115466227,0.716657745156121,0.533337110182387,0.0633669465901007,0.0809312529766069,0.191295416692444
1,2,1,1,1,1,1,1,0.95,3,0.0415932149323967,2.34638941410365,0.698709522029771,2.99256611462142,0.0378092078633084,0.391050429320929,0.37502375043736,0.680794291283877,0.645454942799771,0.637530032276408,0.515929711109648
2,2,1,1,1,1,1,1,0.05,4,-0.0291735314787784,2.3297789367336,0.387280800052967,2.2190348713915,0.218840784931216,0.691369095176036,0.727717102331643,0.683520016142502,0.0920718888835188,0.299040522148355,0.626615755837582
