Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0622384974456214,2.88513232558808,0.183872070321001,2.74925318354644,0.142143832579822,0.199970687287832,0.222880004700686,0.845667550839642,0.21718782353382,0.87975544628843,1.21404638648203
1,1,1,1,1,1,1,1,0.15,1,0.0780964378780454,3.09990280386837,-0.0813860957799347,3.10613874195496,0.16905776974393,0.254307627921196,0.265727110977387,0.786983788242466,0.112084425969684,0.52315474352593,0.672716895469258
1,1,1,1,1,1,1,1,0.25,1,-0.0112789450079367,4.34883471129481,-0.0189174266053137,4.34539195852007,0.232393622384887,0.375227547004691,0.39075923572331,0.818382581405835,0.133609450994172,0.780232273097684,0.963102432229521
1,1,1,1,1,1,1,1,0.35,1,0.0333082298620129,3.46785941491598,-0.00137944116254274,3.46737135449571,0.168828901955084,0.386782010197911,0.391704860291502,0.783192350458772,0.147773309740008,0.851441446830593,0.897014366956502
1,1,1,1,1,1,1,1,0.45,1,-0.000472862734754451,3.98789791743495,-0.0172992222440611,3.9839971774694,0.177185158710004,0.43575642862076,0.490302564805454,0.786373462873334,0.225296193849545,0.754005570722782,1.05538560342202
1,1,1,1,1,1,1,1,0.55,1,0.0349722655251252,3.47146027474403,0.150797505366956,3.60260257459592,0.0939322660507432,0.406505366486557,0.330105454232123,0.716995058558446,0.351671136320575,0.77744586706189,1.03726918967923
1,1,1,1,1,1,1,1,0.65,1,0.0527412904958788,2.95420488864773,0.548596663226229,3.75126627929143,0.0320407105672507,0.113275050912953,0.140707353970621,0.866975944203446,-0.184782796518586,-0.00654328347497109,0.364788471170252
1,1,1,1,1,1,1,1,0.75,1,0.0511440610324673,2.49976788347898,0.588796488594548,2.44825191705495,0.0256022458556694,0.225153671783133,-0.0335549503212429,0.590078688176801,0.740911491007104,0.905758307296152,1.01853540239838
1,1,1,1,1,1,1,1,0.85,1,0.0542279287850567,5.1874923305656,0.265613773485035,5.64903315815211,0.0341484128454903,0.293500154794658,0.162865576602776,0.677100887419347,0.230344571758114,0.483981759270316,0.486798460121994
1,1,1,1,1,1,1,1,0.95,1,0.0869771012723141,3.79448387143209,-1.51766228254926,1.35551483481938,0.00648090556570173,-0.125396803316894,-0.36713190504459,0.3610778844177,0.115191165815656,0.192363935545877,0.246013895781058
2,1,1,1,1,1,1,1,0.05,2,0.0594352696585765,0.821556550721182,0.340855383253987,0.751275554738053,0.146412168511646,0.199692463187636,0.223698332800061,0.844827155782953,0.290302746496933,0.910864359482078,1.1932579847667
2,1,1,1,1,1,1,1,0.15,2,0.0778838246304456,0.938708953722023,-0.165447655261504,0.942551738315963,0.16915209508055,0.254193587399896,0.265638575110962,0.785966472970048,0.11432362689784,0.527237416812361,0.678903625518775
2,1,1,1,1,1,1,1,0.25,2,-0.0113504159603088,1.71839917139108,-0.0282805603191695,1.71636588834774,0.232371546810654,0.375140533234883,0.390727110400545,0.818382581405835,0.133609450994172,0.780232273097684,0.963102432229521
2,1,1,1,1,1,1,1,0.35,2,0.033304776528343,1.16741295588369,-0.00223141913459567,1.16714719215341,0.16887024708153,0.386796430233031,0.39171463862737,0.783192350458772,0.147773309740008,0.851441446830593,0.897014366956502
2,1,1,1,1,1,1,1,0.45,2,-0.000504352617575137,1.49211353021102,-0.025623587449065,1.48995222572723,0.177380076565841,0.435784485148643,0.490243255363531,0.786373462873334,0.225296193849545,0.754005570722782,1.05538560342202
2,1,1,1,1,1,1,1,0.55,2,0.0336263907743866,1.21356246225788,0.209625966180242,1.27775848040388,0.0956433072497688,0.402573480112684,0.335056119061394,0.724884555572728,0.322711934960545,0.796621743358468,1.03800322683118
2,1,1,1,1,1,1,1,0.65,2,0.0509468822736967,1.01608627344061,0.732675552737241,1.39790093412125,0.0315030643170905,0.0768545372602247,0.0996129432892137,0.86759646332633,-0.135696304197005,0.113549963330974,0.494293276420585
2,1,1,1,1,1,1,1,0.75,2,0.0515032776152829,0.51348727681604,1.28838497913175,0.490615207105592,0.0244020415674235,0.228480117066276,-0.0233802778987513,0.582187629751052,0.752075717871265,0.902080622303478,1.02992096789408
2,1,1,1,1,1,1,1,0.85,2,0.0535524360268925,2.35350229947838,0.319358650175292,2.60748198683465,0.0351417092278628,0.288584432750361,0.168894619114915,0.684838948947733,0.223558434372458,0.477941539575232,0.480405888339128
2,1,1,1,1,1,1,1,0.95,2,0.0846972678423497,0.880151569444995,-1.86462073373425,0.24848933428734,0.00976057898498809,-0.0661523617514699,-1.63531904094903,0.260989158583665,0.0960180359945508,0.206495175373137,0.272625345308322
1,2,1,1,1,1,1,1,0.05,3,0.0895331354316945,2.46982393846295,0.547959429777442,2.13909297423947,0.108359482970908,0.622937881534915,0.516120229218757,0.718070650942081,0.0245988602407244,0.165763825869493,0.146285765133684
1,2,1,1,1,1,1,1,0.15,3,0.040650041769954,3.54436422438052,-0.0535609119763432,3.54905495585151,0.191938715178065,0.634672195436326,0.710912454393094,0.667542192759869,0.0328222831625179,0.0777554153645809,0.288696512783521
1,2,1,1,1,1,1,1,0.25,3,0.000776508561563866,4.00843495323278,0.0906471909702482,4.02367535221559,0.217349973480551,0.681000627002761,0.711567501896747,0.646339942062658,0.0979737614566246,0.146961384210758,0.221738569395774
1,2,1,1,1,1,1,1,0.35,3,0.00664135504155389,3.81767702729558,0.236515353215078,3.91092702126897,0.188742750771605,0.66257200054997,0.746688766800253,0.650924455930709,0.156235452811641,0.136297125919302,0.297968357300321
