Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0499344858516251,4.25889165678165,0.360825177244218,4.30515855384901,0.117748971562761,0.216013028057093,0.127698366603345,0.894043110114363,0.229797745693115,0.916812083910223,1.21096663986615
1,1,1,1,1,1,1,1,0.15,1,0.0796532521821401,3.49012029743583,0.534928178704583,3.90759248049397,0.0851292752313943,0.17720459208176,0.179780845464688,0.896369578170454,0.076160516171333,1.13906394292178,1.94688843241269
1,1,1,1,1,1,1,1,0.25,1,0.0301503030255106,5.19206901066658,0.311395985230586,5.45869233273934,0.138796737132336,0.269878122953816,0.288220543767877,0.859921574115869,0.0671507235138373,1.50602700912287,2.20724673438301
1,1,1,1,1,1,1,1,0.35,1,0.0292631714236647,4.44508792504681,0.0877527702544483,4.52809736968163,0.124347810470493,0.146897022176551,0.162581380509645,0.885636372705639,0.250604208972126,2.5975818293864,3.31398949732369
1,1,1,1,1,1,1,1,0.45,1,0.00571818936571462,6.4627943794511,1.4163731444888,7.29539761855871,0.138454762858285,-1.26983568252823,-0.523833787825993,0.459572276224647,0.00192948013653867,0.0975678570518284,0.227287978315129
2,1,1,1,1,1,1,1,0.05,2,0.0476079737247291,1.71096006478465,0.476478137650212,1.7355476097203,0.122141511936372,0.21590033409994,0.134220351883105,0.896050609944042,0.238701316807487,0.989340196074555,1.27318627402991
2,1,1,1,1,1,1,1,0.15,2,0.0881284504479183,0.884189180874639,1.14516863173905,1.12613761242478,0.0755720937176715,0.158543503675565,0.167068140740986,0.904979814005796,-0.0901142845360881,0.718531692292193,1.51049066822555
2,1,1,1,1,1,1,1,0.25,2,0.0302933202808806,2.23350265104019,0.422168514724712,2.39040275531725,0.138722738802252,0.267858492786626,0.287048681025424,0.86694460341792,0.0475261497794574,1.4442747863768,2.07162194482016
2,1,1,1,1,1,1,1,0.35,2,0.0292482608041033,1.77829077105555,0.134384391100175,1.8293978731234,0.124385044760922,0.146972250040506,0.162662221969772,0.885636372705639,0.250604208972126,2.5975818293864,3.31398949732369
2,1,1,1,1,1,1,1,0.45,2,-0.00707050408060274,3.42763245490979,1.57040085639893,3.92054218846139,0.153947130241941,-1.3920016688418,-0.550284730187041,0.523559380704974,0.025986041725724,0.122591366774399,0.16960331128938
1,2,1,1,1,1,1,1,0.05,3,0.00774174117302737,4.91486444143489,0.524790311872602,4.99271206163485,0.132492020861918,0.36829531221063,0.403994868312603,0.744994396301404,0.677546708335203,0.812450752451655,0.734181696206916
1,2,1,1,1,1,1,1,0.15,3,0.0467769731346695,4.02782971542752,0.11019593204296,4.12267733172497,0.0905055016323104,0.482299873222137,0.519558518033644,0.77905674469152,0.271025085736314,0.311523425989219,0.62048898478077
1,2,1,1,1,1,1,1,0.25,3,0.0101543697645986,5.1973143782615,0.201829469038711,5.36877161126721,0.137582261336424,0.440037182466329,0.561207483497476,0.795237131758314,0.424857601715192,0.488034113513152,0.826725838114495
1,2,1,1,1,1,1,1,0.35,3,0.00333416842288151,4.5706639685818,0.127181780866417,4.69488712656034,0.128127644559688,0.259804298910025,0.39430112464822,0.842101416524128,0.311734041989501,0.488551444563557,0.728236801032192
1,2,1,1,1,1,1,1,0.45,3,0.0113717002281775,5.05970010185928,1.88428575941008,5.94483469347608,0.10797233603295,-0.876571261123609,-0.125729517301224,0.603768903876264,-0.222999417433704,-0.268935365396872,-0.217574145121736
2,2,1,1,1,1,1,1,0.05,4,0.00472288643997709,2.0777121526292,0.723344495310577,2.12320851896327,0.135615920000186,0.369946619100194,0.410570060541337,0.746948754247843,0.679438681063977,0.803774331367354,0.715666332054154
2,2,1,1,1,1,1,1,0.15,4,0.0467473505078153,1.51780463757254,0.192877807602024,1.58091496014247,0.0908752755783938,0.482273538533106,0.518936457489485,0.778043399219416,0.274073940426329,0.320028370629058,0.622229281900204
2,2,1,1,1,1,1,1,0.25,4,0.0101188546686232,2.24665389989146,0.301528091991638,2.35827883056337,0.137854016210142,0.440363923912139,0.560842738443523,0.794722696292271,0.408878649902765,0.484795617211777,0.826854107008248
2,2,1,1,1,1,1,1,0.35,4,0.00327275969422881,1.85545157731309,0.190183583456353,1.93136553073801,0.128030290620946,0.259531790192365,0.394615768350121,0.842358785331044,0.314602697731473,0.491973989460421,0.737182818063003
2,2,1,1,1,1,1,1,0.45,4,-0.00359575062849128,2.5588634265536,2.15011070491057,3.07566801267387,0.120952267301169,-0.912572917188699,-0.132313469028378,0.590940278992437,-0.27526560675973,-0.221020741990991,-0.201420949517685
1,1,2,1,1,1,1,1,0.05,5,0,5.76708812150228,0.323208188131169,5.82317616575266,0.160470971282638,0.213056083285408,0.234343027306614,0.894811015972957,0.26015158239479,0.96343252837462,1.34614886642801
1,1,2,1,1,1,1,1,0.15,5,0,6.10236951624976,0.352371855775628,6.57387583855398,0.144954989919084,0.166465159530769,0.24229808809736,0.883572377534415,0.0834378897451404,1.55018634469741,2.17236614164865
1,1,2,1,1,1,1,1,0.25,5,0,6.05886345370626,0.29778555832422,6.35607132368917,0.161876748645587,0.255328148523933,0.309909345615354,0.858368652688454,0.0650494105109943,1.56270784188778,2.26507548472717
1,1,2,1,1,1,1,1,0.35,5,0,5.27320141664909,0.092370359311976,5.37690777704873,0.147289125747337,0.129679145989852,0.161769000030444,0.884493024139593,0.256315028001498,2.56242747397936,3.28961810469333
1,1,2,1,1,1,1,1,0.45,5,0,6.70970016797411,1.39029580630102,7.55723240381488,0.144180812992645,-1.31016641075602,-0.528479877319914,0.459572276224647,0.00192948013653867,0.0975678570518284,0.227287978315129
2,1,2,1,1,1,1,1,0.05,6,0,2.60336920537311,0.403747407650286,2.63503590088814,0.162304437479949,0.212632576400498,0.233272970869813,0.899589083353061,0.254192336851137,1.07317821437439,1.38031425530728
2,1,2,1,1,1,1,1,0.15,6,0,2.78068069011169,0.487548703488673,3.08229267243005,0.144396262925554,0.163323809491042,0.240463940806614,0.885379462133924,0.0921230721297609,1.49085187481993,2.11490832287353
