Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.35,1,0.0357037254050624,2.24118811932845,-0.722396266271921,1.98241245217921,0.0803315927211445,0.414704569110311,0.358649863126156,0.668679517755569,0.083434064784588,0.0355040832743457,0.166724758330861
1,1,1,1,1,1,1,1,0.45,1,0.0592926008297252,1.95911319452162,-0.239674484842346,1.88256700127214,0.0346664942758917,0.209945891305566,0.239654622248422,0.805724314922341,0.293728071054064,0.747451610159435,0.931806104708504
1,1,1,1,1,1,1,1,0.55,1,0.0384888336752193,2.71558271565772,-0.225335683762026,2.63570006404281,0.039383765364031,0.405802428201701,0.401243556852066,0.621705627458418,0.0279708047736356,0.280549031648006,0.392672400902451
1,1,1,1,1,1,1,1,0.65,1,0.0552883464273028,2.92437912735013,-0.00726312221272021,2.91390597429121,0.0286832664723537,0.38978418259978,0.276762130640589,0.717041512249256,-0.063416922480074,0.404374442337878,0.468664742529893
1,1,1,1,1,1,1,1,0.75,1,0.0825200240040997,0.954020872253198,0.40261096565617,1.09038831902943,0.0118868789126677,0.0772397649746304,0.0740256845623539,0.600963788289887,-0.0895888372737132,-0.0460430659740577,-0.0652980489061073
1,1,1,1,1,1,1,1,0.85,1,0.0257269147490984,4.08258986087093,0.466241131617583,3.87424654069259,0.0661098450542397,0.124385370841143,0.322661908501014,0.253889467598592,0.0548814013960298,0.0548814013960298,0.0511618609123776
2,1,1,1,1,1,1,1,0.35,2,0.0267362002061851,0.478568764932329,-2.08768870440479,0.335703161356497,0.091661879009976,0.413525080088936,0.383256966095948,0.641563383927991,0.00619649268042596,0.044635331164537,0.190281089129554
2,1,1,1,1,1,1,1,0.45,2,0.0584435879500208,0.202184596708888,-1.84502604760853,0.14876537180177,0.0362605422162792,0.217284607024289,0.245345641009878,0.798238740981683,0.357057055066663,0.803628233116437,0.95847303301245
2,1,1,1,1,1,1,1,0.55,2,0.0382055541770096,0.689340375406215,-0.497994822538969,0.645321847364813,0.0395312881674909,0.408339912906189,0.402833565796147,0.614426650412748,0.0563070258636261,0.311982722208423,0.413952406510684
2,1,1,1,1,1,1,1,0.65,2,0.0552874636832959,0.826436081218795,-0.0133966617080579,0.820985172168624,0.0286781587319284,0.389865080158841,0.276709258992237,0.717041512249256,-0.063416922480074,0.404374442337878,0.468664742529893
2,1,1,1,1,1,1,1,0.75,2,0.0854776938721179,-0.241990177584181,-4.04415160978261,-0.0632360065392957,0.011786260809227,0.109784599355819,0.149406684643987,0.753153609816175,-0.412595603399695,-0.349602627709313,-0.326769120067828
2,1,1,1,1,1,1,1,0.85,2,0.0250822267004465,1.54120009986566,0.634846604635211,1.43510624376667,0.0698985717404578,0.169354666289312,0.339841701092183,0.214374348951583,0.0274407006980149,0.0274407006980149,0.0255809304561888
1,2,1,1,1,1,1,1,0.35,3,0.0256437338063432,2.28894647482161,-0.783138288832419,2.003876636941,0.0820732896956167,0.852582026031687,0.879469836275143,0.422753593024783,0.00557966756250073,-0.00848208782959059,-0.056195961842215
1,2,1,1,1,1,1,1,0.45,3,0.046505068217146,2.138719574955,-0.375691031021087,2.00919346640168,0.0382039475206635,0.797261712628491,0.857481781990839,0.589026145021861,0.0425468455579692,0.0218658983500165,0.131714177401316
1,2,1,1,1,1,1,1,0.55,3,0.0196837921296512,3.01352032184393,-0.144725641903507,2.95628172636683,0.0451949686086635,0.813990497087509,0.858438224805212,0.516494771832053,-0.170780195193884,-0.143654103250114,-0.097777572550905
1,2,1,1,1,1,1,1,0.65,3,0.0313644944555497,3.21398943811518,0.291856867115662,3.71240933364662,0.0377208764354276,0.687769634473588,0.780735722483517,0.46037347012297,-0.0307933308159463,0.0873048658951402,0.0910739096558783
1,2,1,1,1,1,1,1,0.75,3,0.0498755975004521,2.05374500097834,0.644667338233655,2.5436327589962,0.0240834354259283,0.449735808781641,0.647680666203404,0.568602185366388,-0.161601873629388,-0.169443306383466,-0.227942167519563
1,2,1,1,1,1,1,1,0.85,3,0.0141534414140569,4.45314407302615,0.861057446622617,4.04254307743109,0.0675129143814096,-0.302891164968013,0.439743503710598,0.123974642511613,0.0974675533992619,0.168227287379484,0.0910265396672661
2,2,1,1,1,1,1,1,0.35,4,0.0181060501064212,0.502308452114427,-2.11349997218614,0.350814645550532,0.0921890234744465,0.853105207144062,0.881978134198921,0.433509038428114,0.0456213722756134,0.0264662802453244,-0.0281803010732132
2,2,1,1,1,1,1,1,0.45,4,0.0578723776964216,-0.00804560571078192,2.32987114126342,-0.0118527755464713,0.0292609145510253,0.792201371449671,0.82013199004824,0.598114508252857,0.0533460563706151,0.0781460353892281,0.115721007992493
2,2,1,1,1,1,1,1,0.55,4,0.0196980489180696,0.878950479182899,-0.261611647626284,0.849004204640729,0.0450282241103352,0.813763400380467,0.858135283209399,0.516494771832053,-0.170780195193884,-0.143654103250114,-0.097777572550905
2,2,1,1,1,1,1,1,0.65,4,0.0308327408122146,1.06686447892536,0.4211375981323,1.31357530939264,0.0370888286673554,0.685351899366883,0.78000401219797,0.447829425218665,-0.0480144959651229,0.0685891966065788,0.0736705870172348
2,2,1,1,1,1,1,1,0.75,4,0.0479804600506413,0.407668434964297,1.08981720110114,0.585287020044648,0.0288982889719817,0.382104824112871,0.622764758050675,0.587914888822161,-0.219720847610642,-0.0638081378671902,-0.170639931102616
2,2,1,1,1,1,1,1,0.85,4,0.013699368849667,1.67560961559618,1.1234958216136,1.47691687135642,0.0672791406745097,-0.189215239612187,0.459340677814302,0.0619873212558064,0.168227287379483,0.168227287379483,0.157110210667102
1,1,2,1,1,1,1,1,0.35,5,0,3.02173742638154,-0.482378004228138,2.78404525836532,0.115909903355393,0.351699756121737,0.463869174412979,0.702773604077106,0.0725287448846265,0.0895902452115908,0.213045152869012
1,1,2,1,1,1,1,1,0.45,5,0,3.69410086689918,-0.00301854412974722,3.69224705634459,0.0750320211066108,-0.240217194214106,0.209778207874248,0.809701085289577,0.242415057497955,0.987113580746878,0.980226276098112
1,1,2,1,1,1,1,1,0.55,5,0,4.01130185893306,-0.159986307331959,3.92716236316466,0.0595875881381318,0.256406487293541,0.452258830911266,0.613365567539878,0.0467287754209813,0.310335680692119,0.399950590101851
1,1,2,1,1,1,1,1,0.65,5,0,4.99217825925037,0.00316332259688947,4.99998504361897,0.0491904929434209,0.121576119477494,0.388163345030029,0.717260407111065,-0.0774099295509614,0.413208347841907,0.469823743898528
1,1,2,1,1,1,1,1,0.75,5,0,4.92738041839474,0.210434029349837,5.28376305911567,0.0586896938330492,-1.42087109789719,-0.157974936009311,0.600963788289887,-0.0456613655103969,0.0287583256661081,0.0195337115046698
1,1,2,1,1,1,1,1,0.85,5,0,5.57836558272652,0.442329448625496,5.30792961636477,0.0915319199696701,-0.00553280933566236,0.355609815358753,0.253889467598592,0.0548814013960298,0.0548814013960298,0.0511618609123776
2,1,2,1,1,1,1,1,0.35,6,0,0.865281506086765,-1.24546045023302,0.700312151644136,0.114238482653558,0.353845120870157,0.459239356580893,0.668275197534958,0.0845741902355976,0.0944547451196645,0.223823305177855
2,1,2,1,1,1,1,1,0.45,6,0,1.30894718472044,-0.00591207241608664,1.30766096113585,0.075042978462254,-0.2402774383693,0.209785384764051,0.809701085289577,0.242415057497955,0.987113580746878,0.980226276098112
2,1,2,1,1,1,1,1,0.55,6,0,1.50375566930149,-0.26886723205233,1.45112620709087,0.0596574154266901,0.257435801825414,0.452846283331128,0.6202849051449,0.040625258374847,0.321733917294242,0.420905453190842
2,1,2,1,1,1,1,1,0.65,6,0,2.12027053583403,0.00452634154726547,2.12501648917849,0.0491911231756516,0.121565159369121,0.388157356439535,0.717260407111065,-0.0774099295509614,0.413208347841907,0.469823743898528
2,1,2,1,1,1,1,1,0.75,6,0,2.09093989852594,0.281542590962341,2.29570871970661,0.0585811145598955,-1.42650069313797,-0.164432736866968,0.600963788289887,-0.0456613655103969,0.0287583256661081,0.0195337115046698
2,1,2,1,1,1,1,1,0.85,6,0,2.45672506656125,0.560140539136978,2.306888407436,0.0939525425754639,0.0286243590094079,0.364896669828302,0.214374348951583,0.0274407006980149,0.0274407006980149,0.0255809304561888
1,2,2,1,1,1,1,1,0.35,7,0,2.89760001831872,-0.604299696089175,2.61495970300937,0.106227979232741,0.841691786158109,0.863661976960177,0.412584823899358,-0.0170007959602091,-0.0101791310174382,-0.0696345447565551
1,2,2,1,1,1,1,1,0.45,7,0,3.91467623049976,-0.146718177019937,3.82032215216865,0.0702853438591555,0.670866894077645,0.700973718484442,0.592173496279367,-0.0238872380010546,0.124142571903175,0.184723564291653
1,2,2,1,1,1,1,1,0.55,7,0,3.96418216577369,-0.193054091577477,3.86406313932378,0.0577067310940215,0.761175446391104,0.777168108260421,0.498575415994792,-0.194306395498142,-0.0848806629328961,-0.0468945254920914
1,2,2,1,1,1,1,1,0.65,7,0,5.39960687169772,0.0769111342339277,5.60869362786247,0.0553542846289599,0.555429938768251,0.67165935139675,0.563890495814849,-0.151682848643067,0.0177842487443901,0.0288728843242036
1,2,2,1,1,1,1,1,0.75,7,0,5.02522414015523,0.43838184115887,5.81211184511152,0.0627450847295917,-0.660831621042543,0.231649403235373,0.715934926345456,-0.195484631306267,-0.0966517408024491,-0.117530313974577
1,2,2,1,1,1,1,1,0.85,7,0,5.41040492460428,0.852204120956916,4.9164275661774,0.0822843636130865,-0.502480407976978,0.402216268297286,0.20935869082172,0,0,0
2,2,2,1,1,1,1,1,0.35,8,0,0.775122927200834,-1.56282806884117,0.594423042262452,0.106723585356203,0.843586784058088,0.869034438825277,0.426026976305041,0.00408808370363595,0.00262278736706838,-0.0433355946405663
