Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0299372777798908,2.57465289656805,0.277090335508825,2.31274458336698,0.120013343597965,0.279068825620014,0.283349448030479,0.869689531442463,0.147734493001611,1.44445684321702,2.44152160464474
1,1,1,1,1,1,1,1,0.15,1,0.0595850845597061,2.28761749914995,0.18197435824358,2.26743594968271,0.112766598555006,0.22608845714376,0.223838072639057,0.880848086510743,0.198848688800746,1.86692037683575,2.1864587397052
1,1,1,1,1,1,1,1,0.25,1,0.047137387669898,2.61358300909616,0.177567326392415,2.60595356620849,0.105321112463279,0.369543497631082,0.356748586627762,0.825522709898599,0.513733305571768,1.46142117626971,1.78677674119078
1,1,1,1,1,1,1,1,0.35,1,0.0448343905942751,2.69108725985038,0.160850608347887,2.85374402415616,0.0980583058142597,0.270511624303988,0.31809498553378,0.841882541028624,0.426295437533699,1.45003701332687,2.05136138779508
1,1,1,1,1,1,1,1,0.45,1,0.0206360376311613,3.09309672413408,0.365709599696282,3.34337639779137,0.132706567166788,0.411719810698694,0.361832990781938,0.764881765849165,0.364648878084548,0.547521783999453,1.02989666556349
1,1,1,1,1,1,1,1,0.55,1,0.0495474215959769,2.4532754720413,0.170855584705186,2.67420220717155,0.0811208701529641,0.306054738783342,0.242472050551657,0.796798763837839,0.268722904714343,0.821101208744426,1.07218211801129
1,1,1,1,1,1,1,1,0.65,1,0.024783844514395,3.63889882823078,0.322288305245319,4.7085928503824,0.0695661501336481,-0.0354080744746867,0.216450637597588,0.79111807406894,-0.0565416985585414,0.350115441761126,0.411407886479629
2,1,1,1,1,1,1,1,0.05,2,0.0245104329434621,0.628382968041398,0.566950899845836,0.504539462740308,0.12624818585006,0.265193566619353,0.285152964863003,0.868691878576783,0.168030963835133,1.83788012722296,2.46644257007784
2,1,1,1,1,1,1,1,0.15,2,0.0595758352934478,0.419103282480469,0.398876040377345,0.411041486430986,0.112217468882291,0.215264039560482,0.221866042438377,0.888004515835127,0.263348900157579,2.24309725243728,2.35998090428195
2,1,1,1,1,1,1,1,0.25,2,0.0480572104197187,0.611313584713911,0.339460775000996,0.607906611251391,0.103363745308541,0.365475352335604,0.35791745634367,0.827880171323396,0.576582719541073,1.63902030720412,1.89722958828281
2,1,1,1,1,1,1,1,0.35,2,0.0450077728210333,0.677722642299172,0.341534331109553,0.767660294567853,0.0970907106076148,0.268196699815337,0.316899884421684,0.837064109166567,0.335215079119071,1.48517490597226,2.12900853211867
2,1,1,1,1,1,1,1,0.45,2,0.0179944194483443,0.98811334405352,0.559545172492496,1.11303558854379,0.135533002485077,0.397550164586978,0.362201991337153,0.766595840859632,0.408111519362692,0.593660993344367,1.02005410985928
2,1,1,1,1,1,1,1,0.55,2,0.0496437729528504,0.555208745407315,0.328699144021217,0.655390572868108,0.0813148956223633,0.29979855429555,0.24760493075427,0.809669422327228,0.271383398671299,0.853906716123521,1.12122149253056
2,1,1,1,1,1,1,1,0.65,2,0.0245361383036291,1.33520730308455,0.465340490889189,1.93708033751752,0.0696474566514651,-0.0509453065495018,0.211666664312377,0.787201932316365,-0.0503470903214943,0.356899228307934,0.418293716483177
1,2,1,1,1,1,1,1,0.05,3,0.0347372033733538,2.68491197792317,0.419271439032004,2.28261238669746,0.119097721290426,0.799084138313532,0.833404357456574,0.598254035960896,0.0772187631937781,0.142549595427974,0.249746013642354
1,2,1,1,1,1,1,1,0.15,3,0.0563808291131134,2.36809774067427,0.30630166182905,2.33303887595042,0.117201292556325,0.769879196455769,0.830608668943975,0.589964560342962,0.219265187476741,0.136516812085702,0.242449706568457
1,2,1,1,1,1,1,1,0.25,3,0.0467252806391826,2.68933547742014,0.388610217288854,2.67218410942675,0.112103051659796,0.831998852350011,0.849685354586487,0.56444837683185,0.0374329090728664,0.0167807914490376,0.0297551272172473
1,2,1,1,1,1,1,1,0.35,3,0.0394891097571493,2.70846555212785,0.0835695345875055,2.79231973655726,0.0950442593891446,0.845173607908411,0.889294090186303,0.493591295934875,0.0698953239673453,0.171563842682503,0.173709484647856
1,2,1,1,1,1,1,1,0.45,3,0.0431550970331049,2.41469217110137,0.450166477241142,2.65740292065452,0.10729663564077,0.811571925790726,0.820090975910393,0.60029726338119,-0.0491418543202082,-0.0796130487628982,0.0130519339746907
1,2,1,1,1,1,1,1,0.55,3,0.0300057789494428,2.65205534083674,0.26006349215833,3.02400839672083,0.0914915621155369,0.767428754450512,0.826610785123446,0.563660474339432,0.0323127656562774,0.153864405449296,0.101413987395931
1,2,1,1,1,1,1,1,0.65,3,0.0291954662236002,4.53977847601878,-0.261275700522963,3.68384517653775,0.0516194811337872,0.405738268875802,0.560755468679909,0.668690985297357,-0.18393665704792,-0.0787606175394037,-0.146613187281747
2,2,1,1,1,1,1,1,0.05,4,0.0273050569737654,0.695061486092751,1.06712580964318,0.459825087343224,0.128894956179621,0.793138325809838,0.84132493689674,0.595268110104811,0.0627469969277524,0.183526147126061,0.256765507215181
2,2,1,1,1,1,1,1,0.15,4,0.0528601036338162,0.470921028860252,0.808036183916911,0.45275138435566,0.119803719254128,0.763830412765135,0.830652804035122,0.597223713114576,0.221221550782884,0.145620134360035,0.254902209377451
2,2,1,1,1,1,1,1,0.25,4,0.0449439565542693,0.64439260554472,0.820591796438379,0.635745405749555,0.112688239731769,0.829547008967819,0.860058436536494,0.567822294501011,0.0851180829135125,0.0283016450505737,0.0630924038397626
2,2,1,1,1,1,1,1,0.35,4,0.0394314193889196,0.690301502536324,0.191821798996967,0.740343941088781,0.0948528705122863,0.844936969565568,0.888969676206363,0.494389540387717,0.0793881101969943,0.160192985579842,0.176027441012759
2,2,1,1,1,1,1,1,0.45,4,0.0379457416513828,0.537703491220732,0.962249817452174,0.659865279273384,0.11007463279568,0.812110692596717,0.833483921017427,0.595077850292497,-0.0505540131845224,-0.0720695067799536,0.0378753885425864
2,2,1,1,1,1,1,1,0.55,4,0.0295909625344876,0.652665628496682,0.522978947928187,0.849799855278495,0.0909247523372878,0.765542438329659,0.827179091409355,0.561347839644344,0.0258358815884157,0.136603159442615,0.0734511399003714
2,2,1,1,1,1,1,1,0.65,4,0.0298873601605179,1.86520880519814,-0.490535632321891,1.26002452672248,0.0506065230937249,0.403918504192028,0.55915370064556,0.668690985297357,-0.171815635371702,-0.0787606175394037,-0.146613187281747
1,1,2,1,1,1,1,1,0.05,5,0,3.16121249543519,0.275150015689682,2.84177001486255,0.147441752035995,0.263956186720852,0.319920708935681,0.870160190495716,0.150909371430655,1.45576073901876,2.4483165163634
1,1,2,1,1,1,1,1,0.15,5,0,3.35706717980323,0.216836355265416,3.32180696138825,0.165823337201601,0.17768960229733,0.259837185932945,0.880676775778149,0.182541481132596,1.67501343044,2.12081891209329
1,1,2,1,1,1,1,1,0.25,5,0,3.51005925309568,0.23394125770719,3.49656610413633,0.144878328055835,0.333318998883357,0.427391591125758,0.819476091069979,0.430413072664903,1.24983174116807,1.75479146190996
1,1,2,1,1,1,1,1,0.35,5,0,3.59296488609073,0.222568656049399,3.89690310496998,0.132237359935298,0.15315008023897,0.322537258795894,0.828779219827285,0.330346019827237,1.23083174767772,1.89974964105542
1,1,2,1,1,1,1,1,0.45,5,0,3.50465451511641,0.355123316237411,3.77971283051616,0.149892364549491,0.40513247508208,0.417824411293244,0.766177026275421,0.350235214140128,0.541447620604563,1.02161511228648
1,1,2,1,1,1,1,1,0.55,5,0,3.63154377308308,0.190643092086176,3.99830768870898,0.121268269473986,0.276716624609948,0.357281475034195,0.807435517459505,0.265233208363574,0.781704603815662,1.03097036010405
1,1,2,1,1,1,1,1,0.65,5,0,4.38496854534928,0.305247249400552,5.59718662231915,0.082923240531013,-0.219858571564431,0.218662353767273,0.79111807406894,-0.0565416985585414,0.350115441761126,0.411407886479629
2,1,2,1,1,1,1,1,0.05,6,0,0.935291710048422,0.500584590330461,0.770507556051433,0.1485154999342,0.253511547646957,0.310622278929328,0.866669200561095,0.148121475079143,1.69181061993869,2.43075029999395
2,1,2,1,1,1,1,1,0.15,6,0,1.08539551629432,0.356654509438722,1.06670791250174,0.1661103883994,0.168392710725563,0.252398419296574,0.881529259643337,0.172436979817332,1.83597099479021,2.15823444998141
2,1,2,1,1,1,1,1,0.25,6,0,1.1801076258133,0.371743189011279,1.1729070961506,0.143026237830348,0.329698640189539,0.426952541451927,0.824154155092442,0.500874568247774,1.38312061740955,1.77663537432126
2,1,2,1,1,1,1,1,0.35,6,0,1.24031961800202,0.367048751371493,1.41805647774884,0.132889378985293,0.148557363985198,0.319778169223759,0.836560253768556,0.339342602411817,1.29736567548786,1.93446487437245
2,1,2,1,1,1,1,1,0.45,6,0,1.20639515081121,0.523529094837482,1.34854040605767,0.150382853536642,0.392870960932865,0.408538856364278,0.770306035049446,0.38817469133251,0.607615103044117,1.0196721934284
2,1,2,1,1,1,1,1,0.55,6,0,1.28516923814723,0.286242346679064,1.48490470276649,0.121493109969968,0.270842549063769,0.353950553181586,0.805729570163269,0.280889971166299,0.812471374588621,1.05948897867877
2,1,2,1,1,1,1,1,0.65,6,0,1.78257618132202,0.416572137704209,2.48720299546518,0.0828095887481525,-0.230418701845122,0.215912631134814,0.787201932316365,-0.0503470903214943,0.356899228307934,0.418293716483177
1,2,2,1,1,1,1,1,0.05,7,0,3.33802955010666,0.344333407193949,2.92141098439322,0.152059661106924,0.790594055861996,0.849481064497589,0.603977456922379,-0.0211738556325832,0.262550207878766,0.295721772413614
1,2,2,1,1,1,1,1,0.15,7,0,3.38136717612719,0.224425924350257,3.34461541846422,0.167184149881768,0.705875796660633,0.795863312816254,0.624408865071771,0.101183053583257,0.300724309104577,0.268613390147789
1,2,2,1,1,1,1,1,0.25,7,0,3.65267353695917,0.352322922901592,3.63154735943762,0.153015111618563,0.779391137695762,0.844637457373686,0.597534740967478,-0.0483948032518642,0.14321330050794,0.0503247952762269
1,2,2,1,1,1,1,1,0.35,7,0,3.56442389854954,0.118028956858519,3.72127160963689,0.126848101593762,0.824845227414141,0.850868650742656,0.504449443661273,0.0205621080695811,0.177413428377409,0.202904476704462
1,2,2,1,1,1,1,1,0.45,7,0,3.37980481478819,0.333217951986166,3.62811584175955,0.143563244535605,0.794807185871648,0.845791814732208,0.610689564148784,-0.0994395055330436,-0.0398234194165638,0.0245831010723636
1,2,2,1,1,1,1,1,0.55,7,0,3.40961149761793,0.277440508298692,3.9220577241239,0.117038515669056,0.767298991313891,0.836561501648793,0.564950091141061,0.0162046538041549,0.151199471811306,0.123339565447705
1,2,2,1,1,1,1,1,0.65,7,0,5.38161250070841,-0.0669653522443054,5.10102374615638,0.0710296476000187,0.310622865804634,0.515463922872879,0.664723467449775,-0.231051520043532,-0.093974855599433,-0.156812547863117
2,2,2,1,1,1,1,1,0.05,8,0,1.06133767965359,0.747557621114475,0.794614383450226,0.154374300732716,0.787845490877837,0.847959097697174,0.608765812922488,-0.023529540486643,0.272726035980804,0.298670738656485
2,2,2,1,1,1,1,1,0.15,8,0,1.10461832356422,0.448957532329905,1.08073127118264,0.167819934082158,0.70572237139872,0.79592156247522,0.624162282206287,0.0921541595069191,0.306054206845453,0.264133500206337
2,2,2,1,1,1,1,1,0.25,8,0,1.25142302039722,0.614286294325816,1.23883061082444,0.152850760734194,0.777782973492831,0.843787116653923,0.601574882568038,-0.0388348019149823,0.136204162889487,0.0515690283747066
2,2,2,1,1,1,1,1,0.35,8,0,1.22533190886306,0.217175997325187,1.32637368060737,0.126981187988825,0.824824582856896,0.851433790885255,0.501904682263177,0.0301806498143181,0.177479644120484,0.20592653547906
2,2,2,1,1,1,1,1,0.45,8,0,1.08658782845106,0.603999423551078,1.23559095403693,0.143698073682346,0.795004030870268,0.845781337508641,0.614066768554905,-0.0903238812359761,-0.0486894131523492,0.0243229148040943
2,2,2,1,1,1,1,1,0.55,8,0,1.11869967662985,0.466516072942309,1.41567628470446,0.118428985309383,0.765824906705385,0.835357794707722,0.560679322382525,0.00949065918191947,0.147100681841537,0.11955588880608
2,2,2,1,1,1,1,1,0.65,8,0,2.36518148996345,-0.0978372459046674,2.18720002107036,0.0710138493644743,0.310473093874408,0.515361300437983,0.664723467449775,-0.231051520043532,-0.093974855599433,-0.156812547863117
1,1,3,1,1,1,1,1,0.05,9,0.0509840208161096,2.22235021026177,0.5,1.83122037047819,0.0963206781295341,0.222002019461323,0.22508534475238,0.891392932828703,0.150365919328396,0.468136773234517,1.96084015444658
1,1,3,1,1,1,1,1,0.15,9,0.0866969413916857,1.7011184704121,0.5,1.66020069842778,0.0845327931417381,0.161619314841336,0.145448353489706,0.91829514821044,0.00356142243521196,0.361950995143393,1.46014352356989
1,1,3,1,1,1,1,1,0.25,9,0.0542705089725619,2.4003699424283,0.5,2.38069153198881,0.0997887940736181,0.291722412154168,0.300764230815204,0.853946960860599,0.0936146844098196,0.390458770817967,1.21945600488775
1,1,3,1,1,1,1,1,0.35,9,0.0529664595831123,2.23987454915941,0.5,2.68812903895026,0.0890158140413418,0.159440520843365,0.203111243019591,0.856206359350502,-0.0874040498107324,0.434035417373627,1.30002261743404
1,1,3,1,1,1,1,1,0.45,9,0.0301769513247723,2.71899009551465,0.5,3.02418186590822,0.120022784401257,0.389156994578273,0.352109313951922,0.77073027397387,0.28478329244939,0.335100699935118,0.888412107193738
1,1,3,1,1,1,1,1,0.55,9,0.0676040173756855,1.61379924439345,0.5,2.07701158951024,0.0592170950402633,0.266584250962548,0.0770737459731993,0.806788594039785,0.260844752978361,0.423245528419878,0.85265996880932
1,1,3,1,1,1,1,1,0.65,9,0.0280311313929083,2.99646359614141,0.5,4.46934785651279,0.0681881543603537,0.0555539264147418,0.229883443678308,0.779283130157537,-0.0943515151630093,0.255099000362037,0.338482957299239
