Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0312927771806456,12.1168565226268,0.440872866856828,15.2167167341692,0.172827829988941,0.338640514116085,0.386728196451388,0.746808136966101,0.195852389920481,0.496382645223712,0.513998333056914
1,1,1,1,1,1,1,1,0.15,1,0.127101155335293,4.57116803884415,0.865767281137208,6.51695729916658,0.0780320518343707,0.327121894579688,0.355508065722428,0.857286727484352,0.13861257153612,0.158372131681001,0.795320680986138
1,1,1,1,1,1,1,1,0.25,1,0.139161353205995,5.68193805893735,0.832294639218771,8.07844035832714,0.098832690038304,0.365297817332556,0.359604283812825,0.787161848338281,0.219073445202178,0.14882271393931,0.732079689630072
1,1,1,1,1,1,1,1,0.35,1,0.160902092621908,6.32315186194115,0.711193476559008,9.59919374970991,0.122523312491878,0.432388446690235,0.345031166719607,0.720513403870476,0.262283225088386,0.253874069208602,0.329371312789412
1,1,1,1,1,1,1,1,0.45,1,0.130348252896754,8.52710331405335,0.566201891139721,11.3903137338842,0.0945628134452356,0.428619865405462,0.289005859012795,0.557594103061556,0.748184004100742,0.605744776205055,0.481394487402564
2,1,1,1,1,1,1,1,0.05,2,0.0288074807375813,6.78300713230785,0.467561553426796,8.63658845944062,0.176952060026526,0.328796120431002,0.379413217983399,0.75366188051517,0.150396838738555,0.502006497729203,0.51958437621121
2,1,1,1,1,1,1,1,0.15,2,0.123918693816999,2.11882175563349,0.994645937138848,3.18448554143388,0.0834536004110222,0.320631224693028,0.357947901476504,0.853640760177956,0.0969774308412026,0.178889211750527,0.762160596009501
2,1,1,1,1,1,1,1,0.25,2,0.140098095757451,2.56529809644279,1.01633281144932,3.94242173792031,0.0983596337411261,0.365262868087287,0.362968107131166,0.793993642070599,0.191511265096667,0.245782268106518,0.682611587230648
2,1,1,1,1,1,1,1,0.35,2,0.159982091619122,3.07119218702471,0.831875414012482,5.00464189970012,0.123230879891123,0.431873990134302,0.347321426429567,0.727248509586555,0.24916875451174,0.233371874766104,0.297786599631645
2,1,1,1,1,1,1,1,0.45,2,0.129439915767717,4.53347080544951,0.614499928106354,6.20712275578258,0.0948506146658105,0.41570055165242,0.298650036646635,0.584281082085811,0.704296335461186,0.618154048859738,0.492482389684388
1,2,1,1,1,1,1,1,0.05,3,0.043658852742539,9.21450029897067,0.778717454184004,13.7789451952228,0.146939943361951,0.624082014088157,0.680049016446176,0.668940700948328,0.0715899777529526,0.127995527365909,0.151836544390556
