Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0612133696882997,4.1663476138392,0.588999735970251,4.05400969176763,0.172279141938522,0.328208006546703,0.363538976298079,0.8557688467611,0.456462332111188,0.767084488618452,1.93770428983885
1,1,1,1,1,1,1,1,0.15,1,0.102296391273602,3.74481616242803,0.491203278905276,3.83570942695212,0.193114419304876,0.318817671798096,0.296496472655857,0.866719473258817,0.364181418830801,0.865258352321961,2.01235095181474
1,1,1,1,1,1,1,1,0.25,1,0.0510836792413116,4.641805257476,0.534841847484198,5.00105062653805,0.241077146362365,0.385418359392288,0.420626556238823,0.83793156842516,0.377908732630598,0.454614331602139,1.39012586011798
1,1,1,1,1,1,1,1,0.35,1,0.111842589324953,3.52585417046491,0.574729214667204,4.1553231063317,0.165378125999729,0.274773468638952,0.335584109871964,0.847435818334433,0.212347881715353,0.448951181261901,1.22438520946576
1,1,1,1,1,1,1,1,0.45,1,0.0899351299760779,3.48478723302318,0.546988340704579,3.86608206369791,0.117919465341118,0.268498192024769,0.290688252739418,0.738462587866115,-0.0584224525917201,0.101384712454414,0.17465644713579
1,1,1,1,1,1,1,1,0.55,1,0.0921464346553561,3.54094186885609,0.560089730466039,4.19142684457211,0.0755113398441412,0.485448292508247,0.398065355345803,0.715098234171346,0.133138757478734,0.382836808991738,0.48304370519848
1,1,1,1,1,1,1,1,0.65,1,0.10831763925281,4.04253028410716,0.36719295103431,4.56965759038126,0.0441647547986898,0.390202151403153,0.37540717052898,0.760667244912272,-0.0209004925991248,0.399974319357813,0.504665933294533
1,1,1,1,1,1,1,1,0.75,1,0.117468201483719,1.93654535474675,1.46562054123331,4.2015672212683,0.0271492463400201,0.187224540511294,-0.1635168937807,0.763523302307051,-0.0178088651158509,0.0262591970819498,0.30302683960164
2,1,1,1,1,1,1,1,0.05,2,0.0463808372580925,1.778635703304,0.753726364340712,1.71749855700599,0.187585962356687,0.314062660610905,0.354602291795814,0.866124400649208,0.311106740738121,1.0488133111897,1.8466655269525
2,1,1,1,1,1,1,1,0.15,2,0.0902381303407751,1.47958675814141,0.650705203083038,1.52734667450886,0.20700582330542,0.304733748823979,0.293448969227208,0.866375108907948,0.276661226397708,0.907098755861878,1.90681768712647
2,1,1,1,1,1,1,1,0.25,2,0.0366014787715867,2.09203521104603,0.650435218428199,2.29055259770121,0.262809571051902,0.372867311469931,0.414741426934594,0.846455147768274,0.257750206280711,0.557275648341261,1.36031519705243
2,1,1,1,1,1,1,1,0.35,2,0.103330412435211,1.35002615026729,0.758860915203565,1.67702170197062,0.17797208826907,0.262071758486009,0.327734046128343,0.850087212699999,0.194504812755425,0.514035667903675,1.12315592398509
2,1,1,1,1,1,1,1,0.45,2,0.0864934663048262,1.20124909785912,0.849442508385065,1.41144121871362,0.127450529105347,0.283727394775852,0.313072395615224,0.763412739519585,-0.14929092258334,0.0238935813651585,0.0469378516457279
2,1,1,1,1,1,1,1,0.55,2,0.0905069293226226,1.28674137301131,0.769722929923207,1.62236421795953,0.0777580887652178,0.475539666764017,0.41016003952607,0.705945428967616,0.0952922580813357,0.310770683855515,0.360057923285917
2,1,1,1,1,1,1,1,0.65,2,0.107566399626299,1.5856277232796,0.492138637239681,1.86872090633453,0.0451520308517879,0.388737325422937,0.374112100734095,0.757659179498288,-0.00314542816368231,0.444618724269646,0.555474242862421
2,1,1,1,1,1,1,1,0.75,2,0.114614382651528,0.650815496128732,1.78424480785662,1.67097886334667,0.0275388852512593,0.216156115374528,-0.0411426786006996,0.734640351856545,-0.012887656561912,0.164924574668339,0.453739663743304
1,2,1,1,1,1,1,1,0.05,3,0.0299700858158588,4.92935314348198,0.743120247879742,4.76225957366489,0.203552702131043,0.593444907149469,0.611724107886119,0.763387423159409,0.149615087397323,0.726865400270155,1.0153468210075
1,2,1,1,1,1,1,1,0.15,3,0.0797238632979616,4.0868049979056,0.8244743982703,4.25466734678577,0.210015387973267,0.669141922400722,0.64542491154549,0.706003246965512,0.18217986590156,0.42134924016152,0.738571056375192
1,2,1,1,1,1,1,1,0.25,3,0.0621687760016735,4.17174757067874,0.871430964539821,4.71049254850084,0.216384521965744,0.640534783006338,0.629697579856059,0.70609311235153,0.0783515745221702,0.36232369899474,0.731229968071503
1,2,1,1,1,1,1,1,0.35,3,0.0605893534122619,4.23188471974844,0.728930903601934,5.21212897342727,0.200718081858669,0.648254934529923,0.701729388524705,0.716197535226917,0.280186342008152,0.552418186969651,0.887921000573115
1,2,1,1,1,1,1,1,0.45,3,0.0598621923115347,4.18878431656024,0.577668936120622,4.67425250240286,0.140713711667696,0.668578803763656,0.752333981433449,0.567594470369955,0.131595369054619,0.0952304435557055,0.178448457502151
1,2,1,1,1,1,1,1,0.55,3,0.0532498996940959,4.37329895011859,0.44642273033799,5.0025095709611,0.0910936963704008,0.742388375335125,0.71235708558572,0.638411320720793,0.136015480070828,0.202349781945883,0.378205456015198
1,2,1,1,1,1,1,1,0.65,3,0.0557799132356449,4.81822805536651,0.576356838935831,5.84035592816688,0.0590335514860128,0.642568349046755,0.700048455796817,0.655664005973152,0.209653465483324,0.34485757770807,0.649735386141647
1,2,1,1,1,1,1,1,0.75,3,0.0678072272734906,3.27095320333002,1.2648352691337,6.38226016207818,0.040380966180966,0.603610782664972,0.340618645044256,0.682997137480633,0.0119011642912345,0.0778451152380868,0.394843995879023
1,2,1,1,1,1,1,1,0.95,3,0.117863657798191,1.22783731417761,1.47341642449513,2.87868867067702,0.00860249911765234,0.0232751308110354,0.249656399217311,0.359020475996482,0.125372119470313,0.341138588082748,0.293205510845905
2,2,1,1,1,1,1,1,0.05,4,0.0129039204423497,2.19332545429645,0.979956212764391,2.09581531823054,0.217984933875716,0.572836533820738,0.623978286529003,0.772920343004384,0.123308701246847,0.780940577478779,1.11153518064927
2,2,1,1,1,1,1,1,0.15,4,0.0540794940349983,1.74410110806658,1.0809008647069,1.83861365010235,0.232913657975204,0.652875491704261,0.660503703157626,0.711158358916802,0.155690123960388,0.452605070345322,0.767058002749764
2,2,1,1,1,1,1,1,0.25,4,0.0380752840182507,1.81040381221707,1.11472900708458,2.11470965527615,0.241024681774103,0.619673871526267,0.65056808666105,0.721996942390248,0.108712440069989,0.45797828603602,0.791481939722444
