Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.00717552988993522,3.47278944794722,0.418753537072856,3.64938180840654,0.176546884913491,0.449843252406555,0.365686918837291,0.805223781897497,0.120208288100385,0.514814409184945,1.24343253785768
1,1,1,1,1,1,1,1,0.15,1,0.0914439487822047,2.19762839731651,0.687841920033418,2.67617372578457,0.131449788262435,0.30290882979128,0.283461052685798,0.81679053939506,0.103926126871715,0.158119247609041,0.861350218110686
1,1,1,1,1,1,1,1,0.25,1,0.0446162154651926,3.06170491875629,0.552003530334429,3.58600198574882,0.152257439211528,0.338832419163114,0.359088552666721,0.841798056681143,-0.112714098566916,0.0172363942463439,0.644980287440671
1,1,1,1,1,1,1,1,0.35,1,0.0456472844814636,3.03215415278603,0.55694965618654,3.76918812938569,0.145175312082565,0.374705743542022,0.375814265967877,0.817112832298329,0.121211594080104,0.18178512468738,1.11520463597469
1,1,1,1,1,1,1,1,0.45,1,0.0612164269663529,3.54705650358998,0.354572660582075,3.9751098118068,0.209054850262205,0.245658285406832,0.255052672044182,0.86415177142978,-0.0232329886453303,0.200303615414619,0.955298343613119
1,1,1,1,1,1,1,1,0.55,1,0.0845624464207655,3.21278626779866,0.451137800405595,3.72531430001479,0.155909659144964,0.226802523541185,0.21922966823011,0.839239877476641,0.0796523915763314,0.200491585055311,0.878797624811185
1,1,1,1,1,1,1,1,0.65,1,0.0655385451222101,3.6444377508815,0.320721077885963,4.17822458947323,0.166907325984394,0.25920598443544,0.267234918617724,0.869414489033208,-0.0244701708438165,0.407465131633545,1.11233354331655
1,1,1,1,1,1,1,1,0.75,1,0.0306258610286857,4.38807507176536,0.425059966423465,5.05027579948956,0.189128443466602,0.406508590003185,0.393173416094793,0.760944177249342,0.015858834237292,0.151905378502305,0.341987932084583
2,1,1,1,1,1,1,1,0.05,2,-0.00631921423934701,1.32013278934928,0.609189701216154,1.41890913719369,0.191147488609935,0.435358238598267,0.374282367691617,0.8064650471242,0.0939968817567027,0.584146887633452,1.32063697560636
2,1,1,1,1,1,1,1,0.15,2,0.0646366841617708,0.729266352761548,0.964669229022281,0.961347815957856,0.1594978594818,0.275391583330874,0.27949437805132,0.83602533639947,-0.0329260418870633,0.324288994885188,0.888352220636099
2,1,1,1,1,1,1,1,0.25,2,0.0344476984906573,1.05126210764733,0.812667154914429,1.32670494931871,0.166208951361834,0.323465827101141,0.355521110331173,0.852635712569466,-0.206928624362094,0.0662971863436499,0.618177708647542
2,1,1,1,1,1,1,1,0.35,2,0.0350153474570924,1.07909941286923,0.764222116103992,1.45453943180953,0.158041342204777,0.362249500929266,0.376947621455474,0.812356095376573,0.112648000418501,0.322821023035614,1.07788832640216
2,1,1,1,1,1,1,1,0.45,2,0.0558241136115856,1.29836724551642,0.513945384816021,1.5315097401792,0.212908779159377,0.239487531271329,0.252513191762023,0.862541821253987,-0.0497099993821326,0.233631637646876,0.966045754471954
2,1,1,1,1,1,1,1,0.55,2,0.0767623607997301,1.16750268588119,0.604954180024268,1.42382214615406,0.164748050887285,0.213649037329062,0.218740483988721,0.847203101852357,0.0928842675492497,0.345153332806022,0.932039188219583
2,1,1,1,1,1,1,1,0.65,2,0.0629906545926676,1.34921220887666,0.453827239539189,1.63710940106361,0.167233092219149,0.251677669873009,0.264337542760866,0.880077613301858,0.0114282927846018,0.469226568564958,1.10468444175558
2,1,1,1,1,1,1,1,0.75,2,0.0281258696682162,1.80487744195443,0.575319602057737,2.18306691089519,0.193154691552424,0.404247178854254,0.393897886812972,0.761562131546498,0.0170836169138701,0.182393354902322,0.371793651800697
1,2,1,1,1,1,1,1,0.05,3,0.0248362942089929,3.03753387667061,0.723062242416266,3.30914464668379,0.161856150347279,0.523629374413221,0.524894150904475,0.742680708025099,0.128801063446346,0.261420224246944,0.358540758152597
1,2,1,1,1,1,1,1,0.15,3,0.0365925307722594,2.87978283307984,0.67650168042763,3.49549898052713,0.171667962134595,0.527231988797074,0.583024566885804,0.696841469179298,0.338776962851373,0.323929816084344,0.60694247782447
1,2,1,1,1,1,1,1,0.25,3,0.0242881238727391,3.2660737745832,0.612399319880763,3.89210016421226,0.167721145616406,0.610680597090369,0.554640594042576,0.717358957312625,0.0743449498482642,0.36409778591319,0.412808257740403
1,2,1,1,1,1,1,1,0.35,3,0.0174787146085911,3.24313309703067,0.65097195420667,4.1822875213403,0.158673862531616,0.730694956475347,0.691669242508691,0.620845810615903,0.170447778087931,0.200084956531593,0.420562560380837
1,2,1,1,1,1,1,1,0.45,3,0.0538737462965921,3.34755349823667,0.478960984766555,3.90451843614879,0.200337075368243,0.555807461439548,0.599046364689395,0.736827159274797,0.0671804641013013,0.0350450296997467,0.308974669644344
1,2,1,1,1,1,1,1,0.55,3,0.0620042886432694,3.10816969630618,0.826796221729892,4.07673134164254,0.169622977370903,0.493968592173655,0.543437630772251,0.735664178177204,-0.0515626286976284,0.114303755532214,0.188361828521494
1,2,1,1,1,1,1,1,0.65,3,0.0577868918670423,3.14035435826655,0.594527937381063,4.04592605622138,0.160928268620535,0.617629811400063,0.659779035907646,0.679656968270637,0.0113007817113995,0.111162827400171,0.359404916612216
1,2,1,1,1,1,1,1,0.75,3,0.000683761918365017,4.71875396719108,0.437463978922145,5.45317803889282,0.204269217179247,0.68793825220351,0.702826593455343,0.599522958314932,0.082805595811654,0.0401919343747437,0.168378280095311
2,2,1,1,1,1,1,1,0.05,4,0.00284696573071113,1.06328738216598,1.08459143534113,1.20904512334621,0.179755313261407,0.468414204475163,0.537282597712655,0.743994392166115,0.246101561173074,0.395376066435461,0.495265555878015
2,2,1,1,1,1,1,1,0.15,4,0.0107802215188598,1.02842578015692,1.02136727560249,1.37790713113003,0.191883775911957,0.50978108564334,0.591243436931173,0.712903539907645,0.313914728152301,0.391901173338012,0.640634128126428
2,2,1,1,1,1,1,1,0.25,4,0.00774227750840062,1.17321083319143,0.963060208550669,1.5457608113408,0.181624108602349,0.59759277650265,0.567853077165011,0.721263683148397,0.0378961781066682,0.332250134748504,0.390966063810347
2,2,1,1,1,1,1,1,0.35,4,0.00102839683342065,1.14640111444112,0.993214309382508,1.68986998234824,0.172378677888347,0.729038750266937,0.719507210167673,0.611354844321895,0.151725855875042,0.283997342193908,0.461265771841548
2,2,1,1,1,1,1,1,0.45,4,0.0439985782095437,1.18320484129316,0.72804154565843,1.49506739980583,0.209218398381251,0.547290188402311,0.602625950459422,0.736350048755451,0.103276877690343,0.0577307184490492,0.337781329991802
2,2,1,1,1,1,1,1,0.55,4,0.0403154719952854,1.19496613973477,1.08838950616035,1.70779801141918,0.188907492221669,0.474986813997778,0.559232757067948,0.732729997387298,-0.0393789129923125,0.141289588235276,0.23308295765512
2,2,1,1,1,1,1,1,0.65,4,0.0451655613389612,1.12656677139876,0.838483572625001,1.61045722602263,0.167951448217821,0.605274982131988,0.668392082818412,0.690890289322253,-0.00698363798949318,0.120675314242329,0.387861791403792
2,2,1,1,1,1,1,1,0.75,4,-0.00154369454376708,1.9810152443558,0.606598353676016,2.42102343539957,0.208242554858611,0.685604159988035,0.702450055354896,0.6219976474503,0.0800916146512208,0.0339609726946611,0.171519163758234
1,1,2,1,1,1,1,1,0.05,5,0,3.60095110932171,0.41105783472444,3.78061283470928,0.183169534072497,0.451341369279442,0.385718598690892,0.803286772663197,0.116909168212329,0.512359298681039,1.2774817556742
1,1,2,1,1,1,1,1,0.15,5,0,3.6825276441842,0.551212062675907,4.3123180845674,0.210482997565457,0.290728364638475,0.358776610703775,0.835059712087374,-0.0140021112484306,0.200760610348896,1.02146602706256
1,1,2,1,1,1,1,1,0.25,5,0,3.84814146402957,0.504136714114466,4.44575476425106,0.188774485975089,0.319975687356277,0.404987387964577,0.844252005481212,-0.15945245621541,0.107703501582696,0.733215872680524
1,1,2,1,1,1,1,1,0.35,5,0,3.83380138071655,0.516155867462434,4.69034454620431,0.182674299316328,0.347559760716827,0.423234306466676,0.809661196837108,0.186838948094874,0.272167267833664,1.06386795346408
1,1,2,1,1,1,1,1,0.45,5,0,4.56622984252558,0.319231942215089,5.05949160064038,0.264326211686929,0.207656634371634,0.273343862608007,0.876444473645315,-0.0446508689484266,0.253701632673572,0.982109224570943
1,1,2,1,1,1,1,1,0.55,5,0,4.75788145502929,0.411026544733731,5.44476808332662,0.228414703253535,0.196422516631646,0.26392139124378,0.857720977244051,0.0812241006934942,0.247789345404659,0.918784110992757
1,1,2,1,1,1,1,1,0.65,5,0,4.92770933215314,0.298384179155686,5.59592726444244,0.220379097067331,0.211925065168661,0.296094936793471,0.87470991612324,-0.00072095131607695,0.446499830882959,1.08844765319404
1,1,2,1,1,1,1,1,0.75,5,0,4.98653747185609,0.413367232917289,5.71690509513248,0.21505915402253,0.404154750317702,0.439746253656881,0.757605673539453,0.00661381126206189,0.143231832199449,0.355189865494759
2,1,2,1,1,1,1,1,0.05,6,0,1.25176331018953,0.624483742505397,1.34786351421603,0.185572450564984,0.433011187293582,0.355532363025883,0.8064650471242,0.0939968817567027,0.584146887633452,1.32063697560636
2,1,2,1,1,1,1,1,0.15,6,0,1.33567595065718,0.764560869720923,1.66266271192955,0.214290079369174,0.275079031832584,0.336481222496143,0.845384595672636,-0.0614822410881539,0.30296133392985,0.916204036198966
2,1,2,1,1,1,1,1,0.25,6,0,1.41003897268429,0.727337371217901,1.7365321882667,0.193379307496049,0.308885440529559,0.390392443605948,0.850244478787532,-0.173307267753666,0.122941548550253,0.652502255311402
2,1,2,1,1,1,1,1,0.35,6,0,1.44118154788777,0.692784700274109,1.88913107555934,0.184795654991791,0.3423966738454,0.412422624813806,0.810284199551214,0.165460111913029,0.326272416763821,1.13071120595591
2,1,2,1,1,1,1,1,0.45,6,0,1.86749615976994,0.43646179491637,2.14866495487545,0.264705577453047,0.206134899642836,0.26979846765845,0.870422273007457,-0.0459951101417914,0.249787254021899,0.951655064542674
