Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0432310091739973,4.53473320086386,0.440133080779069,5.43387371725369,0.296643701432277,0.618136202426105,0.606011235768118,0.641800767198913,-0.126499134405188,-0.0411343148399478,0.0293958227898322
1,1,1,1,1,1,1,1,0.15,1,0.00949928710113804,6.44667565217686,0.576779111197383,6.19529067449368,0.271988894837023,0.523482309389834,0.544459828750281,0.541492914569899,0.649991714207906,0.637552926106818,0.784113543699435
1,1,1,1,1,1,1,1,0.25,1,0.00527136149265554,8.16314291805174,0.174613496211404,8.52820090100457,0.606355779112098,0.684881565501339,0.539736166765256,0.434523030295217,-0.0169740637730397,0.0543165688780773,-0.00191368711166754
1,1,1,1,1,1,1,1,0.35,1,0.0961978963866196,5.58324940858373,0.474865769822397,6.01008565491768,0.466169548960445,0.235849182530357,0.249627751268088,0.609814920794524,0.0815058684285354,0.0164943784447924,0.20040398895986
1,1,1,1,1,1,1,1,0.45,1,0.0733560334943242,5.94314826694289,0.584936260511169,7.4863593039024,0.534731782746579,0.171262736290075,0.206816064218257,0.798606193776713,-0.200072269147032,-0.145374928409481,0.126329916404986
1,1,1,1,1,1,1,1,0.55,1,0.332251504395707,2.63315027768824,0.75975762441584,3.45161390781347,0.21551334719113,-0.0111185909217202,-0.0853816701295289,0.661176742672354,-0.00587985080719832,-0.0119545236187707,-0.011695152256207
1,1,1,1,1,1,1,1,0.65,1,0.374799090411568,1.48554981113041,1.32136924374972,2.45285141401976,0.0727836574266636,0.00942349147220856,0.0391073393609108,0.589491011322908,0.0182160967939819,0.0164628641649227,0.0558951099026258
1,1,1,1,1,1,1,1,0.75,1,-0.0523606235608379,14.986739978088,-0.645303531079882,13.4197203588518,0.269632465545905,0.768292604838164,0.722322338047547,0.353632965389096,0.0727442217990765,0.152806968319183,0.105198368191153
2,1,1,1,1,1,1,1,0.05,2,0.0375932714592659,1.88729650131721,0.608381446836575,2.42341612138512,0.301951156416466,0.608380953690847,0.606585482626503,0.645477366558096,-0.115966170866087,-0.0322011841307584,0.0464831947837143
2,1,1,1,1,1,1,1,0.15,2,0.00491992432645109,3.06904029722052,0.696736792768771,2.92506777376368,0.271234314731179,0.527250441305265,0.546883278989336,0.540638699669739,0.687415130893118,0.641475793366191,0.732592573774238
2,1,1,1,1,1,1,1,0.25,2,0.0047943808400256,4.12022353275393,0.204659425856395,4.33701683517992,0.607621479761794,0.682817757915569,0.539062429325829,0.434523030295217,-0.0169740637730397,0.0543165688780773,-0.00191368711166754
2,1,1,1,1,1,1,1,0.35,2,0.0877933390209797,2.56025066647123,0.591006680409411,2.80608618106816,0.46961708427043,0.229702158868478,0.247123090303205,0.608340826019126,0.0829146590849734,0.00874499890136332,0.241020156712014
2,1,1,1,1,1,1,1,0.45,2,0.0711230752941778,2.74528360880206,0.708495799950184,3.6309455686711,0.532592183954478,0.186618512061046,0.217721699104461,0.784826319352651,-0.172520669407007,-0.0999355309423888,0.136780595459923
2,1,1,1,1,1,1,1,0.55,2,0.329606340050253,0.676650330613714,1.22187764196891,1.04570254555634,0.218811398702206,-0.0244013777846315,-0.138323034549117,0.734724403373874,-0.0732726410373793,-0.0720747116367751,-0.13056742794763
2,1,1,1,1,1,1,1,0.65,2,0.443398114197929,-0.00794741885628395,-21.5028640600167,-2.27085842140806e-06,0.0476640430519263,0.0451066039887849,-1.24898828940314,0.557294969277866,0.3202493497911,0.501903602114811,0.37113015785807
2,1,1,1,1,1,1,1,0.75,2,-0.0543521021754324,8.39630133550508,-0.716896123992885,7.42682298763037,0.271594340315564,0.769038929525872,0.721509502350362,0.353632965389096,0.0727442217990765,0.152806968319183,0.105198368191153
1,2,1,1,1,1,1,1,0.05,3,0.0953248940317007,3.64825762206121,0.486284721462888,4.45533887864264,0.241734345384006,0.912327582803189,0.935081260203692,0.404239972999425,-0.0352876458102116,-0.0133204054297937,0.0120282292412184
1,2,1,1,1,1,1,1,0.15,3,0.0225514406678182,5.46176430513131,0.613678029547162,5.23544689614592,0.235410978921888,0.81883544183472,0.870141791994826,0.529246873943669,0.0758880480640578,0.0761219972929596,0.0469842419098787
1,2,1,1,1,1,1,1,0.25,3,-0.00126658119298203,6.82823267817396,0.446516661688369,7.63683569225194,0.544893164744435,0.913861003145998,0.931500433537127,0.350925715080133,0.0674159478799418,0.0648092644501295,0.0167070369104915
1,2,1,1,1,1,1,1,0.35,3,0.0425940798492443,5.93915878877054,0.558820074542938,6.47701513186143,0.496773785981735,0.912326164078594,0.923204040801875,0.409845232772473,0.00483764737544988,0.0215749329142071,-0.00179721655271015
1,2,1,1,1,1,1,1,0.45,3,-0.0359044266214419,7.13794142568327,0.376512343788975,8.28139698836041,0.593996034805583,0.892126033900714,0.921252283788383,0.426965177570938,0.0439586132762267,0.0954813842853057,0.0842739757573066
1,2,1,1,1,1,1,1,0.55,3,0.261750890383034,3.27956934473347,0.413637970361687,3.80025884260901,0.245607655496879,0.932454135457498,0.913011667357609,0.406526985476215,0.027644473249326,0.0125360700543461,0.0880809059049371
1,2,1,1,1,1,1,1,0.65,3,0.10092175520135,6.82843137714307,0.0344676958131389,6.91833852826314,0.229748444789775,0.775834741783925,0.836810775196581,0.386970692274179,0.0428058159775749,-0.00983627395560059,0.0464971169646543
1,2,1,1,1,1,1,1,0.75,3,-0.0128138399245155,11.4863110588493,-0.241597258370414,11.0210555334126,0.229121997077235,0.819295105885897,0.84031597624269,0.382683105920733,0.0406094552008601,0.0807797660789253,0.154729313529281
2,2,1,1,1,1,1,1,0.05,4,0.0886141801878461,1.3103805673908,0.792301625934081,1.81473228511273,0.244947168346585,0.910264331163434,0.934106991481997,0.396307844731789,-0.0207866128110893,0.00375402324998619,0.0357535207873223
2,2,1,1,1,1,1,1,0.15,4,0.0199164637638249,2.40458467279643,0.845246414497832,2.26843254604247,0.238461664610003,0.817608706375352,0.868847304537203,0.518089258271695,0.0268084726609778,0.0509194784790126,0.0314278379490791
2,2,1,1,1,1,1,1,0.25,4,-0.00298879431630966,3.28207957630416,0.541150307259022,3.75892302284435,0.542549748277434,0.91259860885859,0.92976080137594,0.357263220614438,0.0494060048599549,0.0495358135517121,0.00907031146128263
2,2,1,1,1,1,1,1,0.35,4,0.0419615265260123,2.67771159958705,0.73788936433067,3.00246808172117,0.505322326840031,0.910558688454926,0.92096608877688,0.412591835983043,0.0203446753598962,0.0374999482586479,0.0396014697811902
2,2,1,1,1,1,1,1,0.45,4,-0.0411830626534412,3.48337856693329,0.478062762815157,4.20665322522024,0.5976811838772,0.891346207552348,0.920668328372393,0.431532773315647,0.0220093131596372,0.0863548534000567,0.0708006516185107
2,2,1,1,1,1,1,1,0.55,4,0.265089609696867,1.00454970337476,0.766613807538775,1.32001466078958,0.244658672732211,0.932438482122551,0.909037767439692,0.424611721055197,0.028970814408175,-0.000358959614919256,0.0893383616776851
2,2,1,1,1,1,1,1,0.65,4,0.100944976425588,3.26618831235335,0.0468613352217926,3.32479415066519,0.229586501706132,0.77576288448619,0.836706623967062,0.386970692274179,0.0428058159775749,-0.00983627395560059,0.0464971169646543
2,2,1,1,1,1,1,1,0.75,4,-0.0124915590471434,6.16842075917389,-0.269059268707066,5.89081556040783,0.229987539588534,0.819671446838043,0.838870814642308,0.382683105920733,0.0406094552008601,0.0807797660789253,0.154729313529281
1,1,2,1,1,1,1,1,0.05,5,0,5.2063740100294,0.403479234768243,6.14541120958611,0.340108006356498,0.606996202817268,0.660237459804922,0.661949916530615,-0.128435613190477,-0.0427766653560528,0.0362124016228406
1,1,2,1,1,1,1,1,0.15,5,0,6.58766659038644,0.571032201153821,6.33329312919413,0.276416932427304,0.52169720240527,0.551463634508592,0.541492914569899,0.649991714207906,0.637552926106818,0.784113543699435
1,1,2,1,1,1,1,1,0.25,5,0,8.22925326980484,0.174231868910831,8.59644552307482,0.611242400988278,0.686051252771317,0.547807036240151,0.434523030295217,-0.0169740637730397,0.0543165688780773,-0.00191368711166754
1,1,2,1,1,1,1,1,0.35,5,0,6.6344699140686,0.445934576468874,7.10968975901829,0.544451385939609,0.21503226722458,0.272356842894081,0.606851134430892,0.0962327034579209,0.0205823130088925,0.254005542177456
1,1,2,1,1,1,1,1,0.45,5,0,6.76719207093138,0.558512516101895,8.43594151811278,0.603639473127849,0.145993667137983,0.202748086826654,0.77756071320065,-0.175667223546282,-0.0803063582365643,0.176137000390079
1,1,2,1,1,1,1,1,0.55,5,0,6.86291827692768,0.589075168085761,8.46541213992904,0.541557865941627,-0.163170367295328,-0.156236488061519,0.66780746047315,0.0102125487501283,0.0325653182355394,-0.0221608035792652
1,1,2,1,1,1,1,1,0.65,5,0,9.6011113209508,0.439915004547668,11.3455863562273,0.329335032276995,-0.103843581369125,0.1112175640377,0.567958023064032,0.257616583672617,0.320401027876102,0.28858465278766
1,1,2,1,1,1,1,1,0.75,5,0,12.7639910872225,-0.646407590223171,11.427223586682,0.229626914718533,0.784335513042332,0.763376232535561,0.392381817430487,-0.0255155324158322,-0.0265011067972009,0.0382052149463655
2,1,2,1,1,1,1,1,0.05,6,0,2.24579467032799,0.547755664750113,2.81278814339939,0.338044298759796,0.600697436299901,0.655024143928775,0.64820107578977,-0.143139296130459,-0.055247032420528,0.0105899070970302
2,1,2,1,1,1,1,1,0.15,6,0,3.11408858593891,0.692164302040238,2.9689387794472,0.273617657735841,0.526414688706866,0.550744730782478,0.542866091966592,0.687415130893118,0.616925484747126,0.780568148336719
2,1,2,1,1,1,1,1,0.25,6,0,4.15762233886662,0.204063102229537,4.37572941362081,0.611949030500685,0.683909256985746,0.546389615649625,0.434523030295217,-0.0169740637730397,0.0543165688780773,-0.00191368711166754
2,1,2,1,1,1,1,1,0.35,6,0,3.15225563190444,0.544272407368775,3.42997748261329,0.543793567876154,0.211160466624008,0.268094033186349,0.620765786863658,0.061407578178162,0.0105550047407103,0.261023852886725
