Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0420560662816928,4.4785435287084,0.403619058184855,4.18491052052711,0.0702119204267149,0.404961920399553,0.420081912133441,0.750354076011777,0.270702472969792,0.589132600431924,1.18000283407828
1,1,1,1,1,1,1,1,0.15,1,0.0626129910293237,3.73584454580557,0.293813636981095,4.10330500084236,0.0963024145562317,0.323004693919027,0.36566364691076,0.814033877092796,0.233041382307131,0.614408502422892,1.18814464846357
1,1,1,1,1,1,1,1,0.25,1,0.0825775787805257,3.71429057567355,0.310134674519764,4.1038351149824,0.107767583060939,0.35255006380991,0.351590841524112,0.795438648571396,0.0320865118240392,0.114431667214643,0.521738759951638
1,1,1,1,1,1,1,1,0.35,1,0.10817797680252,2.20170683670425,0.0879468923310828,2.24555161938721,0.0449805674528577,0.230096492087156,0.185798594046107,0.686948975190502,0.303285290758393,0.285255422055035,0.290101867620175
1,1,1,1,1,1,1,1,0.45,1,0.106430055990554,1.10342970034627,0.671562102487735,1.69611561830131,0.0247511339365646,0.00422809761237997,-0.0700087275333336,0.838292313826772,-0.000110243459273925,0.06945508854734,0.351903700638903
1,1,1,1,1,1,1,1,0.55,1,0.0700223549226426,4.34455081328959,-0.295706318191572,3.2272186211212,0.0334764158567291,-0.182391981855845,-0.140374942595085,0.738685630142585,0.037896599901471,0.107512017385043,0.285146796156797
2,1,1,1,1,1,1,1,0.05,2,0.0410890886147008,1.80157465461548,0.561831181801207,1.63929635826063,0.0708530945276106,0.398755028730933,0.417210857537528,0.743491398015013,0.217315691690095,0.579771008703676,1.02843480426283
2,1,1,1,1,1,1,1,0.15,2,0.0614249019782443,1.37487261280344,0.4329467962505,1.57870876070458,0.0979243263240239,0.314304631154166,0.360445348743283,0.811518935490212,0.225747269113873,0.622912558019641,1.20315177144247
2,1,1,1,1,1,1,1,0.25,2,0.0808740163595364,1.38759775901658,0.443241190284753,1.60017520990294,0.109112339032366,0.355245347158502,0.353746948390552,0.799224823838276,0.0484031588691808,0.154312402222836,0.489636617513217
2,1,1,1,1,1,1,1,0.35,2,0.108010891274075,0.385570021676891,0.252154069106365,0.407996065153795,0.0453456989124793,0.229243913019102,0.185435614769465,0.684402312533425,0.303110611923144,0.303570770841328,0.303578084816201
2,1,1,1,1,1,1,1,0.45,2,0.104182570276937,0.0313754576913515,1.87102505347781,0.103939604258064,0.0237754418935116,0.0411196020668839,0.0340225386252432,0.702958030627809,0.149212802139607,0.351001356537774,0.536109288172005
2,1,1,1,1,1,1,1,0.55,2,0.0684449509010251,1.8182199649137,-0.509733154757043,1.08912509698545,0.0346902598249525,-0.179813560785751,-0.137310699275171,0.726400890981163,0.037896599901471,0.107512017385043,0.285146796156797
1,2,1,1,1,1,1,1,0.05,3,0.0316441386069477,5.10216289385647,0.404239574336887,4.76714563911169,0.0799510743429633,0.791358469428066,0.841008194994727,0.598550386637884,-0.0433323833450639,0.0219016938136328,0.0415302940457263
1,2,1,1,1,1,1,1,0.15,3,0.0615706836408901,3.64586644037552,0.363476441201061,4.09455183728732,0.0948358478601741,0.871583835176121,0.902148591207256,0.537485233593047,-0.129207686642101,-0.132351324191394,-0.0414214213005966
1,2,1,1,1,1,1,1,0.25,3,0.0619445013342372,4.17820424708793,0.317634117942919,4.62754957744429,0.12186539534048,0.813975880910538,0.863272164820175,0.55235662615676,-0.179982540030727,-0.167056879419598,-0.0570017054629732
1,2,1,1,1,1,1,1,0.35,3,0.112126456461788,1.99919133348784,-0.175384708049673,1.92210378163881,0.0383864329076507,0.812155368388559,0.862748372286209,0.527975442039373,0.0465434401661319,0.000674049157623529,0.0358445667145745
1,2,1,1,1,1,1,1,0.45,3,0.126657753516256,0.0818123404713049,1.78071596431258,0.255800658371602,0.00408683176218213,0.853069575431629,0.808854390128571,0.435467088376684,-0.0455032635093469,0.091959693416294,0.0207495304890298
1,2,1,1,1,1,1,1,0.55,3,0.0682287006320493,3.5046296907253,-0.389762132653565,2.36841246133959,0.0250772072409884,0.722967015950128,0.809250382562122,0.543757465906914,-0.0804808960805296,-0.0704711346756755,-0.0375600571512599
2,2,1,1,1,1,1,1,0.05,4,0.0304700414865483,2.20105406716887,0.571903462025795,1.99940596607545,0.0807695290536564,0.789570428620155,0.841162220961878,0.606848544764661,-0.0457947339538987,0.0267335153555418,0.0337305692077333
