Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.15,1,0.0278027016221748,5.37092157542732,0.645795923542828,4.98469592729283,0.0585237016831514,0.615139327219052,0.707026003195439,0.42887500392013,-0.0696878242032727,-0.00253457633011655,-0.0354534323916506
1,1,1,1,1,1,1,1,0.35,1,0.0605044464670943,2.90355054862584,1.14636832882323,3.31555061471974,0.00271969060485257,0.379104475371987,0.173050682498759,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
1,1,1,1,1,1,1,1,0.45,1,0.0382882338614385,3.67045451393877,0.157610522169149,3.72233324583156,0.0820146138249941,0.754720372594341,0.720084926652172,0.445640621365597,-0.0770381171966078,0.00604128482926675,0.0654709831222365
2,1,1,1,1,1,1,1,0.15,2,0.0289149733045408,2.25428386828691,0.874992447829611,2.0374920660034,0.0578184590291812,0.601194255093286,0.685812274757906,0.45830518878095,-0.103470151834755,-0.0428629206108938,-0.0688104273665178
2,1,1,1,1,1,1,1,0.35,2,0.0595157695405715,0.69475057672091,2.18964715726167,0.895157178009923,0.00275104526152364,0.38563933471269,0.246189350935122,0.827423838184108,-0.786428550308878,-0.768088579784565,-0.736242879172043
2,1,1,1,1,1,1,1,0.45,2,0.0382490143549146,1.28971536131756,0.26697152824473,1.3207441259946,0.0824415298026739,0.754058938129948,0.721840277008229,0.448475164020785,-0.0673241872856574,0.0162208830989,0.0824883879870347
1,2,1,1,1,1,1,1,0.15,3,0.018856647124555,5.83961045904609,0.61349507734679,5.43994863796006,0.0645717781285418,0.733027270628037,0.801495303567927,0.378287112227103,0.0291651306507163,0.134835658092969,0.0288082432957862
1,2,1,1,1,1,1,1,0.35,3,0.0546982180867127,2.97385276450809,1.08552434366967,3.37199711999749,0.00279320628186638,0.719865549155337,0.729533637410101,0.589737456341874,0.054596577121942,0.0490857739883957,0.0269816262827934
1,2,1,1,1,1,1,1,0.45,3,0.0401835345865326,3.47119356155897,0.134069889393818,3.5128841659794,0.0786194054736184,0.940857955313895,0.842999502138404,0.363479366466032,-0.0455719795521482,0.00037303380193992,0.0521569780456191
2,2,1,1,1,1,1,1,0.15,4,0.0192230074921504,2.59820141675035,0.82311250120841,2.36245640679644,0.0639569672484309,0.731101502400217,0.801751140252076,0.39021001055808,0.0727364066295948,0.161907449828594,0.071846347055371
2,2,1,1,1,1,1,1,0.35,4,0.0545607928541487,0.693494802271988,2.2597377884683,0.900817775096397,0.00290864506066519,0.722173323006795,0.733473104389727,0.584530493256035,-0.00479893505577445,-0.0130599776768765,-0.00407431684244915
2,2,1,1,1,1,1,1,0.45,4,0.0401719374172422,1.16859734898108,0.253869750577728,1.19531677911727,0.0786720769464568,0.940817913897837,0.842369951508021,0.363479366466032,-0.0455719795521482,0.00037303380193992,0.0521569780456191
1,1,2,1,1,1,1,1,0.15,5,0,7.41998734125739,0.530564236734818,6.97872495127644,0.0826278639407634,0.448336928090604,0.650131156966217,0.487970998044022,-0.0300186633987831,0.0448212954056752,-0.0296407167400835
1,1,2,1,1,1,1,1,0.35,5,0,4.85950977819077,0.996274322328412,5.45347998578306,0.0045827548048849,-1.52489397554797,0.0367511720638527,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
1,1,2,1,1,1,1,1,0.45,5,0,4.684803639928,0.164344341613822,4.75386910939859,0.104275179616216,0.638859510662953,0.723595298756118,0.440194917211126,-0.0744807208762429,0.00872127813745452,0.0681311994983406
2,1,2,1,1,1,1,1,0.15,6,0,3.60668718813333,0.650974635828324,3.34532592696509,0.0821508844602114,0.447565771395845,0.650742429801179,0.469649052552099,-0.00898726422879942,0.0699279581462004,0.0244828839015226
2,1,2,1,1,1,1,1,0.35,6,0,1.93113080821081,1.53434246601878,2.30643308811842,0.00442220599769422,-1.51676835937118,0.0351574912676804,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
2,1,2,1,1,1,1,1,0.45,6,0,1.9230109350161,0.243476123378707,1.96515998088632,0.104580784961192,0.637582252666306,0.72317568051341,0.440194917211126,-0.0744807208762429,0.00872127813745452,0.0681311994983406
1,2,2,1,1,1,1,1,0.15,7,0,7.3571654607172,0.56101089339905,6.89533601378232,0.081830513497308,0.630350846327234,0.702997526362097,0.414999809144675,0.00640614744960974,0.108207173046843,0.00632775681779794
1,2,2,1,1,1,1,1,0.35,7,0,6.82864576605429,2.05759114734964,8.66496281098469,0.00705996068507385,-0.650995167419029,0.196670363021375,0.784550776147392,-0.683803301500257,-0.559808634714773,-0.685270456694583
1,2,2,1,1,1,1,1,0.45,7,0,4.57564142622857,0.110720371115163,4.62097868907746,0.105035159680193,0.91673186839325,0.858603630391163,0.393053711943134,-0.100296362499273,0.0308300030197349,-0.00210663539332304
2,2,2,1,1,1,1,1,0.15,8,0,3.57173487190061,0.6997371367747,3.29429101175198,0.0814100403859878,0.627560894288692,0.702104159755774,0.414999809144675,0.00640614744960974,0.108207173046843,0.00632775681779794
2,2,2,1,1,1,1,1,0.35,8,0,2.70636713286222,2.40386208861759,3.57458284352194,0.00650558962812304,-0.68325772609231,0.192250016155764,0.811037108498739,-0.698762424172802,-0.615175750308836,-0.686723440048782
2,2,2,1,1,1,1,1,0.45,8,0,1.86127866447884,0.1775551786389,1.89094170518277,0.104927365868038,0.916678569439816,0.859110338955466,0.393053711943134,-0.100296362499273,0.0308300030197349,-0.00210663539332304
1,1,3,1,1,1,1,1,0.15,9,0.0219421721919929,5.88897653743681,0.5,5.55835971530315,0.0656574174622836,0.589763224795851,0.693472737525913,0.469649052552099,-0.00898726422879942,0.0699279581462004,0.0244828839015226
1,1,3,1,1,1,1,1,0.35,9,0.0608566126522615,2.63861429621032,0.5,2.79582629399232,0.00254474548197943,0.413933003922727,0.283448987627004,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
1,1,3,1,1,1,1,1,0.45,9,0.0452776677253587,3.22085832722822,0.5,3.36750728862675,0.0686504247047216,0.510135599412724,0.622103659983497,0.489255383230214,-0.163149104490575,-0.0352982232696038,-0.0355042851192122
2,1,3,1,1,1,1,1,0.15,10,0.0174875250630691,2.90244255290943,0.5,2.73949465743588,0.0691308512903284,0.539040829520216,0.660222095737322,0.487970998044022,-0.0427695918602817,0.110256302426978,0.0244828839015226
2,1,3,1,1,1,1,1,0.35,10,0.0609023730887726,0.549299961178405,0.5,0.582027951928118,0.00240762771660982,0.424636366841877,0.323506993559406,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
2,1,3,1,1,1,1,1,0.45,10,0.0410495265663883,1.17275006484167,0.5,1.22614657021888,0.0827050946663569,0.688812215212742,0.707686911287952,0.462162012193212,-0.111768070932636,9.46466389600884e-05,0.0110295949784386
1,2,3,1,1,1,1,1,0.15,11,0.0179465282973851,5.82916557561862,0.5,5.50190663918876,0.064990572677973,0.706725617114546,0.771150276830696,0.45005785674547,0.0555807643033728,0.204144668914505,0.0549006345897503
1,2,3,1,1,1,1,1,0.35,11,0.0549567095904541,2.55737858918983,0.5,2.7097504601635,0.00246639973864259,0.726353149074279,0.746207929374077,0.546177001098392,0.0177601678722702,-0.0685025140810492,-0.0237291415276496
1,2,3,1,1,1,1,1,0.45,11,0.0426968036211321,3.63370954548482,0.5,3.79915604350817,0.077450070200948,0.92712150949492,0.812691357198931,0.356829301188343,0.023027754991997,0.0557744471990811,0.105174431295485
2,2,3,1,1,1,1,1,0.15,12,0.0169148499218179,2.62367751342906,0.5,2.47637994545963,0.0640417541871731,0.659662171062857,0.727089272446468,0.484793856979199,0.0147139544516862,0.225638659820493,0.0145339029940839
2,2,3,1,1,1,1,1,0.35,12,0.0550083370651832,0.464229739587757,0.5,0.491889138271085,0.00222478382819106,0.729696082376565,0.755265190499493,0.546177001098392,0.0177601678722702,-0.0685025140810492,-0.0237291415276496
2,2,3,1,1,1,1,1,0.45,12,0.0411203728664602,1.19629311000204,0.5,1.25076155421362,0.083512327349898,0.9368311157233,0.828557706235815,0.363479366466032,-0.0455719795521478,-0.0187966528218177,0.0521569780456191
1,1,4,1,1,1,1,1,0.15,13,0,7.44573897152793,0.5,7.02772294759675,0.0830140838329073,0.451211106266273,0.652542114125198,0.469649052552099,-0.00898726422879942,0.0699279581462004,0.0244828839015226
1,1,4,1,1,1,1,1,0.35,13,0,4.52055835320059,0.5,4.78989897294084,0.00435973930022799,-1.53736120237465,0.0513406786273775,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
1,1,4,1,1,1,1,1,0.45,13,0,4.33666798681875,0.5,4.53412089892635,0.0924331556534751,0.227302801443217,0.551410033480095,0.489255383230214,-0.163149104490575,-0.0352982232696038,-0.0355042851192122
2,1,4,1,1,1,1,1,0.15,14,0,3.67788771786705,0.5,3.47140505628476,0.0834434407069413,0.441001362153169,0.646832907241217,0.487970998044022,-0.0427695918602817,0.110256302426978,0.0244828839015226
2,1,4,1,1,1,1,1,0.35,14,0,1.72639943609685,0.5,1.82926051158951,0.00424229494821944,-1.54234601502534,0.0550314838632766,0.853365920504568,-0.86976720266127,-0.805216260309923,-0.818260161099716
