Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0277265788484216,4.08915243347061,0.751638699217057,2.10435433912921,0.0292894761452476,0.477944864029782,0.322787967332786,0.651433141448495,-0.145591744566367,0.136756516244324,0.256616207406043
1,1,1,1,1,1,1,1,0.15,1,0.041608779362661,3.05087221691763,0.705754785241208,2.05036990907301,0.0214720015250886,0.376221865662225,0.368379499802884,0.833364577095459,-0.448439828496725,-0.345502259738348,-0.124858487586699
1,1,1,1,1,1,1,1,0.25,1,0.0239268011965659,3.37269248795889,0.134030922276172,3.13654137170023,0.05089820577578,0.532705935726944,0.528305491204553,0.778330511136572,-0.0669588056623961,0.486124357257746,0.357097074485676
1,1,1,1,1,1,1,1,0.35,1,0.0202048862113065,3.91673754953162,0.470341425880907,2.42912842102591,0.0329535566328114,0.0465825664671715,0.0553840620737345,0.734539081975167,0.236299197836476,0.413890949550826,0.645160798635865
2,1,1,1,1,1,1,1,0.05,2,0.0229483490637119,1.32634166834627,1.10342826411431,0.500161680286061,0.0329125140173,0.461178070502313,0.350490885687385,0.709805967860395,-0.0755105876229036,0.27461802247996,0.333138740982618
2,1,1,1,1,1,1,1,0.15,2,0.0348840370258987,1.06443909571886,0.947765230385824,0.624231309610299,0.0282022084211504,0.372797684581831,0.362111890313307,0.825487302219677,-0.350948065307506,-0.120484247448175,0.0759600656084732
2,1,1,1,1,1,1,1,0.25,2,0.0227303325991914,1.12134780243325,0.200139540725439,1.00615538036995,0.0521651951413352,0.526008296109735,0.525307684711453,0.7866151926721,-0.0656132072446208,0.540099915661278,0.367278983928563
2,1,1,1,1,1,1,1,0.35,2,0.0175634050561523,1.40247226811998,0.750810933281369,0.654186193389296,0.0341367740287273,0.0153190626495854,0.0172800689542225,0.762486316197954,0.257014342536352,0.579681562105092,0.751812343381488
1,2,1,1,1,1,1,1,0.05,3,0.0198809790383348,7.19783117980471,1.31461373690685,2.25214481199896,0.0300213434067152,0.56182854071954,0.564218118114724,0.654111477486793,-0.180336191997428,-0.0572242681879937,-0.0600107023992643
1,2,1,1,1,1,1,1,0.15,3,0.0235984155931254,4.24943372604722,1.04893563707199,2.35404437083165,0.0255871791134501,0.159937905733403,0.32362279703661,0.773612004024175,-0.076304248558689,-0.145387228243688,-0.0540264314649946
1,2,1,1,1,1,1,1,0.25,3,0.0160841327005712,4.57081259182399,0.660674212761229,3.19591201988794,0.0480017098349587,0.437939255985533,0.570783862061424,0.787566449174696,-0.048868351884922,0.179811175385141,0.177786145326771
1,2,1,1,1,1,1,1,0.35,3,0.0180511432607499,3.42348727944513,0.459079137858619,2.14764586710821,0.0291751719598477,0.0289138618201232,0.219817437825581,0.737130539802969,0.065070400448586,0.0285419394145167,0.12798045275569
2,2,1,1,1,1,1,1,0.05,4,0.0132020578070563,4.53343554105561,2.49117103504236,0.501453324673158,0.0363874509533634,0.559128452347241,0.622282707886269,0.661953656287849,-0.118675239040761,0.00843311365582289,0.030961637859058
2,2,1,1,1,1,1,1,0.15,4,0.0159683213348054,1.65741686363963,1.52271029404185,0.703159913050143,0.0311699534330192,0.0452171951692275,0.309001568944235,0.746507058153904,-0.00421143688028822,-0.123065702735558,0.0168445562522966
2,2,1,1,1,1,1,1,0.25,4,0.0116782587797959,1.79664898248083,0.985664954795303,1.05347194519423,0.0521036703190755,0.391772900175767,0.551434924808165,0.796268374689415,-0.0290659335246298,0.166135148832667,0.214302642859136
