Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,-0.0142532782645866,2.88429678080912,-0.27535415015348,3.42516455710217,0.245203664743402,0.111900506138188,0.157516074380995,0.859250869305583,0.154579217146998,0.465981306098767,0.808387259952525
1,1,1,1,1,1,1,1,0.15,1,0.090423475139835,0.664707135106382,-1.84918006330226,0.69978398132096,0.0277340793665457,-0.194461808886134,0.00930612961663302,0.550826011626333,-0.111694469421692,-0.174717764339431,-0.118572120900876
1,1,1,1,1,1,1,1,0.25,1,0.0149966803340039,3.63979557151652,0.206178268514297,3.64469268903518,0.0945781651950626,0.1686336777408,0.208008077909915,0.597445291717087,0.051651035755547,0.15780333833716,0.225623185591545
1,1,1,1,1,1,1,1,0.45,1,0.0386239177705908,3.02396170894058,-0.185423512390529,3.09545237524888,0.175173063074665,0.393862497189276,0.430923369187245,0.567539465679192,0.140743192545981,0.109866122926455,0.221878164205432
1,1,1,1,1,1,1,1,0.55,1,0.0686280381470876,1.08998520041681,-1.07920704998418,1.28219130335108,0.0590223496903113,0.234193133045896,0.138687073959477,0.273048163556815,0.0298387948360872,0.0298387948360872,0.0298387948360872
1,1,1,1,1,1,1,1,0.65,1,0.0397313463253025,2.42019271181778,-0.335389510594994,2.38602796222988,0.0791660832174002,0.31751727744474,0.340117478405274,0.689245540387404,0.076723853666064,0.196858032352615,0.297665960205033
1,1,1,1,1,1,1,1,0.75,1,0.0446790079124265,3.12297834514081,0.23731130580688,2.90527784050987,0.194164588342611,0.308590429241623,0.332248069735853,0.562876842876784,0.116506485110302,0.146089262604752,0.156605821013932
2,1,1,1,1,1,1,1,0.05,2,-0.0188272768784001,0.866069414405057,-0.484944280308201,1.17221896443477,0.248437668359783,0.112262415457845,0.158435676191835,0.848155872928471,0.148560971793919,0.484583463288289,0.784074563737739
2,1,1,1,1,1,1,1,0.15,2,0.0600031929168224,0.0913739859371611,-3.0439008279323,0.0994456029844615,0.0804039063659484,-0.169635380073741,0.0456467107766517,0.512624649862334,-0.086514914416364,-0.0803768743182742,-0.0520892861833408
2,1,1,1,1,1,1,1,0.25,2,0.0147621062303283,1.28608063012637,0.316114958873268,1.28873456103392,0.0956204902781697,0.161371826491562,0.200205680168866,0.597445291717087,0.051651035755547,0.15780333833716,0.225623185591545
2,1,1,1,1,1,1,1,0.45,2,0.0373736530064516,0.91384986918379,-0.337607395548488,0.953567408644025,0.176848486843995,0.392190725961181,0.429855073808065,0.571141605832775,0.141174722782614,0.128348315954608,0.242101147337919
