Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.057204897414452,4.94373663102673,0.208835929017722,4.48688612878224,0.19564509852694,0.32799232309836,0.29043166172887,0.802108897290061,0.193187525376532,0.877483817541596,1.21196534710424
1,1,1,1,1,1,1,1,0.15,1,0.038234123705273,4.83225222286205,0.213807545720462,4.55789953602532,0.224298908300557,0.339205400625758,0.368848890515244,0.799448971823729,0.34773326989555,0.776593819333786,1.12793555820489
1,1,1,1,1,1,1,1,0.25,1,0.0537564012972867,4.93202574010467,0.313188991821749,4.67890602676714,0.178604243025753,0.335541685128326,0.4201846874015,0.765808300922388,0.110730557636446,0.480673454332664,0.620038409302362
1,1,1,1,1,1,1,1,0.35,1,0.0492752358847351,4.8789128293452,0.288252848650279,4.85196540416317,0.242331442789698,0.426508267966215,0.514326746149989,0.738206557980535,-0.0013366407347408,0.196978564740531,0.437142280488493
1,1,1,1,1,1,1,1,0.45,1,0.0727906829062169,3.88228965595864,0.108343188776102,3.85456093309609,0.18343524482992,0.434422466363674,0.448163328334235,0.742118689128501,0.175718605600312,0.558559979257842,0.904480689810223
1,1,1,1,1,1,1,1,0.55,1,0.0561074107028206,4.51494426268789,0.403991780484408,4.40286349106596,0.124390652398177,0.528299281151883,0.610901918813204,0.718375807899347,0.154528398097858,0.327788089588252,0.440025976474279
1,1,1,1,1,1,1,1,0.65,1,0.0688207567126373,4.41152103010596,0.356031903369656,5.51927693555605,0.0482287333907734,0.390807961575184,0.46785818977992,0.728841858130504,-0.0502488775073461,0.303006936402603,0.592953036656961
1,1,1,1,1,1,1,1,0.75,1,0.084735753009779,2.95498346850156,0.104128702794863,3.09557316236511,0.067601421903968,0.305620908122528,0.314821793887923,0.755345389063439,0.292246907404017,0.872438244718833,0.754618591585675
1,1,1,1,1,1,1,1,0.85,1,0.059754953558885,0.385724542943957,0.0641102645282805,0.398982509430484,0.00239402347472985,-0.106707248691627,-0.60458926249133,0.676329982914461,-0.023291887660719,0.136426244441861,0.252055111875876
2,1,1,1,1,1,1,1,0.05,2,0.055946645086924,2.08913633471145,0.298672416012389,1.81861854660788,0.197778396881526,0.326256938528265,0.290158851729799,0.803545560312333,0.199234024872449,0.898091912098947,1.224462481691
2,1,1,1,1,1,1,1,0.15,2,0.0374425870083402,2.01231762360581,0.302008776206595,1.85284789523449,0.226478387300281,0.337015132060528,0.36787218562961,0.803097205898777,0.349488035917211,0.810667027716988,1.10746691145419
2,1,1,1,1,1,1,1,0.25,2,0.0529640670287535,2.06656336099664,0.440088352272217,1.9190959089875,0.182924378799754,0.32961796457685,0.416322023884828,0.764309996092937,0.128593246555588,0.458150881141586,0.580702673224271
2,1,1,1,1,1,1,1,0.35,2,0.0478922662380766,2.0553244263073,0.396470847552495,2.03972670247898,0.246696409530336,0.422040942610861,0.512166952980383,0.738002409997087,-0.00150561172221181,0.189252513133693,0.388751763989737
