Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0378022127402011,3.78144609196409,-0.388839159737628,3.75193062816708,0.184782556656344,0.182161497614148,0.215160227810247,0.886828148148622,0.149984496126872,0.791737873398115,1.6715335133345
1,1,1,1,1,1,1,1,0.15,1,0.0399727162943971,3.37764757234409,-0.534377433048568,3.15921513894516,0.169288997158635,0.25811642163187,0.265928305422279,0.769407109984762,0.287765572058464,0.406696692711273,0.899092218807904
1,1,1,1,1,1,1,1,0.25,1,0.0924718253585161,2.98450599405259,-0.341290439346477,2.82256672815173,0.149863570999794,0.228464385646577,0.19365445089457,0.849381290809962,0.104787920495323,0.361720871983741,0.979757210906143
1,1,1,1,1,1,1,1,0.35,1,0.0294046029107815,4.38737773814571,-0.454719597429784,3.72007095994174,0.161749116084977,0.395481095002627,0.410040326676181,0.745639702049762,0.030096372316666,0.340284134007751,0.653024425285162
1,1,1,1,1,1,1,1,0.45,1,0.0829842905234523,3.31531149397554,-0.394375215122978,2.93213819385049,0.125242646272253,0.261981113990909,0.226097741401399,0.777064581637209,0.0862695884583566,0.42946361360503,0.877891200830795
1,1,1,1,1,1,1,1,0.55,1,0.0645636089370442,3.47334454149251,-0.220018752010267,3.06797048718377,0.138315594698437,0.271897127366001,0.211658855450661,0.810046869702457,-0.00538520931743598,0.212276130413171,0.365348914003084
1,1,1,1,1,1,1,1,0.65,1,0.0876519074898644,4.87356817903521,-0.64976074220213,3.24200776704791,0.125728675692063,0.258372486178333,0.197467872104869,0.716035990192987,-0.0320328537974036,0.0187109619995733,0.192987992893487
1,1,1,1,1,1,1,1,0.75,1,0.00497260355365755,5.78993385763856,-0.310969401044841,4.72227636104107,0.230671244323364,0.102523903554095,0.122541509707932,0.617461349958571,-0.173145574770378,-0.0752648394210407,0.0158876881435068
2,1,1,1,1,1,1,1,0.05,2,0.0337754458317751,1.40777509014185,-0.571061315940986,1.39166720858276,0.187529299918615,0.171568153659306,0.206273586577798,0.884325236883054,0.183593293271435,0.871074423112853,1.75536750333578
2,1,1,1,1,1,1,1,0.15,2,0.0295947438155048,1.20057837471545,-0.849273471274843,1.07955722054496,0.178850040799257,0.245119661109872,0.260243280249547,0.772250678249166,0.228464037672706,0.504495528706173,0.890748300452581
2,1,1,1,1,1,1,1,0.25,2,0.0841961667457343,0.937310470061602,-0.603437249287161,0.849269296215005,0.155863092605127,0.227245016459216,0.198055641683381,0.852315181648235,0.0588568645618883,0.425605560633508,0.985093845937113
2,1,1,1,1,1,1,1,0.35,2,0.0229177930459703,1.80007871276855,-0.700047725163427,1.39630205761166,0.166319097773984,0.388871044374666,0.4065239160785,0.749066902220502,0.00421697996706256,0.362231592436506,0.652290533616372
2,1,1,1,1,1,1,1,0.45,2,0.0710386723319238,1.17809552354216,-0.585791598492493,0.981637672666762,0.134784125393886,0.255427410391555,0.229440355706059,0.778449898772829,0.0951043928982264,0.468939576010544,0.794139352711447
2,1,1,1,1,1,1,1,0.55,2,0.058991039375158,1.21572822732706,-0.351654119648026,0.99699705945281,0.141915784717845,0.263172094661162,0.214671584704363,0.807660174680536,-0.0157186834020403,0.209672859794709,0.335285272875237
2,1,1,1,1,1,1,1,0.65,2,0.0687035654867189,2.22111514362403,-0.809313342523639,1.33680043184805,0.143220321082623,0.252443375259872,0.201574763543254,0.696802184814787,-0.0242883646162915,0.0572901594501953,0.13412203727296
2,1,1,1,1,1,1,1,0.75,2,0.000853619279312125,2.63682300165396,-0.41866376959769,2.00401941250876,0.237210006561675,0.0933086822045602,0.125494968705606,0.612809962320424,-0.136112932727475,-0.0397739408628193,0.0213186196864499
