Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0378495067504835,8.84662303195072,0.725971993089413,5.8276534991038,0.0765804473165305,0.40662510258376,0.277072386032554,0.737868639253976,0.539979511692371,1.14156520536737,1.93637747562616
1,1,1,1,1,1,1,1,0.15,1,0.0280508080040459,8.96340395432023,0.887475358978539,5.53777654028571,0.0559165162054014,0.521118054983586,0.513398018107365,0.64415691296318,-0.16069586002362,-0.0320525022576062,0.0928826805908204
1,1,1,1,1,1,1,1,0.25,1,0.167392910348142,3.71423363933611,0.162289484479886,3.50124508663571,0.147814454919251,0.229688450353009,0.222243794869025,0.815936020396682,0.0348299596641778,0.796651879017258,0.912291832340296
1,1,1,1,1,1,1,1,0.35,1,0.231186100150311,3.36586583157084,-0.0958388901323807,3.44609910072282,0.242433202297877,0.133564117361964,0.0613291462611353,0.832110785753235,0.0745735183934958,0.599289622432086,0.527991501509267
1,1,1,1,1,1,1,1,0.45,1,0.14139677292126,3.81676328362281,0.415214667214715,3.83852595019181,0.263026784502267,0.235467973049603,0.145962328579238,0.649840672871037,-0.0619946087189717,0.0627894285308659,0.204000362680286
1,1,1,1,1,1,1,1,0.55,1,0.333693667311466,0.156381483852316,-3.01990665244779,0.127655378955256,0.00674390962692767,0.024315665350547,-2.96370597116966,0.509167778764526,0.158310998062001,0.0935250843626312,0.115600389621273
1,1,1,1,1,1,1,1,0.65,1,0.210759407407254,2.36979075340324,-0.719474270664526,2.38035260630925,0.152169154812033,-0.669053939972413,-0.586725096675602,0.348496499588304,0.0466863284890065,-0.0127866892031222,-0.0588167611614872
1,1,1,1,1,1,1,1,0.75,1,-0.0332805837571833,8.41861140819026,-0.196606616183302,8.46541416187748,0.567709470156149,-0.767716133613247,-0.113721950203891,0.34557524908911,0.116486658380562,0.102318580132808,0.102318580132808
2,1,1,1,1,1,1,1,0.05,2,0.0364711483574383,4.37535365947596,0.825756627633675,2.72152269076586,0.0780284078409718,0.398361837824835,0.279165767531719,0.741656159341296,0.51348450834242,1.28595078586538,1.98459587750087
2,1,1,1,1,1,1,1,0.15,2,0.0265063758253595,4.49693786329111,1.04482993749096,2.55092712013109,0.0582794904777807,0.511677311578072,0.518652247741005,0.639022796864386,-0.200709326235547,-0.0677715331402096,0.0645865134419468
2,1,1,1,1,1,1,1,0.25,2,0.167434691320604,1.31003618601113,0.269498320164704,1.18766595484568,0.148129801986883,0.228735609397143,0.221848444171931,0.815936020396682,0.0348299596641778,0.796651879017258,0.912291832340296
2,1,1,1,1,1,1,1,0.35,2,0.231860539371782,1.09109721708286,-0.202476182445912,1.14677474474579,0.241404495071601,0.134619514031858,0.0603729214915469,0.830945793317128,0.0714283733221256,0.602310613296511,0.537318412191653
2,1,1,1,1,1,1,1,0.45,2,0.139921235501432,1.3866736387651,0.636975384008044,1.39882154119516,0.266697916460078,0.237255327202245,0.153631241285475,0.676055710874143,-0.0710860356852145,0.0694160301669825,0.228625052465594
2,1,1,1,1,1,1,1,0.55,2,0.350465467319288,-1.0033367186611,0.218572084717667,-1.01818448093124,-0.00143549843728317,0.00233834373120834,-0.0424610629050359,0.564075038564384,-0.0466537767534658,-0.0949712858363709,-0.0683055447691852
2,1,1,1,1,1,1,1,0.65,2,0.168179095078612,0.810145378989701,-1.20235928019911,0.816188493369297,0.201864768710184,-0.710909439069606,-0.591035779535773,0.348496499588304,0.0466863284890061,0.0393799253758297,-0.0588167611614872
2,1,1,1,1,1,1,1,0.75,2,-0.0336303146935916,4.25932514450408,-0.242139087074905,4.28850731586023,0.567539394564498,-0.767992214094506,-0.11460617101831,0.34557524908911,0.116486658380562,0.102318580132808,0.102318580132808
1,2,1,1,1,1,1,1,0.05,3,0.0382100345260309,6.82585526740159,0.301226027049409,5.74033672488827,0.0726882303292181,0.598858978023656,0.647272751424626,0.751126744877974,0.0361850578540113,-0.00579739267372995,0.341228606110987
1,2,1,1,1,1,1,1,0.15,3,0.0107188879349908,10.6689768637162,1.06323544951292,5.99192817269619,0.0596244813499645,0.72449486320517,0.722372444120264,0.663043351769654,0.0285325958976896,0.0484442942118916,0.195771244511761
1,2,1,1,1,1,1,1,0.25,3,0.136035413311393,4.42417088597998,0.160228777591121,4.17360017189455,0.176250335859293,0.80897943583637,0.848167922940173,0.635772341130573,-0.0665690118589473,-0.0591914653860917,0.00306945152240943
1,2,1,1,1,1,1,1,0.35,3,0.243843800080413,2.92695035832195,-0.331384844793471,3.17534738872435,0.216551411095057,0.80793810695337,0.77816630099456,0.520188517039812,0.0159625380233865,-0.0619317984069555,-0.0304107866367925
1,2,1,1,1,1,1,1,0.45,3,0.00322523789000737,5.41426476737947,0.396133206307479,5.44371360411822,0.372273383578019,0.842115418056669,0.885067382349905,0.443310913173047,0.0273916088239362,-0.0282129510664629,-0.000331163454860843
1,2,1,1,1,1,1,1,0.55,3,0.26880740330344,1.02437233387303,-0.845188762601066,0.96780562531478,0.0572962749025674,0.807978218377419,0.697884230143176,0.428728126222331,-0.0416421730586739,0.0537677563028573,0.00500048202550497
1,2,1,1,1,1,1,1,0.65,3,0.0207340243619123,4.89394321628375,-0.121674892685416,4.89762511685693,0.366621006935116,0.228323450526133,0.523732125722149,0.433699106101186,-0.0525968563745396,-0.153254800591717,-0.0889000459369103
1,2,1,1,1,1,1,1,0.75,3,-0.0119296026291019,8.60510562044147,-0.319329508807246,8.6829416093267,0.571261150024377,0.196468320761095,0.444490398954751,0.261731735545581,0.0193097543453423,-0.0271571212506873,-0.0271571212506873
2,2,1,1,1,1,1,1,0.05,4,0.0386521133468409,3.48584785132554,0.52820997304823,2.57281253326736,0.0731439903258503,0.601062582234242,0.643794799115846,0.751200791466279,0.0149247811789627,0.00185723211289092,0.322031976228483
2,2,1,1,1,1,1,1,0.15,4,0.00930972850205936,5.63193905670134,1.29615046785244,2.78749656736535,0.0619656176284081,0.72072046306845,0.723137736739654,0.674856157823148,0.0224065623721393,0.0240377811356896,0.181570691771476
2,2,1,1,1,1,1,1,0.25,4,0.136035717834662,1.77287583320403,0.267666994453805,1.60834325066703,0.177161569622052,0.809034268280989,0.847973815467234,0.635772341130573,-0.0665690118589473,-0.0591914653860917,0.00306945152240943
2,2,1,1,1,1,1,1,0.35,4,0.243882006975014,0.818989925386865,-0.709651039982055,0.975068216999423,0.21794097156343,0.80811404370857,0.779198645894137,0.520947734771058,0.0255370767917796,-0.076575092967606,-0.0324698579991902
2,2,1,1,1,1,1,1,0.45,4,0.000323376706726768,2.3958723894123,0.549124913178557,2.41395568754384,0.376283610909866,0.841600039479396,0.88447832006143,0.45829970516569,0.031340461231051,-0.0247294598767642,0.0184750128464281
2,2,1,1,1,1,1,1,0.55,4,0.268670382651893,-0.310804644858881,0.840086875321188,-0.328857903020487,0.0623723500850927,0.80637642504168,0.69486240281314,0.428728126222331,-0.0416421730586739,0.0537677563028573,0.00500048202550497
2,2,1,1,1,1,1,1,0.65,4,0.0202408682430713,2.06208563578901,-0.178389199981216,2.06436054225321,0.367112439006304,0.228390116515559,0.523666269447058,0.433699106101186,-0.0525968563745396,-0.153254800591717,-0.0889000459369103
2,2,1,1,1,1,1,1,0.75,4,-0.0123101696522567,4.37500913935925,-0.395998889720053,4.42413705941885,0.57081652764084,0.191911802413511,0.442765555027237,0.261731735545581,0.0193097543453423,-0.0271571212506873,-0.0271571212506873
1,1,2,1,1,1,1,1,0.05,5,0,11.2776699602185,0.646676292248359,7.77564912633424,0.101995184151481,0.386969339597315,0.410763863755263,0.748097332144253,0.508191402887186,1.21472469287689,1.95681096646492
1,1,2,1,1,1,1,1,0.15,5,0,9.7885052319268,0.834234777576684,6.22479727106938,0.0632432774229683,0.506748004461137,0.519828951915826,0.601751227789362,-0.144745789063029,0.0379053324724188,0.15294020498005
1,1,2,1,1,1,1,1,0.25,5,0,7.01479564794777,0.189795329804278,6.54668660841584,0.277490981526928,0.0523705839292621,0.262672595642697,0.816282056549787,0.030762706093712,0.787451520833469,0.918925457195301
1,1,2,1,1,1,1,1,0.35,5,0,6.70198671422533,0.0839330577368946,6.56513359665059,0.459993081753656,0.0522478447853906,0.118660801136327,0.828323565122974,0.106558929852833,0.697968852524773,0.628889084625715
1,1,2,1,1,1,1,1,0.45,5,0,5.7201396299452,0.413147457529771,5.75259224947301,0.393963488008446,0.254554549183104,0.289907898519532,0.649840672871037,-0.0619946087189717,0.0627894285308659,0.204000362680286
