Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.15,1,0.0136975595285687,1.2733567281125,1.17119654367387,0.460309894403623,0.00196702868116761,0.0496729361871172,-1.20292012876982,0.844896133048058,0.278366775768948,0.618060712989146,1.30389345779651
1,1,1,1,1,1,1,1,0.25,1,0.00859030702474252,4.73587608492697,1.39335692885938,0.748125495452296,0.00423561368175161,0.18899921587216,0.190366375520759,0.812912475628315,0.329158869830628,0.397597138090841,1.16618614287189
1,1,1,1,1,1,1,1,0.35,1,0.00536563653283976,8.6214335169192,1.35402586070762,1.12249850864834,0.00592537759420124,0.639369338587188,0.553277847621602,0.78196947383198,0.0704251302718571,-0.0742290848907119,0.373361822719092
1,1,1,1,1,1,1,1,0.45,1,0.00549635377778646,6.64689860427913,0.946428641406666,1.59548249134447,0.00963166796749409,0.554054328244565,0.565282878214686,0.724444112518747,-0.118344145938854,0.611283187402457,0.688913426261788
1,1,1,1,1,1,1,1,0.55,1,0.0090476805123483,4.17379460703057,0.317240039471844,2.60125665848323,0.0136244993913903,0.475567713032237,0.323921899524601,0.624504460632579,-0.010768918590862,0.691649829930784,0.416396039236638
1,1,1,1,1,1,1,1,0.65,1,0.00904894750026017,4.53900381002798,0.177816694139095,3.59581701708114,0.0697140416268133,0.699443250633338,0.70465791348624,0.636129361930778,-0.168637651874026,0.0127911158491104,0.017261014055833
1,1,1,1,1,1,1,1,0.75,1,0.0495152010991209,3.56169520344628,0.335899101454122,2.54369901179891,0.0571924708864942,0.347988745056094,0.392358454335049,0.825501444587667,-0.177583772339564,0.021223977242065,0.210579443152789
2,1,1,1,1,1,1,1,0.15,2,0.0141731018449559,-0.409192730666862,-0.628981585444781,-0.706718717575609,0.00146539828387859,0.0649454680426981,-1.25211987479767,0.822465649594549,0.624254930221838,0.509692081356074,1.51893503554932
2,1,1,1,1,1,1,1,0.25,2,0.00275663471411519,1.93608891219727,1.90653509834563,0.154999930990697,0.0108188180044789,-0.0277053977958484,-0.0086884879476663,0.866096677730773,0.275008493988038,1.78970157658099,1.82191183944029
2,1,1,1,1,1,1,1,0.35,2,0.000652869642899498,4.18451325809688,1.7000378062207,0.32358992926898,0.0110121635333704,0.544602615520279,0.565061172611205,0.722140898620505,0.0109089584564382,0.803335428450571,0.768622057671979
2,1,1,1,1,1,1,1,0.45,2,0.00307007786482047,3.22227336252544,1.66920897835538,0.260108880280661,0.0114866755936185,0.509035890674864,0.532152053886696,0.727087838218116,0.192528446743014,1.43239090935129,1.21891062624518
2,1,1,1,1,1,1,1,0.55,2,0.00828994901465873,1.57200027421599,0.527508660186389,0.716141657296205,0.0143199687976269,0.465317498407726,0.330695254738766,0.621786159657023,-0.00190135920264564,0.718282328770366,0.401568811296467
2,1,1,1,1,1,1,1,0.65,2,0.0088739921687035,1.84439237375275,0.295402002448068,1.25254707567698,0.0699376355343815,0.699983623708986,0.704429490552217,0.631169503549582,-0.188872353654814,0.010791789532997,0.0128396413321456
2,1,1,1,1,1,1,1,0.75,2,0.0500920077439823,1.27373852079128,0.834614510995391,0.551870034312731,0.0563144963828331,0.327986901064054,0.378854086962233,0.822710720593305,-0.210392218164681,-0.0853556763140518,0.0962071928960887
