Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0187759561389265,3.2732199059452,0.545804861928556,2.20105843516186,0.0138075433052053,0.459347466949493,0.505035746589991,0.699163223565598,-0.0597793043952674,0.333971767690341,0.637652416977319
1,1,1,1,1,1,1,1,0.15,1,0.022276355965529,3.87810183544332,0.373676304002927,2.83534285525175,0.0210128762237599,0.694032831537714,0.649445025547935,0.633875079256787,-0.0921178247723887,0.13475452017205,0.315139117737528
1,1,1,1,1,1,1,1,0.25,1,0.0202998311529001,4.39829884618169,0.25255139989619,3.44329619764633,0.0366697747555165,0.745441192177561,0.721919954398009,0.671649994646886,-0.180046111635651,0.47234916113579,0.544033636012779
1,1,1,1,1,1,1,1,0.35,1,0.0386268996993099,4.48867251202036,0.346426730049042,4.05693211093752,0.0246602744529615,0.563103815925366,0.532376494151704,0.730311437338003,0.0219566695824618,0.58393811905276,0.831504619019884
1,1,1,1,1,1,1,1,0.45,1,0.0587736938461717,5.44281737468531,1.07314551701225,5.29496212541544,0.0169507097779129,-0.0188435807120177,0.127914918170686,0.92770000745741,-0.714267570706296,-0.470042370511756,-0.359378496769189
1,1,1,1,1,1,1,1,0.55,1,0.0631319033556045,1.83598783136223,1.5899802114624,1.7329334629103,0.00505414828211719,0.153624503448249,0.161910382683871,0.949912355002216,-0.790612223720257,-0.77780963382472,-0.713204582914953
1,1,1,1,1,1,1,1,0.65,1,0.0806136283892543,2.63064839520663,1.25209896474235,2.38621564642694,0.0120976440792458,0.0943270510394012,0.283920293157348,0.910835244554423,-0.65216446570579,-0.610574666858908,-0.489586671639558
1,1,1,1,1,1,1,1,0.75,1,0.187188631325927,-3.62943646595755,-0.195495130745144,-3.60205223887623,-0.0240299114924506,-0.00577215303013179,0.0566896495813813,0.677416738085955,0.029287215748521,0.144255380316065,0.167267348845425
2,1,1,1,1,1,1,1,0.05,2,0.0166569245661163,1.05276294189707,0.902603438361097,0.546165275078206,0.0163282212185317,0.433714524120973,0.500588972034831,0.724262215710416,-0.0847112884988405,0.476410158764637,0.644925533570801
2,1,1,1,1,1,1,1,0.15,2,0.021525799666492,1.38888721988609,0.627113584426204,0.821117426242522,0.0220541843568024,0.695846365170323,0.654647106317112,0.631900945835624,-0.0933748278426303,0.144188356131397,0.324986565398522
2,1,1,1,1,1,1,1,0.25,2,0.0200679163938185,1.73250538713655,0.417247156357282,1.15620893204094,0.0370320138593267,0.747125630198575,0.724697798947476,0.670822720337456,-0.184677936320052,0.477609718781118,0.520682601548671
2,1,1,1,1,1,1,1,0.35,2,0.0386257170793519,1.76066006298338,0.609085176255131,1.47385698209676,0.0248944667896339,0.56995241671854,0.527819120335554,0.734230580429758,0.0383081622177472,0.577758991710799,0.815339921439467
2,1,1,1,1,1,1,1,0.45,2,0.0581273936482302,2.19055656030429,1.31294279433562,2.11797646482934,0.0175385155204668,-0.105980794595408,0.0734006726922334,0.929035706662215,-0.747526989457946,-0.504543965085501,-0.438383676140044
2,1,1,1,1,1,1,1,0.55,2,0.0597498904466312,0.46944580248089,2.19948876495156,0.433391373700337,0.00922734942227411,0.104643002305622,0.135430417015682,0.956140149059787,-0.845560926262699,-0.844773907066783,-0.803311182893242
2,1,1,1,1,1,1,1,0.65,2,0.0771770079963759,0.820910791781471,1.68989334997475,0.719671243741246,0.0170693569953358,-0.0725283379998933,0.253606123437643,0.902061157420884,-0.683947237823845,-0.663643697944374,-0.563292297356008
2,1,1,1,1,1,1,1,0.75,2,0.186866161456741,-3.23845984947671,-0.153646381857663,-3.2192405367538,-0.0228472553762655,-0.00448722254749634,0.0572577963766691,0.711138825454138,0.029287215748521,0.144255380316065,0.167267348845425
1,2,1,1,1,1,1,1,0.05,3,0.013661349538956,3.42199684488902,0.3514997294241,2.65026851829343,0.0161999493887897,0.564077059843115,0.644466113135199,0.743510632493036,0.018967160081145,0.0145512251804301,0.35788556719491
1,2,1,1,1,1,1,1,0.15,3,0.0132399773382827,4.37179067107804,0.374840722540154,3.19316895229772,0.0236648160044082,0.813575326173058,0.840956075464106,0.581758262726508,0.333437590744488,0.128024955583888,0.239479677643
1,2,1,1,1,1,1,1,0.25,3,0.0143600092145845,4.40506694601516,0.247815386504727,3.46446170000264,0.0368304308240696,0.890053914527437,0.911781418997222,0.513222128519239,0.15284356667919,0.0859280816526867,0.142188967529368
1,2,1,1,1,1,1,1,0.35,3,0.027559401543018,5.58895899802362,0.510527458710621,4.81510717073119,0.0288297418504491,0.88002591499211,0.898899677110168,0.491656625879607,0.147917766862624,0.111364381723896,0.288525731895099
