Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0407142340623934,5.33066103453796,0.889507596207361,1.94687219435746,0.0384058831006167,0.679917703681217,0.721451541801412,0.583147618462972,-0.0459906977125703,-0.058348606110015,0.132803760944782
1,1,1,1,1,1,1,1,0.15,1,0.038762109535108,5.36261844534481,0.841563182564718,3.6414159902024,0.0230404666626651,0.772192500185099,0.822829642951393,0.539211323621013,-0.198020070111089,-0.0528491257948917,-0.0514824805572829
1,1,1,1,1,1,1,1,0.25,1,0.0353965136545498,6.03962052433507,0.832410452177272,3.98284044002311,0.0527754054901166,0.582015485688548,0.575822594379806,0.525018357163629,0.116040210732601,0.155304497395399,0.363929509098387
1,1,1,1,1,1,1,1,0.35,1,0.0712407001476189,5.11364019850572,0.886466417116995,2.96125239256071,0.0446597057778192,0.675210201432072,0.671819468140682,0.635318224894769,-0.294180660489299,-0.0842864131243245,-0.0257560957826109
1,1,1,1,1,1,1,1,0.45,1,0.0898799798540342,4.60671061773918,0.891165749411027,2.85596432682273,0.0863087829120901,0.609315007972606,0.56069659883019,0.694292948456564,-0.164002497744072,-0.0619028342507892,0.132273624745656
1,1,1,1,1,1,1,1,0.55,1,0.0889618856180127,3.78386221290061,0.529139452714099,2.59041745501237,0.0869602109671939,0.617292358527231,0.516795225340102,0.613826329398463,-0.119468324533674,0.000899708668523462,0.237128545177096
1,1,1,1,1,1,1,1,0.65,1,0.0716937278653509,3.92052325626538,0.432630673489848,3.38314837778497,0.0906771896621369,0.46942431881574,0.463165181625316,0.569121081509961,0.00748535747648072,0.249736348249993,0.353847323897429
1,1,1,1,1,1,1,1,0.75,1,0.0671493062603093,4.31201754443178,0.621782766714678,3.87401185824583,0.0611671185719067,0.492009154895557,0.408507371099542,0.633673456709181,0.244875417418624,0.445369459074763,0.469433616393427
1,1,1,1,1,1,1,1,0.85,1,0.0873375583379581,1.1059109453965,2.09088913679404,1.79609272920385,0.00330624480989664,0.123657133686092,0.397151657208878,0.749682307068864,-0.567466317202486,-0.443718629610457,-0.557982877249493
2,1,1,1,1,1,1,1,0.05,2,0.0345471891807682,2.09614720166287,1.31213689996766,0.474391351780324,0.0503646654351134,0.697172930936529,0.737545297288859,0.57413043487391,-0.0117834977051089,0.0818802447047046,0.161804762527533
2,1,1,1,1,1,1,1,0.15,2,0.035380356145426,1.96786309784744,1.31648576476494,1.07403895770895,0.0228412101726785,0.794093688665326,0.819548080357779,0.462674925968254,-0.205645646994098,-0.0322147151669259,-0.030379267013285
2,1,1,1,1,1,1,1,0.25,2,0.0329553839970874,2.71575830496014,1.37216873509733,1.36718638237257,0.0601864349792614,0.685873938208227,0.657603355306406,0.507401886038916,0.0481382740797679,0.153618112135429,0.288071861469226
2,1,1,1,1,1,1,1,0.35,2,0.0694841374436256,2.36884898857805,2.09237499056706,0.652427228883808,0.0477362733525285,0.586288318138823,0.68128595936709,0.688967315099696,-0.38302905057602,-0.153353278383812,-0.114827436352871
2,1,1,1,1,1,1,1,0.45,2,0.0836415699490061,1.73432506606418,1.39248794814401,0.821648799943727,0.095162447677272,0.639837101797612,0.60766843970865,0.680148176390659,-0.132639384269548,0.0135584029719263,0.188054036495951
2,1,1,1,1,1,1,1,0.55,2,0.0809793951551005,1.3636238112914,0.790229516266733,0.774335573886308,0.0948733349579733,0.604520462691574,0.530621112210448,0.639669552167069,-0.136033693194335,0.0638960977732554,0.234112774886077
2,1,1,1,1,1,1,1,0.65,2,0.0711920817067849,1.36911390450436,0.700527425580502,1.07837995205425,0.0927550853496192,0.469962664744835,0.463381653044539,0.575683482375452,-0.00315496337518147,0.277674301867073,0.384507046907981
2,1,1,1,1,1,1,1,0.75,2,0.0676717222661933,1.58289102432683,0.904156063648602,1.35458193042196,0.0603488512783469,0.498360844871004,0.412475827435171,0.626508103987188,0.266437441325616,0.474234547202045,0.47407742280894
2,1,1,1,1,1,1,1,0.85,2,0.0851396660866884,0.534140166561008,2.21699831447558,0.893236397712367,0.00617079414841914,0.0950932175564554,0.379988779461807,0.749682307068864,-0.567466317202486,-0.443718629610457,-0.557982877249493
1,2,1,1,1,1,1,1,0.05,3,0.0332009119581173,5.35155157307166,0.753129703773898,2.28088953242913,0.0463794987230319,0.881020741985256,0.901499192512019,0.507435430836709,0.187783858532547,0.203861383649956,0.339443367986196
1,2,1,1,1,1,1,1,0.15,3,0.0127724010234534,5.10930670900848,0.50962911530454,4.04167064156274,0.0250600562744524,0.978138915646881,0.963499349640241,0.239173565788303,0.0391879336167596,0.0263087136290318,0.051974996659193
1,2,1,1,1,1,1,1,0.25,3,0.0236725969668372,5.56347380470126,0.610674095596178,4.09916141495167,0.0594521359764743,0.966018562979225,0.964309977467732,0.359240859403305,0.0339753231759208,-0.0021444906597643,0.0400379918512481
1,2,1,1,1,1,1,1,0.35,3,0.0478865166545257,4.99553346178894,0.577726218118758,3.49911857589,0.0505536205957623,0.932593320497553,0.951152106725515,0.393779129980492,0.0933019529845167,0.0549758550254566,0.138376846873087
1,2,1,1,1,1,1,1,0.45,3,0.0577901393705262,5.43402176253313,0.745148135470126,3.64338240072024,0.101496056048649,0.92959109876599,0.946144403335265,0.445677384754938,0.116030555774048,0.101901001334975,0.17784121767938
1,2,1,1,1,1,1,1,0.55,3,0.0412736300115755,5.25463372390554,0.535908738219901,3.5799059584862,0.120009158134874,0.91608523909079,0.934335361852588,0.463156477849121,0.0334645569031443,-0.0118675968408282,0.14020421580103
1,2,1,1,1,1,1,1,0.65,3,0.0309176965441287,4.9923614616357,0.354477290295289,4.42434094185847,0.120395394645269,0.938012198345051,0.92368603367647,0.413713311863267,0.00374689534883865,0.0496263778843134,0.0764765581619094
1,2,1,1,1,1,1,1,0.75,3,0.0529014706592575,4.59119111032422,0.442092819522448,4.25451010645847,0.0658975431732477,0.922722593346946,0.935925606386523,0.410076440145733,0.135339417999218,0.030556592352579,0.133097142749922
1,2,1,1,1,1,1,1,0.85,3,0.0583844095025546,4.92134762526795,1.34264721622489,6.71930906623097,0.01290160064226,0.769394434600459,0.826078109386026,0.548550139812243,-0.0660267599130251,-0.0663759666222541,-0.0655264937646454
2,2,1,1,1,1,1,1,0.05,4,0.0313968233806904,2.69429074912567,1.57591515813411,0.45231199524272,0.050820486616773,0.880051706284106,0.905975858874611,0.516794771297974,0.216102154141481,0.243457237693257,0.389357959816337
2,2,1,1,1,1,1,1,0.15,4,0.0122487246273421,2.50403825353676,1.04320952834035,1.54972434291483,0.0259629490030684,0.977081795461282,0.966111381639242,0.249793782691959,0.0417751844442738,0.0190035344019839,0.04404850931188
2,2,1,1,1,1,1,1,0.25,4,0.0216768789164497,2.80165614937191,1.15994486982209,1.56837838236743,0.0613986370605009,0.968025329930726,0.967498943678332,0.314188313070531,0.0453878659435787,0.049564021056649,0.075260532562683
2,2,1,1,1,1,1,1,0.35,4,0.0471087136396453,2.45247826893083,1.20503582971622,1.16704659170179,0.0535783950988011,0.932346065331376,0.951391760714184,0.39894314913409,0.0928887198743352,0.0689804994849577,0.139191814825585
2,2,1,1,1,1,1,1,0.45,4,0.0548939834511827,2.49568838112905,1.31845811067168,1.23025388632722,0.113394010340548,0.929624629613601,0.947895890367222,0.461278911363762,0.0824398031682927,0.0881804860892313,0.171988108216616
2,2,1,1,1,1,1,1,0.55,4,0.0401559057702578,2.29439137010662,0.908322468045307,1.19722295259246,0.124821868943954,0.913392948231567,0.933153864993091,0.469140859312422,0.0172130438844204,0.00321305674667338,0.154289245902166
2,2,1,1,1,1,1,1,0.65,4,0.0307635899868916,2.1035930445795,0.554928262883435,1.74116724763968,0.121442621397711,0.937741706122747,0.924594721482682,0.421284487659189,-0.00109450023076903,0.0498064450571402,0.0624814932620137
2,2,1,1,1,1,1,1,0.75,4,0.0529171411394792,1.84451543530954,0.739006161337344,1.62402415047773,0.0657700715718594,0.924031710982881,0.936396733639522,0.406956866269796,0.141823641991686,0.0399151848520082,0.133650494637225
2,2,1,1,1,1,1,1,0.85,4,0.0580814153454521,2.07714598380324,1.58260907621013,2.99832142579467,0.012661230373186,0.76234007314249,0.823692918695827,0.558021389210494,-0.0723583101758696,-0.0719949022069682,-0.071150541828363
1,1,2,1,1,1,1,1,0.05,5,0,6.74322002433685,0.725189600586107,2.96641768129504,0.0600310536312476,0.486622413949962,0.657497864264633,0.545738108954966,0.0521312898370737,0.172094051985937,0.334469105129218
1,1,2,1,1,1,1,1,0.15,5,0,6.71647854569557,0.756307245067336,4.74313345171629,0.0297311660308845,0.651019483123701,0.67118516555884,0.504652442569108,-0.180933841298626,-0.00871810251649695,-0.0171388468242927
1,1,2,1,1,1,1,1,0.25,5,0,7.30065863360163,0.795679328741286,4.90370184773069,0.0663020040539683,0.486109367062505,0.603761213526924,0.519128768171467,0.112419892932402,0.188123240499527,0.389940314442435
1,1,2,1,1,1,1,1,0.35,5,0,7.22851131183036,0.793840709385313,4.43184494681295,0.0675995679628253,0.426594125784811,0.607189730006978,0.618446974722052,-0.232664668127774,0.00664455849757255,0.0610083179270021
1,1,2,1,1,1,1,1,0.45,5,0,6.91289081526036,0.741379724333848,4.64430898370437,0.128981536079114,0.328226351883146,0.603236364909228,0.711441618723314,-0.111876625692065,0.036364772810686,0.219049205448208
1,1,2,1,1,1,1,1,0.55,5,0,5.77504679917993,0.40342161241776,4.32602243724118,0.141586365039675,0.46850662320587,0.650289361264223,0.62462959452908,-0.15286193559175,0.0743865336294928,0.236151335505505
1,1,2,1,1,1,1,1,0.65,5,0,5.85517910008386,0.429285274640032,5.05838947206841,0.13566602955022,0.284543960460134,0.519140183385944,0.565469777237182,0.00792005057793506,0.25150584828534,0.355619835446534
1,1,2,1,1,1,1,1,0.75,5,0,7.0833276372323,0.51912551421971,6.47736256792884,0.0995743247139848,0.336700579521435,0.554415426021843,0.629983156041517,0.291336004930115,0.541496545176924,0.504879399497766
1,1,2,1,1,1,1,1,0.85,5,0,16.1403160960838,0.881365950248532,19.8010955188881,0.0365316343948289,-0.420025128720739,0.396467434868209,0.637156219321132,-0.0892302217872657,-0.032818371812871,-0.160054519671896
2,1,2,1,1,1,1,1,0.05,6,0,3.03088340202329,1.06010432358926,0.912492372393087,0.0652730544579368,0.531259451189299,0.679810130104013,0.565276246994026,0.0756545724470116,0.206445963557487,0.29532246489146
2,1,2,1,1,1,1,1,0.15,6,0,2.93065638227716,1.13711052606295,1.73708546340976,0.0285440288898894,0.670906843884851,0.692756772952116,0.493116787904325,-0.192893218093542,-0.0391527231381489,-0.0581769638216728
2,1,2,1,1,1,1,1,0.25,6,0,3.55418567860906,1.23018983563781,1.92095623250685,0.070832950504926,0.603619595960215,0.687423969415744,0.495577140298102,0.111539279224579,0.196237689781861,0.344346323181582
2,1,2,1,1,1,1,1,0.35,6,0,4.03480912500498,1.50178775338002,1.59912732658857,0.0660759780769809,0.307432801047632,0.558690199543729,0.677081125617772,-0.321854525134229,-0.133786966773405,-0.0373994354261178
2,1,2,1,1,1,1,1,0.45,6,0,3.19210267060325,1.03327171271938,1.83370116744211,0.134176650009755,0.385473529123785,0.629919929675735,0.686422571172734,-0.107141898656432,0.0208454409554723,0.213405468720297
2,1,2,1,1,1,1,1,0.55,6,0,2.53883003188022,0.555626249025435,1.70541694315313,0.143185836648253,0.466172475831789,0.646856154123398,0.650254719779661,-0.136877732046112,0.0822448053126724,0.245106606856851
2,1,2,1,1,1,1,1,0.65,6,0,2.58534401030331,0.581892122578873,2.12034654484826,0.135873570015322,0.288327339326564,0.520483421188784,0.572578309435116,0.00631358455386348,0.265587804441528,0.362429173294199
2,1,2,1,1,1,1,1,0.75,6,0,3.36222954014833,0.646238774135994,3.00800168089873,0.100884852804431,0.33574287609536,0.555889735122366,0.626665164775893,0.276617476012184,0.555354280632482,0.4976732670313
2,1,2,1,1,1,1,1,0.85,6,0,9.04558999034874,0.936463457143606,11.2399370206782,0.0363987213848203,-0.444101285288016,0.391989259186326,0.652231275873323,-0.143186127543946,-0.0522169842075178,-0.186898707048507
