Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0873374235260185,2.01688452607144,0.538608771494138,1.75634275723791,0.158542951749413,0.443380234237813,0.432940479882305,0.811062910923022,0.230413716738776,0.21969885533828,1.1852606838335
1,1,1,1,1,1,1,1,0.15,1,0.0597273938741715,2.37136350547249,0.313413196361926,2.0026654905882,0.227822983226809,0.67357398063491,0.682512690968881,0.68886155044685,0.387739795897613,0.609221639666876,1.02882529290265
1,1,1,1,1,1,1,1,0.25,1,0.0433400553747069,2.97848493471475,0.424476348930972,2.32883987665991,0.148767653498168,0.757660751504092,0.736112546412944,0.59057560222777,0.256428361207139,0.340393332617717,0.495530074288063
1,1,1,1,1,1,1,1,0.35,1,0.0502039330817596,2.07683432461168,0.254904412598007,1.78543035739724,0.125803323121593,0.791456923528618,0.793711343353166,0.625420941111532,0.179894989417761,0.429797243084361,0.574188841462889
1,1,1,1,1,1,1,1,0.45,1,0.046957714771267,2.38580031151711,0.344601021059246,2.00731882582123,0.109589091416888,0.752850795526267,0.721538742814797,0.531405725408786,0.304786400263121,0.289210166240866,0.470597804658353
1,1,1,1,1,1,1,1,0.55,1,0.0754509332926692,2.1076823505737,0.335081920575147,1.77108257908606,0.100335048464913,0.532116903828105,0.553819873787412,0.729683438386849,0.27287882990269,0.580995750362394,0.787704311443547
1,1,1,1,1,1,1,1,0.65,1,0.0703694431863419,2.15809529500197,1.08567398092963,0.793397829752085,0.0117794358336654,0.439109545594008,0.416473727665624,0.770302684849758,0.0462076139131709,-0.111688681855655,0.170590205755503
1,1,1,1,1,1,1,1,0.75,1,0.123814908327506,0.698769241399146,-0.134995182130108,0.720224240635286,0.0299687076948738,0.261039262814517,-0.308823305711964,0.52343671506849,0.181092794686145,0.265220502341845,0.23227083936332
2,1,1,1,1,1,1,1,0.05,2,0.0538828869943385,0.402683886347506,1.40074109395959,0.281020314433696,0.190882802785384,0.434929608282087,0.480371134369584,0.809915432916483,0.204271665093671,0.4943961798205,1.13262065164975
2,1,1,1,1,1,1,1,0.15,2,0.0532235535217016,0.492016574333124,1.1630252005207,0.262810355021991,0.237759724565335,0.67275082987408,0.680044924737291,0.68555021216316,0.339686606125794,0.677377898739038,0.947273381825363
2,1,1,1,1,1,1,1,0.25,2,0.0417066570423406,0.810167584803601,1.09872280473759,0.4285359834861,0.150971616854056,0.767630865080457,0.744085856555263,0.580355242521223,0.320401343834921,0.476163558035831,0.531670921443291
2,1,1,1,1,1,1,1,0.35,2,0.0544379239849198,0.146715905239663,2.40843956270706,0.0351645531457773,0.1366313890055,0.805293908679137,0.734229957281878,0.601890479713451,0.0690387976993862,0.44187420412081,0.516126289807145
2,1,1,1,1,1,1,1,0.45,2,0.043842362727671,0.464344922167838,1.09455468203462,0.268263885166206,0.112867624723109,0.763245767074619,0.739208197658558,0.511931593265048,0.297689993773578,0.338325034641937,0.493453414665334
2,1,1,1,1,1,1,1,0.55,2,0.0701520174996318,0.297650251957015,1.5595029522308,0.132438217009683,0.103672087526364,0.521579200901738,0.567604239508425,0.73787852460165,0.250254818482312,0.762389061395819,0.805393400179773
2,1,1,1,1,1,1,1,0.65,2,0.0569779161151344,0.408591175464264,1.9699948174215,0.0664859943503813,0.0276924239318782,0.438852112323404,0.382703258360492,0.775283858174141,0.126820159807279,0.415290527735787,0.486005669979853
2,1,1,1,1,1,1,1,0.75,2,0.122377916883066,-0.531179941116615,0.0547670311724976,-0.524702666364052,0.0323388543683188,0.257042147917112,-0.282665720416154,0.611146606294603,0.184301916654944,0.148742174057859,0.234678177219681
1,2,1,1,1,1,1,1,0.05,3,0.0928495034392382,1.90267060260355,0.419438629251232,1.7083743977053,0.153083984203078,0.888231410566316,0.920388052644814,0.459835992736308,0.162153311118263,0.137244827371462,0.165437563078379
1,2,1,1,1,1,1,1,0.15,3,0.032404655225847,2.65259197078467,0.326075127377515,2.22492706778528,0.253010763318866,0.900467170994699,0.928073182941528,0.477176236930385,0.0867669642411844,0.112867111956351,0.158819798439636
1,2,1,1,1,1,1,1,0.25,3,0.0301658938085968,3.17133817287046,0.415252992401391,2.49292161278831,0.158748461830971,0.922232298510607,0.92501017176705,0.467695487130939,0.156690398202529,0.175139682440673,0.157013939579482
1,2,1,1,1,1,1,1,0.35,3,0.0259720055445998,2.30869310878542,0.211087321413987,2.03701294153377,0.138847608079852,0.90499061378346,0.926591712971446,0.494647561997412,0.0266916048918607,0.0551542324095394,0.154950576146305
1,2,1,1,1,1,1,1,0.45,3,0.0332731467229304,2.67829946208207,0.393186362138492,2.19919956646281,0.119922490761722,0.914924157790687,0.922618308655038,0.45606412939654,0.0692060921074133,0.152202933698409,0.12555884950726
1,2,1,1,1,1,1,1,0.55,3,0.0446024541150134,2.72469563978858,0.40360502456076,2.20952332274647,0.126227994901216,0.861696794478323,0.896412191025787,0.533885024220836,0.0424050826484661,0.0952503315924788,0.209509788259937
1,2,1,1,1,1,1,1,0.65,3,0.0636720974417013,1.84847737883967,0.320973486326876,1.37509549163512,0.0213639789508194,0.754613994002882,0.763826060301849,0.617684966088903,0.0201991016172186,0.0683911327522532,0.105829982097102
