Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0415545810769398,2.67161683575586,0.435139061633507,2.12187259012395,0.0306569129502478,0.351642695651555,0.265302762535469,0.776417570436676,0.203068758617334,0.639629685507561,0.91048943274138
1,1,1,1,1,1,1,1,0.15,1,0.0452410712480008,2.78916231112939,0.403865964428781,2.11584444657545,0.0283590859916526,0.477947830619668,0.45148515736159,0.767933703419481,0.2453930763328,0.703129950645829,1.07523120380672
1,1,1,1,1,1,1,1,0.25,1,0.0553646376177876,3.01200075229166,0.236805977640158,2.60870204738682,0.0494446616064756,0.557250785478075,0.584008003657919,0.768210854335978,0.245416524953669,0.753257365010127,1.09584488829878
1,1,1,1,1,1,1,1,0.35,1,0.0724083419484986,3.56087265851279,0.652579613612807,3.17700556115053,0.060082987155054,0.538074935928128,0.626842003798916,0.681067335841303,-0.14287746698708,-0.0779628114044596,0.113695929872491
1,1,1,1,1,1,1,1,0.45,1,0.0471321774953671,4.58738735173934,0.373208510392869,4.42557830816365,0.0465062419483989,0.444885496939341,0.503573081120128,0.748669461781219,-0.120767899023615,0.219918945500603,0.103505186482932
1,1,1,1,1,1,1,1,0.55,1,0.0767662120226968,4.2216534778659,0.111527915894979,4.14092826473106,0.100153799615854,0.54119973180795,0.600147744630069,0.643198459927406,0.0439544960579428,0.537712481301871,0.359914392650697
1,1,1,1,1,1,1,1,0.65,1,0.110961916809031,2.65499025955904,0.581695668163152,2.85527674419172,0.0103703244788511,0.297599165624708,0.304261343767449,0.844743239515224,-0.30251913358466,0.444992960571155,0.366817729960372
1,1,1,1,1,1,1,1,0.75,1,0.107991016515566,2.34613982943805,0.704161914872731,2.06346674702939,0.0199216194111908,0.305831662773327,0.305774099836073,0.896983677908597,-0.543517722054386,-0.376873022748423,-0.390111733122801
2,1,1,1,1,1,1,1,0.05,2,0.0388013375287864,0.68322003543146,0.868651999314464,0.431344994796063,0.0351502017473302,0.339883192413972,0.280448240960174,0.793098178990748,0.187766896739624,0.825279025842053,0.956815522101447
2,1,1,1,1,1,1,1,0.15,2,0.04515811058149,0.63608209348219,1.1566305237734,0.288319502104001,0.0280803186149205,0.469727545895914,0.454945006152602,0.772761739764059,0.171260001207565,0.613977044071847,0.949702850681886
2,1,1,1,1,1,1,1,0.25,2,0.0545709067711464,0.871478838011517,0.486157619566938,0.648766120227371,0.0505037338746482,0.551003133745589,0.581656443400355,0.769162612159122,0.249136139157933,0.802343730890158,1.08611358030519
2,1,1,1,1,1,1,1,0.35,2,0.0710294679756231,1.15153577817644,0.990130917052147,0.968533961987138,0.0587959859313042,0.54418003400896,0.616302823853344,0.625382906506049,-0.105826617718421,0.00701871872277499,0.177958021922103
2,1,1,1,1,1,1,1,0.45,2,0.0469980976944209,1.84873371856646,0.555806248496981,1.75246240226248,0.0465026615009358,0.446565215938764,0.506522746061151,0.731173584359057,-0.103576112553477,0.249343840516913,0.140492171518574
