Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0591339599101811,2.40020026084113,0.611973361269926,2.14909781148424,0.0228510384152149,0.199664419202722,0.198740992566182,0.845536505697794,0.462098238956441,0.68911522324337,1.32653103476758
1,1,1,1,1,1,1,1,0.15,1,0.0771670059025399,1.64505447685922,0.662481141636977,1.52905700951983,0.0152840093296143,0.0597028880556635,0.0577086354695765,0.935564249070567,-0.106221483692068,0.0520126620890826,0.693336742569285
1,1,1,1,1,1,1,1,0.25,1,0.0874472347396039,1.76132089671483,0.500072159702099,1.9701105725453,0.018369213567966,0.0719211386101023,-0.0111617482002091,0.890299971395877,-0.0640200247369843,0.232239698600182,0.595200439682684
1,1,1,1,1,1,1,1,0.35,1,0.0771905669312526,1.69893409935529,0.800010038316955,1.33063861008477,0.0135876918738015,-0.0197370411413658,-0.0430758419261754,0.904653406138461,-0.314063408014327,-0.172776077888199,0.257161286157906
1,1,1,1,1,1,1,1,0.45,1,0.0574470157037652,2.84413491231378,0.408685690723681,2.14275480211181,0.0217482326600269,0.0230832642980983,-0.0102516165437343,0.912358182015823,0.0294294356359162,0.591088093716955,1.15397350483892
1,1,1,1,1,1,1,1,0.55,1,0.0690463212640634,2.10087351452809,0.42124707461133,1.50013128759108,0.0160436717178553,0.0562790358922199,0.0530581447496676,0.916609756094917,0.282849935936396,0.575061450332748,1.16823504128599
2,1,1,1,1,1,1,1,0.05,2,0.0537912269332556,0.794245410484077,0.847130774907113,0.681588477677869,0.0292053081010043,0.175581967394292,0.187557121424137,0.858449602624299,0.427178220400417,0.915245359398879,1.59201637507951
2,1,1,1,1,1,1,1,0.15,2,0.070718901155617,0.477350569695986,0.904831243505538,0.431980022746736,0.0241998206115981,0.0221424912332472,-0.0142636124884525,0.945081858334412,-0.193802832900523,0.459509277625496,0.979648137563056
2,1,1,1,1,1,1,1,0.25,2,0.0819673811401963,0.490276762124641,0.646170491213698,0.566640167567315,0.0251228893458053,0.0537794847116726,0.0495387398722534,0.901343474514122,-0.0893317602895013,0.50312520352754,0.710566569788174
2,1,1,1,1,1,1,1,0.35,2,0.092682555561513,-0.404038725578604,-1.62401964649475,-0.663497380422765,0.0032949326077092,0.134444832034146,0.116681813169604,0.887803057535107,0.163779842493547,0.0884049944093728,0.924222240528815
2,1,1,1,1,1,1,1,0.45,2,0.0543788199284687,0.854468454246144,0.572929619772592,0.574507435608321,0.0256164689079821,0.000809096277419208,-0.0521973545136516,0.913093797404543,-0.0563697613021522,0.700854661482117,1.18557822369738
2,1,1,1,1,1,1,1,0.55,2,0.0656161810459188,0.350292434840637,0.709491748863412,0.198642525540453,0.0203780443631867,0.0516480732349224,0.0434755610818113,0.925432918081811,0.278554641249843,0.954224668418561,1.22253939401016
1,2,1,1,1,1,1,1,0.05,3,0.0580396546304321,1.62817494575138,1.13114870933552,1.32738145807329,0.0135582303630089,0.540580991805842,0.658307842080324,0.707386221779671,0.0307698092649415,-0.15411721524866,0.00288457975938719
1,2,1,1,1,1,1,1,0.15,3,0.0633496510857579,1.69827003254807,0.936165708064242,1.53154913289914,0.0151851505678109,0.53517061843062,0.634427048537617,0.678083654401236,0.303551550978375,0.220420614328096,0.276456887290427
1,2,1,1,1,1,1,1,0.25,3,0.0556249407893121,2.66089964357011,0.920546838783072,3.27030809565284,0.0284134130410852,0.500310209807196,0.605013628419,0.679345228437887,0.0800793337754996,0.125142135420487,0.127243309122832
1,2,1,1,1,1,1,1,0.35,3,0.0632556960752275,1.75878444175735,1.14120237795072,1.24119248391901,0.011977149633789,0.320427076311504,0.495399388623716,0.742679777719014,-0.00268718937192579,0.00942597470978629,0.128281718744518
1,2,1,1,1,1,1,1,0.45,3,0.053676443355645,3.12645786132585,0.996850559505788,1.56707629933378,0.0156567629148098,0.261742609628737,0.429203957494667,0.772864921634035,-0.0132213570476445,-0.0975522452645024,0.163275377708777
1,2,1,1,1,1,1,1,0.55,3,0.0583462625937871,3.21895428904912,0.825655698045466,1.66349075497002,0.0181355137065103,0.441042887043768,0.545910210248271,0.77125856088733,-0.151718542455852,-0.186916643356302,-0.032196671425145
2,2,1,1,1,1,1,1,0.05,4,0.068097442802068,-0.314743696494576,-1.52955746851982,-0.414864049139904,0.00758890497031373,0.513261387361139,0.649171915607973,0.712825855147195,0.0706541476472399,-0.190974694112903,-0.0141029144288961
2,2,1,1,1,1,1,1,0.15,4,0.0715705729848164,-0.206737296548446,-1.71383234995536,-0.249789664241661,0.00811170263712931,0.59307948144187,0.673221299283194,0.660636128437554,0.288248232392187,0.204287742538997,0.260517795787158
2,2,1,1,1,1,1,1,0.25,4,0.0484794005722522,0.876116282918684,1.25229064086256,1.15983802420823,0.0348873565369513,0.463237604018785,0.596268455634531,0.708598589712264,0.0830067525895724,0.147537504880534,0.0910408480744661
2,2,1,1,1,1,1,1,0.35,4,0.0548060711585788,0.378596713574891,1.66921859521935,0.227386803786746,0.0216440999255068,0.272507716772905,0.49855179282621,0.728756335343377,0.0286368854212648,-0.102805133351003,0.0984566080262767
2,2,1,1,1,1,1,1,0.45,4,0.0470743837014391,0.963402614493453,1.57858879500966,0.322696787178944,0.0227129473058835,0.212942177142376,0.421288531168839,0.800293853137418,-0.043077840196396,-0.0489041423039941,0.178699617265282
2,2,1,1,1,1,1,1,0.55,4,0.0535979109857595,0.908288540310613,1.24151460004038,0.336612103751397,0.023740615011632,0.428644361809724,0.561621106184809,0.747981068373911,-0.0880679701959557,-0.112141169938857,0.0240761179607911
