Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.15,1,0.136416746567107,3.22641516664672,0.613347244496781,2.55434083928322,0.180201296166133,0.532505599920935,0.490267657839449,0.682000827969122,-0.0869828444057832,-0.0917507731562764,0.0522553628842213
1,1,1,1,1,1,1,1,0.25,1,0.0763837912747915,5.33834671649815,0.662243003052621,4.13304017228545,0.280805457623469,0.405393280860535,0.558505519603334,0.563060312825348,0.200628891338112,0.167747107958649,0.295774943470918
1,1,1,1,1,1,1,1,0.35,1,0.114121215714892,4.09922248274334,0.475835047353485,3.48518715465528,0.273160177335192,0.484998906460142,0.487706100488642,0.683716579545841,0.0237529457451357,0.016078033790981,0.243908260211666
1,1,1,1,1,1,1,1,0.45,1,0.0624857710380099,4.66560907324299,0.364133633624923,4.29114870503452,0.293389739158938,0.144143590294587,0.206354195279421,0.675179454687231,0.262252762981647,0.194691474144989,0.587846965602395
1,1,1,1,1,1,1,1,0.55,1,0.415889730395981,0.0801376340126795,2.92183149339993,0.0434794970259899,0.00323073057914831,-0.242903553682941,-0.100905489098096,0.903248825338871,-0.804066480857633,-0.791099100709009,-0.771905046240227
1,1,1,1,1,1,1,1,0.65,1,0.0292402761947682,6.00754371212998,0.689534254310465,4.85081477544751,0.416370407569556,0.319709671196712,0.383371279758269,0.650355075834819,-0.0285980238476967,-0.0334682485148344,0.0480474129230259
1,1,1,1,1,1,1,1,0.75,1,0.222516929276398,3.03504979085898,0.392366187402067,3.05762449246731,0.199168335123283,0.319533349745928,-0.0948799674986889,0.463153787194108,0.0781315976077289,0.0811693534758614,0.144227136002324
1,1,1,1,1,1,1,1,0.85,1,-0.0386837103615117,5.01895434232341,-0.0255719353778974,5.0613598280523,0.447503837040265,-0.865897573293792,0.0541299896220504,0.12479039968533,-1.52399692481112e-16,-1.62541501979873e-16,0.0665474407044364
2,1,1,1,1,1,1,1,0.15,2,0.122642544328093,1.04340588187487,1.1330101460963,0.677744442698682,0.190921777725144,0.549276836720129,0.493302466368571,0.718816898534701,-0.0830630576611697,-0.00644249536132896,0.0504412341937885
2,1,1,1,1,1,1,1,0.25,2,0.0798517229691495,2.15534709179497,0.951722379547719,1.49210657446864,0.270553505777191,0.366875547031627,0.52637868651732,0.588692583354739,0.0858607536195685,0.103493911582889,0.246577850211478
2,1,1,1,1,1,1,1,0.35,2,0.126229424056884,1.42236853178959,1.01987050814282,1.00452391246818,0.256626428790868,0.38610098390802,0.408922402676969,0.6517193426763,0.094102971268407,0.0920068428355317,0.345815859859727
