Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.25,1,0.244017770608647,0.889279097033184,-0.62330783724305,0.958134958924825,0.126053323803284,0.245516776542378,0.240211685871568,0.808463389080861,0.398352454799226,0.380050599749629,1.09254779488371
1,1,1,1,1,1,1,1,0.35,1,0.248976582184114,0.373341369135299,-2.21735283235383,0.657761929300893,0.0942735776677212,0.0894965525249565,0.242642931834996,0.455413494274707,0.0118337728964949,-0.000396689225181131,0.112603448060372
1,1,1,1,1,1,1,1,0.45,1,0.0585451681738876,2.45258709443134,-0.336948469696005,2.58619985690168,0.0925670476344574,0.582058174823103,0.445320229823473,0.335476340971458,0.314080610587892,0.398671287339143,0.479137495258672
1,1,1,1,1,1,1,1,0.55,1,0.0952615679299067,2.03147233725771,0.153469641028164,1.96346668099226,0.121379035313838,0.275570676578233,0.288569407151889,0.616549075708029,0.131581854977126,0.199882700997579,0.347117051716268
1,1,1,1,1,1,1,1,0.65,1,-0.0465514076446817,4.83458388866322,0.340854825495039,4.30528436621472,0.277845002390148,0.275524409627898,0.582729752871034,0.579157429945345,-0.169996123788505,-0.126028224392887,0.0121584031616782
2,1,1,1,1,1,1,1,0.25,2,0.237296356885595,-0.356191322777,0.544328853209255,-0.333732632842517,0.137886343837129,0.213256020701905,0.215876124731808,0.805015603289411,0.280763547670499,0.438063779098157,0.994243156864401
2,1,1,1,1,1,1,1,0.35,2,0.341754304598021,-1.18358923238886,0.661932916891386,-0.999482684136516,0.000132635301262102,0.156283627505681,0.162790536733982,0.437536739202153,0.0424161622585331,-0.0328897451536853,-0.00950808861182572
2,1,1,1,1,1,1,1,0.45,2,0.0597141135194818,0.478077716558405,-1.09239664432204,0.567789306708853,0.0939742071928936,0.587783391109195,0.449141488114302,0.40366932033335,0.27090137689774,0.340895956474178,0.392817974835486
2,1,1,1,1,1,1,1,0.55,2,0.0942423476162428,0.269190759029673,0.903792079988786,0.220280666516033,0.120914911379123,0.294015767982464,0.297143432430403,0.560656981562819,0.132011714081673,0.200327384388989,0.347596125612584
2,1,1,1,1,1,1,1,0.65,2,-0.0486356434697693,1.99857099645083,0.468944015830203,1.70387865882362,0.281398340116119,0.277438973828429,0.583367380511935,0.612451545670732,-0.159611793147294,-0.172234037316186,0.0251783873452331
