Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.0281099595400172,2.70257557954735,0.339785467037647,2.29880123236208,0.0858692645959461,0.746474889001709,0.767205251547531,0.640681868586079,0.399273942331046,0.618162899527584,0.622065644868892
1,1,1,1,1,1,1,1,0.15,1,0.057439948849727,2.34757208170671,0.296622308891844,2.03718256473835,0.145963322402955,0.708955424631399,0.70914484189497,0.691149135301624,0.136271740841216,0.227192215267742,0.530771502084872
1,1,1,1,1,1,1,1,0.25,1,0.0451581553001979,3.60622651988538,0.586752677678863,2.25438057881534,0.0229441286146364,0.420717250946745,0.439277473677804,0.802941481964883,0.094545098444844,0.454169189163672,0.824465737511427
1,1,1,1,1,1,1,1,0.35,1,0.125348028609561,4.84435516295432,0.641872909589839,4.11592654017016,0.0743802773791139,0.108660483395838,0.127591828838175,0.799860398243933,-0.0197106835240154,0.108682399272065,0.344642037726146
1,1,1,1,1,1,1,1,0.45,1,0.150932690825157,0.241181943978274,0.255512684689614,0.242052357713176,0.00151097692145205,0.000182459654538336,-0.693498739693895,0.864741620731752,0.125948644514679,0.66809540466773,0.721196871230523
2,1,1,1,1,1,1,1,0.05,2,0.0252333442015981,0.678715729426908,0.917950047259677,0.438361184251498,0.0898737588467588,0.74183257176234,0.772929842642686,0.649832104998411,0.417690932537457,0.663891498625657,0.610740668711638
2,1,1,1,1,1,1,1,0.15,2,0.0520044183666296,0.452394415936781,0.928557578835839,0.290212938220696,0.15144871738369,0.6948728092848,0.729322566146011,0.675451130033008,0.15163476049686,0.317410016243922,0.479194743014937
2,1,1,1,1,1,1,1,0.25,2,0.0441492949618212,1.17491977075478,1.34253126910227,0.401035619282897,0.0251853629754688,0.400290188923701,0.430029787730719,0.821694503890662,0.155974330184456,0.628123839040728,0.974919309320906
2,1,1,1,1,1,1,1,0.35,2,0.121988225371639,2.0803517531535,0.86881694805784,1.66858052371517,0.07742890489636,0.0924505052822403,0.11001587712929,0.81530756745338,-0.0991166319790381,0.0503847224459495,0.300297299515725
2,1,1,1,1,1,1,1,0.45,2,0.143686657573194,-0.0190216913355428,2.73922344953868,-0.0197706809757502,0.00981332615272408,-0.0142302598590573,-0.665327505300556,0.860310130630674,0.0572625479232354,0.589845399619006,0.642703980693523
1,2,1,1,1,1,1,1,0.05,3,0.0202116974495013,2.94452569852169,0.383916233732959,2.45251423966584,0.0919492066951603,0.899305358283554,0.903009713132483,0.428199932493759,0.106843509159511,0.116947051159283,0.207954096422577
1,2,1,1,1,1,1,1,0.15,3,0.0435141904964546,2.76648222302838,0.420202104493784,2.26297359079904,0.164959221102423,0.94547263594706,0.939801508577662,0.370530873951172,0.116114111849112,0.106758011882553,0.129306504718778
1,2,1,1,1,1,1,1,0.25,3,0.0295266407389184,4.87039050321466,0.653563299721576,2.88606834559558,0.0297851280137645,0.647322494658989,0.734664897964422,0.668453806463012,0.0178889518578463,-0.0586264410922052,0.253294891800006
1,2,1,1,1,1,1,1,0.35,3,0.104392231763533,6.31166902409406,0.807658308510074,5.14159106522139,0.0919882665676486,0.788410209723656,0.849989513318364,0.582241869840003,-0.080521603509416,0.165413933529846,0.0750283669272926
1,2,1,1,1,1,1,1,0.45,3,0.193481768711315,-3.47080061257354,-0.646556573093033,-3.43930542341202,-0.0209884191276454,0.476095882756617,0.528737377170064,0.795909960050084,-0.184183369348805,-0.265601186454291,-0.165151569888859
2,2,1,1,1,1,1,1,0.05,4,0.0162862028451842,0.855424615476228,1.00162225083094,0.530909313165656,0.0962532539040649,0.889698675476826,0.878677772087331,0.431369374076551,0.0901807056865076,0.0959565715927724,0.214282891654411
2,2,1,1,1,1,1,1,0.15,4,0.0381622833483401,0.670006704557673,1.12687241530425,0.390932437606794,0.170370574772959,0.940924167099718,0.95796577771959,0.396112775838949,0.0876702506656791,0.0463784765003561,0.112874752772288
2,2,1,1,1,1,1,1,0.25,4,0.0283528425367658,2.0458124820269,1.21572886037023,0.772916041279446,0.0309056042217635,0.639373638510079,0.734238735370561,0.672140466349529,-0.0544891420384878,-0.0501238133137277,0.226851194559409
2,2,1,1,1,1,1,1,0.35,4,0.10036845300359,2.98055224204317,1.0718462276678,2.27050553437469,0.0950394955781622,0.785195710998547,0.849045147020966,0.598993791886716,-0.0780301113225176,0.139572266119918,0.0751244794639226
2,2,1,1,1,1,1,1,0.45,4,0.193959424453878,-3.25686935529345,-0.388097069911191,-3.23909724298846,-0.0212574705827038,0.476261474940219,0.530574045238703,0.792266268743225,-0.185242345909132,-0.26675913356028,-0.173347824732484
1,1,2,1,1,1,1,1,0.05,5,0,3.25318526153921,0.329745421849384,2.7804104386241,0.104118110453553,0.673467941177996,0.773975761019681,0.642023324201837,0.394382070594918,0.632424468765763,0.615561015032933
1,1,2,1,1,1,1,1,0.15,5,0,3.17495708101334,0.308788576474657,2.73919366221353,0.197277775899869,0.601249800028828,0.733097812594789,0.692030125375296,0.160230225202807,0.2304862952578,0.527568073669908
1,1,2,1,1,1,1,1,0.25,5,0,6.21773589843643,0.485495588642973,4.21517529088677,0.0436557784635104,-0.078670855448743,0.446853528286904,0.815016085994024,0.0828463023004431,0.650060121847153,0.995675919872635
1,1,2,1,1,1,1,1,0.35,5,0,11.9825982777735,0.488788327330253,10.5842639218181,0.190656002037844,-0.519218636531541,0.0478636076148927,0.827588189719032,-0.102571481091685,0.0446141808017567,0.266798789813632
1,1,2,1,1,1,1,1,0.45,5,0,15.8585153547198,0.198078890597124,15.9028653186775,0.0993863002151302,-0.969185769727366,-0.397692595461873,0.861469098452827,0.13960290721821,0.759868426236459,0.773811296869207
2,1,2,1,1,1,1,1,0.05,6,0,1.00933338440836,0.742053230628263,0.708857320238507,0.105975958303463,0.682921534177292,0.780329668481158,0.646590953150986,0.424515633381436,0.650938378134593,0.590409340843305
2,1,2,1,1,1,1,1,0.15,6,0,0.945806707553355,0.673895008307993,0.685296676983982,0.196388613023144,0.595831584987105,0.7302366219998,0.694179721549759,0.146677388811965,0.259755125349365,0.494014612172603
