Fct1,Fct2,Fct3,Fct4,Fct5,Fct6,Fct7,Fct8,SWC_nep,ExpID,G_o,G_1,m,G_1_VPD_m,G_v,NSE,LCE,Ap,AfT1,AfT2,AfT3
1,1,1,1,1,1,1,1,0.05,1,0.00991960676650111,0.27273297243679,3.27479725979367,0.0693701678638517,6.77404891222789e-05,-0.133022798035787,-0.13050630899274,0.96233169153343,-0.855910531763773,-0.845780168025795,-0.778686450700414
1,1,1,1,1,1,1,1,0.15,1,0.00908625438463687,1.42373620807376,1.02069555074697,0.980577470438135,0.000901113192726841,0.0780482188247041,-0.886949304796496,0.894351087001512,0.824002742467856,2.44499530764801,4.00511935408429
1,1,1,1,1,1,1,1,0.25,1,0.00805919745956759,3.56619998142366,1.07549236713334,2.29100891910803,0.00215830982787761,0.282976061545043,0.156062147804538,0.826018140911272,0.0335958373736693,0.235785695883903,0.453067768900473
1,1,1,1,1,1,1,1,0.35,1,0.00915020527651785,3.68526631397639,1.44549794321114,1.35114879959257,0.00128101889057483,0.231588141104254,0.258827667206985,0.871446697304032,-0.255830988536539,-0.00822184206053284,0.211277070235679
1,1,1,1,1,1,1,1,0.45,1,0.0111721819038127,4.11818116290767,0.887448643039781,2.19502249241657,0.00265349825669208,0.425669212723928,0.282330117040165,0.811609716542242,-0.169180362228453,0.445900461101252,0.476541120176751
1,1,1,1,1,1,1,1,0.55,1,0.0111290901618365,5.29838030842657,0.761714961522084,2.94081065284236,0.00462784478451413,0.542418934427934,0.488477867677431,0.768505128812,-0.228753569318444,0.477569112796388,0.675870133993109
1,1,1,1,1,1,1,1,0.65,1,0.0151608691452787,4.91844642768703,0.617611315645519,2.92871509414481,0.00833118626082681,0.456012126208083,0.446922063296327,0.806314458268073,0.0258859556542421,0.957924326365705,1.20897412956088
1,1,1,1,1,1,1,1,0.75,1,0.0206770280881278,4.88037610195015,0.446366805587816,3.2065595454834,0.0161608895355863,0.379845536306337,0.398029232522904,0.834458990236459,-0.0614947189466105,0.935177416320992,1.14844932122943
1,1,1,1,1,1,1,1,0.85,1,0.0393370791660077,4.46522803126902,0.433816864275272,3.27663843868273,0.0256223884873508,0.368810201688907,0.374198247845485,0.845404450383848,0.141158090120078,0.983028116090153,1.44120372458269
1,1,1,1,1,1,1,1,0.95,1,0.0536462944336129,4.89995144812054,0.493878281124508,3.40791988910926,0.0393763243159591,0.392025648710125,0.340955013681143,0.73171263370488,-0.0127337765151106,0.29558812629294,0.236030749314648
2,1,1,1,1,1,1,1,0.05,2,0.00790545425884411,0.0421511065073927,4.19181490414729,0.00730722360709739,0.00177474819626955,-0.218946995259058,-0.150097569818498,0.972113369326843,-0.936515367299465,-0.920469083929049,-0.856149691799109
2,1,1,1,1,1,1,1,0.15,2,0.0109107017964936,-0.173630725706748,-3.82948022459599,-0.703440157372014,0.000195423114568516,0.0483906366360958,0.0459609386636592,0.909398543073777,2.80057014292363,2.22617932603107,5.1230137890314
2,1,1,1,1,1,1,1,0.25,2,0.00773969266638163,1.18939858515512,1.5964358007347,0.616682348946831,0.00248573668810481,0.282642821201763,0.150071561301924,0.80929555053993,0.146268250537115,0.467301864361081,0.650667944131097
2,1,1,1,1,1,1,1,0.35,2,0.00845704882577659,1.12045628118815,2.0883433872251,0.262926531287932,0.00211247303422074,0.215597206827103,0.263012638544163,0.915900208501451,-0.549139582846248,-0.223372113517162,-0.200586266949281
2,1,1,1,1,1,1,1,0.45,2,0.010549035567558,1.54054444109143,1.25417705253413,0.633116144515432,0.00330428329125938,0.419619122700766,0.293890747053156,0.811259047476414,-0.182691861552171,0.743376752255647,0.597533185165015
2,1,1,1,1,1,1,1,0.55,2,0.0108043237272213,2.21138335480657,1.12544357134409,0.926615133891576,0.00494938051769768,0.53625109730849,0.48519181617419,0.770068912454218,-0.22829097682434,0.609441247945429,0.748111572533948
2,1,1,1,1,1,1,1,0.65,2,0.014819018486292,2.05528314181074,1.04049449457934,0.858140415701938,0.00898809180808105,0.457116457208716,0.447334269532325,0.808971473129348,-0.0223576599616376,0.978492076447318,1.14841858672541
2,1,1,1,1,1,1,1,0.75,2,0.0202682499524894,1.99545636835436,0.698132929065909,1.03452392426818,0.0166476567835171,0.378840203105172,0.398204959466552,0.836099694715272,-0.0462580213642918,1.01651477896945,1.15519781919625
2,1,1,1,1,1,1,1,0.85,2,0.0391547556421995,1.78488909502879,0.766608828914136,1.03295845118474,0.0260456473726833,0.369098553625463,0.375542064667332,0.847202926779357,0.141010899895202,1.02611509539911,1.43365592886356
2,1,1,1,1,1,1,1,0.95,2,0.0535146364854924,2.10708336223807,0.855046519020163,1.12370712273246,0.0392061528511837,0.391813136747868,0.338231507022374,0.732946821916834,-0.0219697738718103,0.320508268472341,0.227953597170871
1,2,1,1,1,1,1,1,0.05,3,0.00602813337316859,2.96146774946194,0.798714092185328,2.12077333848752,0.00222629360345941,0.117786005151819,0.175200169530189,0.893806821359594,0.737645188634635,0.600391095776949,1.63056735083916
1,2,1,1,1,1,1,1,0.15,3,0.00601157891078249,2.42502056562002,0.96722663531467,1.70314411301616,0.00156041251244475,-0.0413791900733762,-0.0633534825246969,0.937115363369772,0.897458232086758,0.662147749357621,1.98862733217642
1,2,1,1,1,1,1,1,0.25,3,0.00474185092914634,4.59302703367201,0.984883661381636,3.06274534794241,0.00291636171331598,0.153105874115791,0.207318432620593,0.897946474272373,0.391524017232723,0.748799155478169,1.17885686776883
1,2,1,1,1,1,1,1,0.35,3,0.00447563479134749,5.63246524209664,1.01409079763833,2.78603506394719,0.00260764533491878,0.167874051026502,0.239890388136578,0.906675005793334,0.171615695142085,0.660710240809495,1.29839029753237
1,2,1,1,1,1,1,1,0.45,3,0.00462854131197711,5.53965752812927,0.718847178518785,3.32761314436264,0.00405541941228293,0.260113279708832,0.387667854934663,0.855012594660905,0.111455845855677,0.413643950472839,1.03915423239605
1,2,1,1,1,1,1,1,0.55,3,0.00455846434086572,6.57887682239432,0.687102283352962,3.86829927270299,0.00610917502187286,0.450822409409481,0.569096980430716,0.799766709420661,0.0224088445848585,0.362125672712296,0.651718347634383
1,2,1,1,1,1,1,1,0.65,3,0.00904108451887541,5.28312347044628,0.489807416199511,3.50211964834518,0.0101681118445411,0.554776554433311,0.660354663735227,0.768146361825921,0.323774667595309,0.263959594435704,0.725234207431747
1,2,1,1,1,1,1,1,0.75,3,0.00932918245212369,6.07946900967534,0.413145547937734,4.12124082812891,0.020614098970213,0.654392346180191,0.757984998710927,0.659346000557869,0.142285724208421,0.312566055442222,0.452022473863006
1,2,1,1,1,1,1,1,0.85,3,0.0246156234391595,5.92138024300584,0.437582038374091,4.33352410586413,0.033839753334438,0.742014456082466,0.815327251572055,0.669104851787131,0.0401207461767543,-0.0181024589052905,0.317369536662584
1,2,1,1,1,1,1,1,0.95,3,0.0417021586506216,5.01584856545151,0.287350759697769,4.06059063138943,0.0465333193159523,0.592334468351399,0.668215501384164,0.634936538480133,-0.0935840328034477,-0.00752441038110987,-0.00976215461950693
2,2,1,1,1,1,1,1,0.05,4,0.00585692852394613,0.63606656242843,2.0882674132389,0.265681541771362,0.00224973661465814,0.0996662355353478,0.165951582282657,0.8943956005056,0.799833020826775,0.615093344395272,1.68208175171253
2,2,1,1,1,1,1,1,0.15,4,0.00555059844401683,0.546310926979726,1.51644699677098,0.31393112031654,0.00217130921254415,-0.0754279794433776,-0.0771815027155767,0.930641388011478,0.753698870554249,0.522582714211466,2.02498424956978
2,2,1,1,1,1,1,1,0.25,4,0.00453015874476803,1.74545097889699,1.54942185751685,0.922662016652494,0.00299787694540663,0.156298569227649,0.216183181261065,0.886034433328572,0.397920123214013,0.757373312619157,1.24786371391733
2,2,1,1,1,1,1,1,0.35,4,0.00411444849335593,2.30501940146764,1.47977735850137,0.825229748547684,0.0029471831363606,0.151497457818028,0.232406051274861,0.909206109302809,0.136963275578055,0.619146851280665,1.25467817645637
2,2,1,1,1,1,1,1,0.45,4,0.00436002314386859,2.38526588029915,1.07976600808152,1.10930570797786,0.00421993460000769,0.249760626327387,0.384640338486644,0.859145786033542,0.0987665420118496,0.405944594792581,1.05777532160056
2,2,1,1,1,1,1,1,0.55,4,0.00443301376969633,3.14751871236845,1.05355226318314,1.39423056286128,0.0061728331304663,0.448170901223335,0.567424826194919,0.800648405378659,0.0681760906067965,0.362933477239245,0.669233292947446
2,2,1,1,1,1,1,1,0.65,4,0.00902999725441899,2.49763633131966,0.914645735761005,1.15902869898576,0.0103198709628576,0.555843800715373,0.659817315082974,0.765774298901524,0.310631365299407,0.261414498197805,0.714225574556032
2,2,1,1,1,1,1,1,0.75,4,0.00929964981044256,2.94505436737151,0.675134060724153,1.56023646975015,0.0208473557295854,0.654319805890236,0.757626788169805,0.662627838838794,0.128442019897249,0.31226248564084,0.449210302051695
2,2,1,1,1,1,1,1,0.85,4,0.0244903309265837,2.75367733984929,0.683354244961128,1.69114372392587,0.0340237240543806,0.742360087247934,0.815952878889636,0.66893354866303,0.0295504061210019,-0.0245018199013421,0.306703212429712
2,2,1,1,1,1,1,1,0.95,4,0.041620423599298,2.16403757683765,0.465406204318364,1.53692947474082,0.0466975092138513,0.592522902849298,0.668721786597091,0.634936538480133,-0.0935840328034477,-0.00752441038110987,-0.00976215461950693
1,1,2,1,1,1,1,1,0.05,5,0,5.70951732821931,0.599795061862327,4.44326217075889,0.00473583265117909,-0.137223318096919,0.0262237481595722,0.890248566027438,0.572206156434997,2.8612064201671,2.72107782755103
1,1,2,1,1,1,1,1,0.15,5,0,5.14872857906442,0.133351169749513,4.90390412348741,0.00495302145438772,-0.214418118846991,-0.200165895687136,0.929355819888981,0.600429730400413,4.60191072002888,4.89952572521242
1,1,2,1,1,1,1,1,0.25,5,0,6.43080502557938,0.636295819848389,4.94955467657945,0.00456987497385835,0.173186476120953,0.23666198615413,0.825302777869922,0.166973561259249,0.781614371551902,0.860767537255721
1,1,2,1,1,1,1,1,0.35,5,0,6.49895171102736,0.919501198470518,3.43278602502458,0.0032380474578539,0.0209571111692458,0.146558122835575,0.838768176946022,-0.0425708761646811,0.720428186757957,0.90981349920053
1,1,2,1,1,1,1,1,0.45,5,0,6.02972484467794,0.473129821633805,4.31131353365508,0.00517379503533856,0.238490309625964,0.305151441710486,0.82124881808837,-0.22118486713739,0.869460278826082,0.641037484088048
1,1,2,1,1,1,1,1,0.55,5,0,6.88086432626152,0.520579153000692,4.60157178993465,0.00695128503229613,0.36447009155055,0.479088354815741,0.76828349494507,-0.176378085567697,0.747175837825875,0.840074808412154
1,1,2,1,1,1,1,1,0.65,5,0,6.3876080978018,0.31613060769531,4.89883187625126,0.0144643881804726,0.227709840967734,0.444456142094936,0.818593458731152,0.12300672941007,1.58256823405061,1.53034670979758
1,1,2,1,1,1,1,1,0.75,5,0,6.77323910859606,0.28170144644752,5.19607254528707,0.0262669603296872,0.142589339549369,0.412664101607197,0.83538905606381,0.0782252310488477,1.44135515908683,1.46585523442013
1,1,2,1,1,1,1,1,0.85,5,0,7.43196623033993,0.243292233325224,6.2477167375055,0.0504201970449504,-0.0407001941484388,0.409148029397862,0.852196345706139,0.178350767037135,1.3550939066869,1.61126555481267
1,1,2,1,1,1,1,1,0.95,5,0,8.30850512768043,0.158215312404499,7.39609498273315,0.0844132235237894,0.076808257055496,0.465919435922136,0.734936596902879,-0.0661326603736464,0.396985105759695,0.261525893438889
2,1,2,1,1,1,1,1,0.05,6,0,2.48157834262053,0.9313001673578,1.68129222686329,0.00464420893817627,-0.135348837770225,0.0365717825551212,0.898898839563281,0.482289737025321,2.53543515541526,2.46154599827144
2,1,2,1,1,1,1,1,0.15,6,0,2.21811334699366,0.182269482972596,2.07521994775326,0.00497372881928538,-0.21532077580714,-0.202266826279056,0.931354499904993,0.603647503218875,4.65862759085637,4.94039623158106
2,1,2,1,1,1,1,1,0.25,6,0,2.96008355857777,0.855177177545614,2.08205889868881,0.00459443084668117,0.175170804201949,0.237510624419097,0.821444938656405,0.164383243985449,0.790450888893002,0.870384333649312
2,1,2,1,1,1,1,1,0.35,6,0,2.78164947165418,1.31829249936237,1.11399842089788,0.003407388672492,0.0360344200434281,0.158972460925952,0.837914563389134,-0.0705102375102948,0.756701044328368,0.88396744207317
2,1,2,1,1,1,1,1,0.45,6,0,2.72828815217016,0.710820190961389,1.64820736805687,0.00516699636710096,0.243571605177998,0.306719024168125,0.816698066549297,-0.20929851961879,0.848038798913825,0.643473377134978
2,1,2,1,1,1,1,1,0.55,6,0,3.27830370019659,0.732100832895516,1.86171565797894,0.00697942968170752,0.366847598347889,0.479408817329314,0.768856987417102,-0.194657933116434,0.734766378368846,0.831717388238574
2,1,2,1,1,1,1,1,0.65,6,0,3.03486996747013,0.471907569594497,2.04223499459752,0.0144863020247741,0.230498164989629,0.446941808632764,0.816397709786686,0.117007793965754,1.55401379104633,1.52938966867237
